abbr.,appName,coreF,memF,time/ms,warps,achieved_occupancy,dram_read_transactions,dram_write_transactions,l2_read_transactions,l2_write_transactions,shared_load_transactions,shared_store_transactions,flop_count_sp,inst_issued,inst_per_warp
BS,BlackScholes,500,400,4.227,131072,0.913703,1620555,1044326,1614796,1048582,0,0,425267618,21367426,163
BS,BlackScholes,500,500,3.2856,131072,0.910475,1602009,1044590,1603388,1048582,0,0,425267618,21367275,163
BS,BlackScholes,500,600,2.6426,131072,0.898501,1572944,1044606,1573165,1048582,0,0,425267618,21367031,163
BS,BlackScholes,500,700,2.2507,131072,0.894359,1596862,1043810,1592052,1048582,0,0,425267618,21367085,163
BS,BlackScholes,500,800,1.9393,131072,0.890013,1590367,1045104,1587839,1048582,0,0,425267618,21367035,163
BS,BlackScholes,500,900,1.6855,131072,0.885672,1572944,1046824,1573163,1048582,0,0,425267618,21367041,163
BS,BlackScholes,500,1000,1.5261,131072,0.881776,1591375,1046307,1593303,1048582,0,0,425267618,21367012,163
BS,BlackScholes,600,400,4.253,131072,0.914743,1615689,1043582,1606445,1048583,0,0,425267618,21367488,163
BS,BlackScholes,600,500,3.2981,131072,0.912087,1608972,1044499,1600627,1048592,0,0,425267618,21367271,163
BS,BlackScholes,600,600,2.6789,131072,0.902865,1597264,1042336,1594588,1048594,0,0,425267618,21367035,163
BS,BlackScholes,600,700,2.2427,131072,0.898983,1601303,1043531,1601855,1048593,0,0,425267618,21366863,163
BS,BlackScholes,600,800,1.9123,131072,0.89438,1572924,1045658,1573111,1048582,0,0,425267618,21366860,163
BS,BlackScholes,600,900,1.679,131072,0.891254,1572922,1046365,1573204,1048582,0,0,425267618,21366900,163
BS,BlackScholes,600,1000,1.5002,131072,0.88699,1572931,1046484,1573181,1048582,0,0,425267618,21366738,163
BS,BlackScholes,700,400,4.1835,131072,0.915369,1572942,1045225,1573187,1048582,0,0,425267618,21367629,163
BS,BlackScholes,700,500,3.3059,131072,0.913381,1605515,1044033,1611657,1048582,0,0,425267618,21367306,163
BS,BlackScholes,700,600,2.6752,131072,0.905815,1601698,1041500,1602233,1048582,0,0,425267618,21366918,163
BS,BlackScholes,700,700,2.2129,131072,0.902565,1572956,1044026,1573107,1048583,0,0,425267618,21366840,163
BS,BlackScholes,700,800,1.9061,131072,0.898511,1572947,1044549,1573165,1048582,0,0,425267618,21366756,163
BS,BlackScholes,700,900,1.6757,131072,0.895342,1572926,1045605,1573167,1048585,0,0,425267618,21366711,163
BS,BlackScholes,700,1000,1.4946,131072,0.891808,1572916,1046310,1573102,1048582,0,0,425267618,21366657,163
BS,BlackScholes,800,400,4.1897,131072,0.9163,1572949,1045352,1573174,1048605,0,0,425267618,21367681,163
BS,BlackScholes,800,500,3.266,131072,0.914142,1572940,1046036,1573145,1048582,0,0,425267618,21367345,163
BS,BlackScholes,800,600,2.6332,131072,0.908962,1572959,1042327,1573199,1048600,0,0,425267618,21367034,163
BS,BlackScholes,800,700,2.2092,131072,0.905021,1572951,1043303,1573221,1048595,0,0,425267618,21366842,163
BS,BlackScholes,800,800,1.9052,131072,0.901057,1572956,1044332,1573152,1048600,0,0,425267618,21366791,163
BS,BlackScholes,800,900,1.6727,131072,0.898463,1572928,1044792,1573143,1048588,0,0,425267618,21366679,163
BS,BlackScholes,800,1000,1.4916,131072,0.895417,1572925,1045331,1573158,1048582,0,0,425267618,21366644,163
BS,BlackScholes,900,400,4.195,131072,0.917222,1572976,1044615,1573220,1048600,0,0,425267618,21367894,163
BS,BlackScholes,900,500,3.2717,131072,0.915032,1572942,1045401,1573279,1048600,0,0,425267618,21367493,163
BS,BlackScholes,900,600,2.6328,131072,0.909405,1572950,1042292,1573199,1048594,0,0,425267618,21367092,163
BS,BlackScholes,900,700,2.2071,131072,0.906391,1572953,1042541,1573200,1048588,0,0,425267618,21366961,163
BS,BlackScholes,900,800,1.9018,131072,0.903367,1572930,1043494,1573227,1048582,0,0,425267618,21366733,163
BS,BlackScholes,900,900,1.6709,131072,0.901326,1572939,1044611,1573124,1048595,0,0,425267618,21366642,163
BS,BlackScholes,900,1000,1.4904,131072,0.898298,1572951,1045334,1573088,1048582,0,0,425267618,21366739,163
BS,BlackScholes,1000,400,4.1977,131072,0.917087,1572966,1045216,1573177,1048618,0,0,425267618,21368049,163
BS,BlackScholes,1000,500,3.2764,131072,0.91544,1572966,1045248,1573220,1048594,0,0,425267618,21367460,163
BS,BlackScholes,1000,600,2.6327,131072,0.911066,1572946,1041804,1573200,1048582,0,0,425267618,21367139,163
BS,BlackScholes,1000,700,2.2077,131072,0.907919,1572939,1042886,1573113,1048582,0,0,425267618,21366923,163
BS,BlackScholes,1000,800,1.9007,131072,0.905008,1572940,1043079,1573152,1048582,0,0,425267618,21366818,163
BS,BlackScholes,1000,900,1.6685,131072,0.903136,1572955,1044031,1573189,1048583,0,0,425267618,21366806,163
BS,BlackScholes,1000,1000,1.4896,131072,0.900405,1572943,1045162,1573078,1048582,0,0,425267618,21366693,163
CG,conjugateGradient,400,400,2.0268,131072,0.92324,1063871,153080,1621417,131078,786432,262144,16777210,12847502,98
CG,conjugateGradient,400,500,1.6023,131072,0.924145,1058380,152385,1612301,131078,786432,262144,16777210,12847359,98
CG,conjugateGradient,400,600,1.2689,131072,0.923063,1065202,151650,1612216,131078,786432,262144,16777210,12847341,98
CG,conjugateGradient,400,700,1.123,131072,0.922803,1060117,151729,1606707,131078,786432,262144,16777210,12847295,98
CG,conjugateGradient,400,800,1.0184,131072,0.922851,1057200,152855,1607660,131078,786432,262144,16777210,12847264,98
CG,conjugateGradient,400,900,0.96282,131072,0.920205,1058880,153027,1621131,131078,786432,262144,16777210,12847187,98
CG,conjugateGradient,400,1000,0.91156,131072,0.91906,1055583,153158,1613500,131078,786432,262144,16777210,12847169,98
CG,conjugateGradient,500,400,2.0386,131072,0.921426,1067065,152908,1616643,131078,786432,262144,16777210,12847519,98
CG,conjugateGradient,500,500,1.5869,131072,0.923139,1071747,153385,1613136,131078,786432,262144,16777210,12847478,98
CG,conjugateGradient,500,600,1.2354,131072,0.922641,1048631,153825,1602843,131078,786432,262144,16777210,12847319,98
CG,conjugateGradient,500,700,1.0658,131072,0.922272,1065720,152932,1608808,131078,786432,262144,16777210,12847173,98
CG,conjugateGradient,500,800,0.95447,131072,0.921207,1052908,153216,1612510,131078,786432,262144,16777210,12847210,98
CG,conjugateGradient,500,900,0.87698,131072,0.918907,1048635,154170,1604195,131078,786432,262144,16777210,12847000,98
CG,conjugateGradient,500,1000,0.81426,131072,0.917997,1060827,152987,1613306,131078,786432,262144,16777210,12847082,98
CG,conjugateGradient,600,400,1.998,131072,0.920848,1067263,152697,1619086,131078,786432,262144,16777210,12847622,98
CG,conjugateGradient,600,500,1.5583,131072,0.920613,1070225,153058,1616653,131078,786432,262144,16777210,12847470,98
CG,conjugateGradient,600,600,1.2369,131072,0.920759,1058911,149402,1611329,131078,786432,262144,16777210,12847310,98
CG,conjugateGradient,600,700,1.043,131072,0.921595,1057966,152795,1614304,131078,786432,262144,16777210,12847193,98
CG,conjugateGradient,600,800,0.91957,131072,0.920069,1048634,153878,1603410,131078,786432,262144,16777210,12847125,98
CG,conjugateGradient,600,900,0.83192,131072,0.91841,1048637,154075,1603816,131078,786432,262144,16777210,12847059,98
CG,conjugateGradient,600,1000,0.76201,131072,0.917722,1048631,154025,1603977,131078,786432,262144,16777210,12847063,98
CG,conjugateGradient,700,400,1.9727,131072,0.921237,1048650,153921,1599274,131078,786432,262144,16777210,12847778,98
CG,conjugateGradient,700,500,1.5569,131072,0.919656,1066325,153041,1619295,131079,786432,262144,16777210,12847465,98
CG,conjugateGradient,700,600,1.2129,131072,0.91996,1071147,142308,1617638,131078,786432,262144,16777210,12847289,98
CG,conjugateGradient,700,700,1.0301,131072,0.920431,1048640,153322,1602288,131078,786432,262144,16777210,12847169,98
CG,conjugateGradient,700,800,0.90029,131072,0.919466,1048639,153291,1602973,131078,786432,262144,16777210,12847106,98
CG,conjugateGradient,700,900,0.80727,131072,0.917631,1048635,153315,1603326,131078,786432,262144,16777210,12847053,98
CG,conjugateGradient,700,1000,0.73666,131072,0.916724,1048631,153300,1603664,131078,786432,262144,16777210,12847069,98
CG,conjugateGradient,800,400,1.9745,131072,0.919966,1048637,153290,1598789,131078,786432,262144,16777210,12847696,98
CG,conjugateGradient,800,500,1.5449,131072,0.918975,1048642,153306,1599929,131078,786432,262144,16777210,12847430,98
CG,conjugateGradient,800,600,1.2048,131072,0.91935,1048640,136953,1601236,131078,786432,262144,16777210,12847270,98
CG,conjugateGradient,800,700,1.0214,131072,0.920029,1048636,153286,1601917,131091,786432,262144,16777210,12847202,98
CG,conjugateGradient,800,800,0.89313,131072,0.919007,1048643,153193,1602591,131078,786432,262144,16777210,12847105,98
CG,conjugateGradient,800,900,0.79437,131072,0.916829,1048643,153226,1603047,131078,786432,262144,16777210,12846955,98
