appName,coreF,memF,argNo,sparsity,N,kernel,time/ms,blocks,warps,achieved_occupancy,sm_activity,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,executed_ipc
cusparse,1417,5005,input10,0.98,9000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",353.61,(563 1 1500) (8 16 1),3378000,0.983988,0.9999,0.7868,0.299304,0.9733,572586000,72.765,1454944500,8.799367,1.2359,15183000,5.992895,0.3915,658442360,55.418,64176065,4.7684,1.36E+10,1129.6,71209014,5.3197,365668500,121.75,0.986333,254194500,83.043,0.990132,1107.7,1.36E+10,5.6801,5.641,0.1163,358.45,4352542500,0,0,3.19E+10,1.47E+10,0,6.36E+10,1.73E+10,0,5364466500,1.59E+03,0.30647
cusparse,1417,5005,input11,0.98,10000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",495.17,(625 1 1666) (8 16 1),4165000,0.98517,1,0.7965,0.282123,0.9733,716898126,72.221,1996319486,8.86564,0.74863,12495000,4,0.3916,897344327,53.981,79139407,4.271,1.88E+10,1145.5,83678605,4.3157,450861250,109.44,0.986333,313416250,74.401,0.990132,1110,1.88E+10,4.7302,4.6901,0.1132,349.81,5953712562,0,0,4.34E+10,2.01E+10,0,8.38E+10,2.34E+10,0,6955488358,1.67E+03,0.288588
cusparse,1417,5005,input12,0.98,11000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",659.08,(688 1 1833) (8 16 1),5044416,0.986341,1,0.805,0.271535,0.9735,881112102,71.4,2655019848,8.911053,1.003,22677878,5.994187,0.3928,1188032270,53.075,95837310,4.3334,2.51E+10,1118.5,107512566,4.7032,546058032,96.765,0.986333,379592304,67.799,0.990132,1114.8,2.50E+10,4.6389,4.6277,0.1093,322.73,7906223910,0,0,5.73E+10,2.67E+10,0,1.08E+11,3.07E+10,0,8827913133,1.75E+03,0.277131
cusparse,1417,5005,input13,0.98,12000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",431.86,(750 1 1864) (8 16 1),5592000,0.987459,0.9998,0.8126,0.262047,0.9732,532173000,71.647,1724160000,8.939029,0.62847,9000000,4,0.3936,768668590,48.615,57003025,3.4925,1.63E+10,1153.6,64742454,3.6051,324750000,90.074,0.986333,225750000,62.91,0.990132,1113.7,1.63E+10,3.9227,3.8985,0.1068,361.78,5128764000,0,0,3.70E+10,1.73E+10,0,6.81E+10,1.97E+10,0,5501438000,1.83E+03,0.267143
cusparse,1417,5005,input14,0.98,13000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",565.8,(813 1 1720) (8 16 1),5593440,0.988806,0.9999,0.7399,0.35266,0.9855,1154444427,58.906,2191479741,9.007665,0.83256,15835626,5.99508,0.4842,967416402,50.495,66912069,3.5185,2.13E+10,1079.4,87523266,3.5139,916578639,186.99,0.994269,603128115,123.76,0.99564,1071.8,2.13E+10,3.6666,3.7113,0.0818,336.3,6510973257,0,0,5.08E+10,2.20E+10,0,1.08E+11,2.89E+10,0,9827445240,2.79E+03,0.366103
cusparse,1417,5005,input15,0.98,14000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",742.18,(875 1 1597) (8 16 1),5589500,0.989269,1,0.7473,0.336135,0.9856,1348550989,57.055,2733794235,9.037258,0.50926,12248250,4,0.4844,1205233197,46.536,77574858,3.2652,2.66E+10,1081,90868329,2.9951,1062535687,171.58,0.994269,699170937,113.66,0.99564,1062.8,2.66E+10,3.1264,3.1367,0.0808,335.79,8124806647,0,0,6.29E+10,2.75E+10,0,1.30E+11,3.55E+10,0,1.17E+10,2.87E+03,0.348559
cusparse,1417,5005,input16,0.995,500,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",0.029142,(8 1 83) (2 64 1),2656,0.84941,0.8143,0.7555,1.568521,0.9657,211816,72.824,109228,6.092593,32.608,35109,4.40625,0.3533,31616,30.792,21952,21.528,571538,539.44,77618,76.416,62416,232.54,0.959184,59096,231.88,0.988889,525.92,568384,73.679,73.434,0.3342,345.67,355572,0,0,1957140,851082,0,14867956,1355058,0,1280192,482,1.270151
cusparse,1417,5005,input17,0.995,1000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",0.17351,(16 1 166) (2 64 1),10624,0.956526,0.9676,0.699,1.465708,0.9709,1434406,81.124,708488,6.370149,20.679,124500,3.90625,0.3135,131539,22.001,189445,31.757,4867585,808.53,294497,49.263,648064,430.98,0.983871,535184,358.29,0.995062,807.81,4865099,48.977,49.03,0.2347,374.4,2238012,0,0,15926040,6018828,0,88116452,10903212,0,8530076,802.90625,1.272524
cusparse,1417,5005,input18,0.995,1500,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",0.55187,(24 1 250) (2 64 1),24000,0.963605,0.9879,0.7012,1.050764,0.957,3341250,96.506,2260000,6.890244,17.012,316500,4.489362,0.205,308347,16.62,500697,26.961,16615161,892,700513,37.708,1482500,319.1,0.984069,1224000,264,0.995122,892.12,16600615,37.648,37.681,0.1841,357.65,6642000,0,0,46767000,18919500,0,214454250,30097500,0,20638750,859.947917,0.963692
cusparse,1417,5005,input19,0.995,2000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",1.3413,(32 1 333) (2 64 1),42624,0.963364,0.9944,0.711,0.763668,0.9483,6064263,104.19,5214780,7.442966,11.064,499500,3.968254,0.0977,570152,12.645,947695,21.047,40801408,904.59,1181497,26.249,2651346,234.92,0.984178,2187144,194.14,0.995152,903,40782701,26.177,26.179,0.1463,330.37,14877774,0,0,104099796,44057898,0,409775148,64037898,0,38726901,908.570312,0.740088
cusparse,1417,5005,input20,0.995,3000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",3.8835,(47 1 500) (2 64 1),94000,0.965057,0.9977,0.7198,0.538479,0.9395,13969000,108.6,16853500,7.866278,7.3947,1125000,3.989362,0.0202,1469747,9.6653,2290939,15.083,139202724,915.49,2629014,17.278,5969000,157.01,0.984496,4911500,129.18,0.995238,914.57,139182590,17.283,17.287,0.1123,306.65,46567500,0,0,323808000,143856000,0,1036604500,188952000,0,96018500,1.02E+03,0.540532
cusparse,1417,5005,input21,0.995,4000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",8.1471,(63 1 666) (2 64 1),167832,0.968824,0.9988,0.6754,0.716173,0.9632,46387566,95.696,39276018,8.200946,6.9579,1998000,4,0.3005,3038548,8.8057,4353680,12.577,329414108,1139.8,4683328,13.53,28107864,400.1,0.994064,20853126,302.7,0.997992,1195.3,329437558,16.991,16.992,0.104,325.57,106467426,0,0,865829304,336243420,0,2920802940,545569884,0,298332702,1.78E+03,0.72507
cusparse,1417,5005,input22,0.995,5000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",16.163,(79 1 833) (2 64 1),263228,0.971289,0.9993,0.6843,0.594441,0.96,73097416,97.867,75472299,8.399277,5.696,3123750,3.980892,0.3025,5310998,9.832,7222079,13.373,640254631,1185.7,7335430,11.534,43605884,321.69,0.994,32366215,239.74,0.997971,1185.6,640171507,13.584,13.254,0.0978,326.31,202681395,0,0,1596371196,648325566,0,4878602778,973035630,0,488632802,1.86E+03,0.609212
cusparse,1417,5005,input23,0.995,6000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",27.671,(94 1 1000) (2 64 1),376000,0.973195,0.9995,0.6941,0.517204,0.9588,106537000,96.573,129386000,8.632639,4.8475,4500000,3.989362,0.3067,9331677,10.054,10491900,11.304,1108034703,1158.8,10516047,10.996,62980000,273.46,0.994065,46718000,201.29,0.997992,1193.3,1107941750,11.245,11.328,0.0921,371.23,344610000,0,0,2661024000,1113936000,0,7507508000,1583088000,0,737238000,1.96E+03,0.538125
cusparse,1417,5005,input24,0.995,7000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",44.812,(219 1 1166) (4 32 1),1021416,0.968184,0.9998,0.7187,0.481347,0.9596,154869286,93.802,203477494,8.759612,4.0708,6121500,3.995434,0.3068,26994056,17.963,22330404,14.853,1749799079,1164,22464232,13.998,87075714,231.69,0.982709,65115270,173.26,0.992218,1163.7,1749640080,14.94,14.931,0.1015,363.71,546862162,0,0,4105896432,1758780408,0,1.18E+10,2396088024,0,1110131110,1.09E+03,0.496854
cusparse,1417,5005,input25,0.995,8000,"void csrMm_hyb_core<float, int=7, int=6, int=4, int=1, bool=0>",66.545,(250 1 1333) (4 32 1),1333000,0.970403,0.9998,0.7267,0.440498,0.9584,204214267,93.549,302473696,8.904796,3.5763,7998000,4,0.3086,78088204,34.742,29316800,13.091,2620108961,1172,30030710,13.117,113638250,203.28,0.982709,84978750,152.05,0.992218,1163.8,2619898112,13.052,12.95,0.0964,361.69,808624460,0,0,6008833416,2620512708,0,1.63E+10,3452304708,0,1507516360,1.13E+03,0.456667
