kernel,coreF,memF,real,predict
conjugateGradient,700,3600,1.476312,1.413026
conjugateGradient,700,3900,1.469387,1.409289
conjugateGradient,900,2100,1.465877,1.561920
conjugateGradient,900,2600,1.260846,1.286699
conjugateGradient,900,3100,1.188863,1.176170
conjugateGradient,900,3600,1.170408,1.147629
conjugateGradient,900,3900,1.166672,1.132349
convolutionSeparable,1100,2100,1.109951,1.043889
convolutionSeparable,1100,2600,1.005096,1.038730
convolutionSeparable,1100,3100,1.004424,1.030080
convolutionSeparable,1100,3600,1.000000,1.022018
convolutionSeparable,1100,3900,1.000918,1.009791
convolutionSeparable,1300,2100,1.106641,0.929987
convolutionSeparable,1300,2600,0.876383,0.929413
convolutionSeparable,1300,3100,0.851836,0.909740
convolutionSeparable,1300,3600,0.851574,0.909481
convolutionSeparable,1300,3900,0.851639,0.895813
convolutionSeparable,1500,2100,1.103790,0.868287
convolutionSeparable,1500,2600,0.877169,0.863680
convolutionSeparable,1500,3100,0.753011,0.847278
convolutionSeparable,1500,3600,0.751323,0.843257
convolutionSeparable,1500,3900,0.751159,0.830420
convolutionSeparable,700,2100,1.567060,1.558883
convolutionSeparable,700,2600,1.566471,1.494853
convolutionSeparable,700,3100,1.566372,1.492888
convolutionSeparable,700,3600,1.568339,1.497145
convolutionSeparable,700,3900,1.568339,1.494886
convolutionSeparable,900,2100,1.229128,1.227262
convolutionSeparable,900,2600,1.226359,1.194812
convolutionSeparable,900,3100,1.225605,1.187938
convolutionSeparable,900,3600,1.225294,1.183636
convolutionSeparable,900,3900,1.224835,1.180909
convolutionTexture,1100,2100,1.033336,1.042297
convolutionTexture,1100,2600,1.003286,1.010044
convolutionTexture,1100,3100,0.999760,1.008513
convolutionTexture,1100,3600,1.000000,0.994825
convolutionTexture,1100,3900,1.000160,1.007380
convolutionTexture,1300,2100,0.927799,0.919781
convolutionTexture,1300,2600,0.862489,0.864451
convolutionTexture,1300,3100,0.851430,0.845614
convolutionTexture,1300,3600,0.851190,0.841656
convolutionTexture,1300,3900,0.851511,0.850708
convolutionTexture,1500,2100,0.890376,0.841228
convolutionTexture,1500,2600,0.793613,0.780256
convolutionTexture,1500,3100,0.757993,0.756822
convolutionTexture,1500,3600,0.753426,0.748334
convolutionTexture,1500,3900,0.751879,0.761093
convolutionTexture,700,2100,1.565270,1.591796
convolutionTexture,700,2600,1.565590,1.577070
convolutionTexture,700,3100,1.566632,1.567453
convolutionTexture,700,3600,1.567914,1.581073
convolutionTexture,700,3900,1.568315,1.579225
convolutionTexture,900,2100,1.226541,1.258964
convolutionTexture,900,2600,1.222854,1.210829
convolutionTexture,900,3100,1.223015,1.200667
convolutionTexture,900,3600,1.223415,1.194452
convolutionTexture,900,3900,1.223576,1.217086
dxtc,1100,2100,1.001351,1.008988
dxtc,1100,2600,0.999018,1.016288
dxtc,1100,3100,0.999550,1.011566
