kernel,m2_error
BlackScholes,0.340190
SobolQRNG,0.055319
backpropBackward,0.485192
backpropForward,0.249202
cfd,0.001986
conjugateGradient,0.036429
convolutionSeparable,0.348987
convolutionTexture,0.496172
dxtc,0.578590
fastWalshTransform,0.143295
gaussian,0.228520
histogram,0.272655
hotspot,0.013670
matrixMulShared,0.036723
mergeSort,0.041710
nn,0.077268
pathfinder,0.126876
scalarProd,0.147992
scanScanExclusiveShared,0.025907
scanUniformUpdate,0.068922
sortingNetworks,0.004827
srad,0.379506
transpose,0.252501
vectorAdd,0.060145
average,0.186358
