,appName,coreF,memF,avg_power,modelled_power
0,BlackScholes,607,715,91.644279661,110.88086911550052
1,BlackScholes,810,715,109.252842553,127.8548402797903
2,BlackScholes,1012,715,128.094266094,146.8210682374563
3,BlackScholes,1202,715,151.955677966,166.42496464723956
4,BlackScholes,1328,715,192.042978723,180.12434680374855
5,SobolQRNG,607,715,82.2032278481,89.45349572441609
6,SobolQRNG,810,715,91.76044375,99.07472803213821
7,SobolQRNG,1012,715,97.5505759494,110.96115411956364
8,SobolQRNG,1202,715,111.2616,123.7086217873899
9,SobolQRNG,1328,715,134.46849375,132.6280105579383
10,backpropBackward,607,715,81.1843248408,81.16980667694011
11,backpropBackward,810,715,87.5192662338,91.64027442504813
12,backpropBackward,1012,715,93.6715448718,103.61326779514967
13,backpropBackward,1202,715,106.871461538,115.98178894189509
14,backpropBackward,1328,715,129.336025806,124.63450272889729
15,backpropForward,607,715,51.9636470588,55.274495950730845
16,backpropForward,810,715,58.821461039,64.09180507675451
17,backpropForward,1012,715,66.8949019608,74.16347652466983
18,backpropForward,1202,715,81.9438766234,84.57359597402629
19,backpropForward,1328,715,101.860227273,91.85754403365866
20,binomialOptions,607,715,52.8985243243,55.42787946771597
21,binomialOptions,810,715,60.8264042553,64.89404270987116
22,binomialOptions,1012,715,69.2049518717,75.70172748371053
23,binomialOptions,1202,715,85.4185721925,86.82696347363378
24,binomialOptions,1328,715,106.665540107,94.6387918857265
25,cfd,607,715,69.8850359281,65.63057005387536
26,cfd,810,715,72.7272831325,73.71022962458913
27,cfd,1012,715,77.2890650888,82.83205030035661
28,cfd,1202,715,86.0039107143,92.27737170091324
29,cfd,1328,715,99.9192409639,98.87721218757935
30,conjugateGradient,607,715,73.2209254658,70.1419898531565
31,conjugateGradient,810,715,82.3268902439,80.25498523178636
32,conjugateGradient,1012,715,89.0745481928,92.49916922394576
33,conjugateGradient,1202,715,103.94026506,105.42632576568218
34,conjugateGradient,1328,715,125.459109091,114.3414837894827
35,convolutionSeparable,607,715,61.0635227273,58.73568880795044
36,convolutionSeparable,810,715,68.3868415094,67.81548690580637
37,convolutionSeparable,1012,715,73.5377030075,78.12823306940568
38,convolutionSeparable,1202,715,84.0748089888,88.86605503294908
39,convolutionSeparable,1328,715,102.037323308,96.32879173375412
40,convolutionTexture,607,715,40.9581090909,41.16264987940231
41,convolutionTexture,810,715,41.0039684211,46.62149510177363
42,convolutionTexture,1012,715,48.6363905109,52.87499827945587
43,convolutionTexture,1202,715,57.0068832117,59.29920898065994
44,convolutionTexture,1328,715,66.0130442804,63.79346863357932
45,dxtc,607,715,82.1204379085,71.25547127986
46,dxtc,810,715,83.5925324675,79.98795278182043
47,dxtc,1012,715,87.3257960526,89.98744130588733
48,dxtc,1202,715,95.7267763158,100.33818952904683
49,dxtc,1328,715,110.028117647,107.57571512873915
50,eigenvalues,607,715,29.5180533333,28.158182881638528
51,eigenvalues,810,715,30.2730066225,30.578226246745682
52,eigenvalues,1012,715,31.5107615894,33.36188819488903
53,eigenvalues,1202,715,34.8354078947,36.25607797132958
54,eigenvalues,1328,715,39.6731266667,38.286278223655046
55,fastWalshTransform,607,715,28.774004896,24.856218113269637
56,fastWalshTransform,810,715,29.4037291667,27.898775708245342
57,fastWalshTransform,1012,715,30.3433611794,31.405815407751742
58,fastWalshTransform,1202,715,33.3440502451,35.04727839479848
59,fastWalshTransform,1328,715,38.1664198286,37.5944039438587
60,gaussian,607,715,47.8790192308,54.20754459540711
61,gaussian,810,715,54.1603269231,59.730187171320296
62,gaussian,1012,715,57.6718322581,65.87774375209337
63,gaussian,1202,715,68.2869423077,72.77220600423216
64,gaussian,1328,715,81.7191974522,77.56405182678255
65,histogram,607,715,55.5942663043,62.28484584594202
66,histogram,810,715,64.3913027027,70.61835641251335
67,histogram,1012,715,72.0223924731,80.16737313427706
68,histogram,1202,715,86.2046702128,90.09154728237392
69,histogram,1328,715,105.599790323,96.98247177758381
70,hotspot,607,715,49.9880878378,54.86980796935441
71,hotspot,810,715,56.9705838926,63.75892526969607
72,hotspot,1012,715,63.54622,73.90326194240725
73,hotspot,1202,715,78.7796510067,84.39408250897124
74,hotspot,1328,715,101.921871622,91.72765408926975
75,matrixMulGlobal,607,715,72.5090397351,84.36386672835165
76,matrixMulGlobal,810,715,84.7468609272,96.83445591239018
77,matrixMulGlobal,1012,715,96.5248278146,111.1384561594464
78,matrixMulGlobal,1202,715,117.879390728,125.90716815321768
79,matrixMulGlobal,1328,715,145.96781457,136.2149369878091
80,matrixMulShared,607,715,62.155261745,68.53014919110755
81,matrixMulShared,810,715,72.68428,80.89655227224186
82,matrixMulShared,1012,715,84.5054765101,94.92565659109033
83,matrixMulShared,1202,715,106.558346667,109.31973956084882
84,matrixMulShared,1328,715,132.654072848,119.34022325234872
85,mergeSort,607,715,59.2474503311,63.76416744388346
86,mergeSort,810,715,68.0742933333,74.29514956253806
87,mergeSort,1012,715,77.7937682119,86.30010105193031
88,mergeSort,1202,715,94.8252266667,98.69854928801541
89,mergeSort,1328,715,119.230953642,107.36026927065292
90,nn,607,715,94.5038604651,84.06005240575428
91,nn,810,715,99.7133333333,95.10898398220529
92,nn,1012,715,101.665755682,107.84865783966397
93,nn,1202,715,111.821566474,121.09865993048216
94,nn,1328,715,135.773931429,130.43148965584047
95,pathfinder,607,715,48.5619329609,50.3621674930647
96,pathfinder,810,715,55.4383631285,58.51616965715391
97,pathfinder,1012,715,62.6801722222,67.87729430524845
98,pathfinder,1202,715,76.3845865922,77.56687721323686
