kernel,m3_error
BlackScholes,0.065482
SobolQRNG,0.030840
backpropBackward,0.064113
backpropForward,0.538317
cfd,0.384814
conjugateGradient,0.056893
convolutionSeparable,0.542108
convolutionTexture,0.028834
dxtc,0.291230
fastWalshTransform,0.048478
gaussian,0.582948
histogram,0.311429
hotspot,0.472145
matrixMulShared,0.084431
mergeSort,0.316020
nn,0.041184
pathfinder,0.493346
scalarProd,0.113594
scanScanExclusiveShared,0.163932
scanUniformUpdate,0.285822
sortingNetworks,0.280848
srad,0.136640
transpose,0.188995
vectorAdd,0.060936
average,0.232641
