kernel,m3_error
BlackScholes,0.140851
SobolQRNG,0.173712
backpropBackward,0.576871
backpropForward,0.133656
cfd,0.150310
conjugateGradient,0.007995
convolutionSeparable,0.511820
convolutionTexture,0.319867
dxtc,0.666486
fastWalshTransform,0.229980
gaussian,0.542314
histogram,0.077901
hotspot,0.738985
matrixMulShared,0.146803
mergeSort,0.316171
nn,0.344859
pathfinder,0.110393
scalarProd,0.215281
scanScanExclusiveShared,0.039702
scanUniformUpdate,0.343594
sortingNetworks,0.003861
srad,1.078829
transpose,0.260109
vectorAdd,0.048040
average,0.299100
