kernel,m3_error
BlackScholes,0.072436
SobolQRNG,0.183882
backpropBackward,0.069267
backpropForward,0.370023
cfd,0.369102
conjugateGradient,0.107494
convolutionSeparable,0.877012
convolutionTexture,0.064745
dxtc,0.118903
fastWalshTransform,0.047618
gaussian,0.240473
histogram,0.232671
hotspot,0.531896
matrixMulShared,0.520145
mergeSort,0.263385
nn,0.062005
pathfinder,0.292020
scalarProd,0.181050
scanScanExclusiveShared,0.026348
scanUniformUpdate,0.196252
sortingNetworks,0.102041
srad,0.475438
transpose,0.042695
vectorAdd,0.024887
average,0.227991
