kernel,m2_error
BlackScholes,0.172553
SobolQRNG,0.271572
backpropBackward,0.500439
backpropForward,0.300905
cfd,0.235238
conjugateGradient,0.105988
convolutionSeparable,0.375593
convolutionTexture,0.754689
dxtc,0.332574
fastWalshTransform,0.170183
gaussian,0.609244
histogram,0.074276
hotspot,0.735463
matrixMulShared,0.122040
mergeSort,0.234135
nn,0.001465
pathfinder,0.157195
scalarProd,0.027074
scanScanExclusiveShared,0.105168
scanUniformUpdate,0.343661
sortingNetworks,0.023495
srad,0.067867
transpose,0.319494
vectorAdd,0.174080
average,0.258933
