kernel,m3_error
BlackScholes,0.225601
SobolQRNG,0.132659
backpropBackward,0.431389
backpropForward,0.185168
cfd,0.006708
conjugateGradient,0.021899
convolutionSeparable,0.436090
convolutionTexture,0.035313
dxtc,0.185528
fastWalshTransform,0.135582
gaussian,0.619611
histogram,0.002726
hotspot,0.745426
matrixMulShared,0.275015
mergeSort,0.042591
nn,0.165427
pathfinder,0.065020
scalarProd,0.204306
scanScanExclusiveShared,0.021880
scanUniformUpdate,0.202372
sortingNetworks,0.013326
srad,0.058338
transpose,0.264736
vectorAdd,0.103784
average,0.190854
