kernel,m1_error
BlackScholes,0.033276
SobolQRNG,0.234447
backpropBackward,0.118396
backpropForward,0.336730
cfd,0.142141
conjugateGradient,0.179402
convolutionSeparable,0.615387
convolutionTexture,0.282529
dxtc,0.001511
fastWalshTransform,0.042833
gaussian,0.073054
histogram,0.088161
hotspot,0.416381
matrixMulShared,0.290065
mergeSort,0.537359
nn,0.024160
pathfinder,0.325628
scalarProd,0.035273
scanScanExclusiveShared,0.040823
scanUniformUpdate,0.091667
sortingNetworks,0.336875
srad,0.292415
transpose,0.343049
vectorAdd,0.034539
average,0.204838
