kernel,m2_error
BlackScholes,0.002653
SobolQRNG,0.062274
backpropBackward,0.084542
backpropForward,0.532014
cfd,0.387424
conjugateGradient,0.133113
convolutionSeparable,0.904842
convolutionTexture,0.000176
dxtc,0.271316
fastWalshTransform,0.014989
gaussian,0.246174
histogram,0.209435
hotspot,0.407645
matrixMulShared,0.172503
mergeSort,0.243286
nn,0.056726
pathfinder,0.512199
scalarProd,0.201078
scanScanExclusiveShared,0.195979
scanUniformUpdate,0.376813
sortingNetworks,0.183294
srad,0.035789
transpose,0.000441
vectorAdd,0.071514
average,0.221093
