kernel,m3_error
BlackScholes,0.255481
SobolQRNG,0.304792
backpropBackward,0.458131
backpropForward,0.239432
cfd,0.426316
conjugateGradient,0.166771
convolutionSeparable,0.442153
convolutionTexture,0.711005
dxtc,0.509140
fastWalshTransform,0.222616
gaussian,0.647339
histogram,0.157752
hotspot,0.697811
matrixMulShared,0.148456
mergeSort,0.043090
nn,0.005833
pathfinder,0.014879
scalarProd,0.138388
scanScanExclusiveShared,0.065303
scanUniformUpdate,0.349865
sortingNetworks,0.050826
srad,0.049739
transpose,0.277390
vectorAdd,0.206179
average,0.274529
