,appName,coreF,memF,avg_power,modelled_power
0,BlackScholes,607,715,94.16822999999997,94.67563583161832
1,BlackScholes,810,715,110.95593999999998,110.74428032400371
2,BlackScholes,1012,715,128.80452000000002,128.5618345029426
3,BlackScholes,1202,715,153.55667999999997,153.83167652695658
4,BlackScholes,1328,715,194.96884000000003,194.774454722569
5,SobolQRNG,607,715,83.57111,83.70934603924752
6,SobolQRNG,810,715,92.97978999999997,92.46160999517443
7,SobolQRNG,1012,715,98.20909,98.24443714118006
8,SobolQRNG,1202,715,111.73853999999996,112.01673735780717
9,SobolQRNG,1328,715,135.22160000000002,135.34976750307086
10,backpropBackward,607,715,82.65445999999999,81.112283680104
11,backpropBackward,810,715,89.00558000000002,86.86229409812866
12,backpropBackward,1012,715,94.12609999999997,96.64577792460321
13,backpropBackward,1202,715,107.70640000000004,108.1715891657841
14,backpropBackward,1328,715,130.25020999999998,130.53780174223184
15,backpropForward,607,715,52.99936,54.03786153347193
16,backpropForward,810,715,60.01286999999999,62.883694185006604
17,backpropForward,1012,715,67.99633,70.72947729026674
18,backpropForward,1202,715,82.43298999999998,83.73706817450521
19,backpropForward,1328,715,102.50454999999998,102.87106152046917
20,binomialOptions,607,715,54.57907,52.63148602534952
21,binomialOptions,810,715,62.35408,60.98295189861657
22,binomialOptions,1012,715,71.37697999999997,69.4862969228101
23,binomialOptions,1202,715,87.73479000000002,86.02307625470165
24,binomialOptions,1328,715,109.57018000000004,108.21643065379624
25,cfd,607,715,70.91326000000002,70.69603110236466
26,cfd,810,715,73.71019,73.7892325831455
27,cfd,1012,715,78.23380999999998,78.44085307974517
28,cfd,1202,715,86.44062999999994,86.13252576271296
29,cfd,1328,715,100.49557,100.71425302044631
30,conjugateGradient,607,715,74.80082999999998,70.48378078864216
31,conjugateGradient,810,715,83.9757,77.55317550455689
32,conjugateGradient,1012,715,90.89387,85.83647574867904
33,conjugateGradient,1202,715,105.43815,102.48217411634445
34,conjugateGradient,1328,715,126.88041,126.56276308046222
35,convolutionSeparable,607,715,88.31733000000004,88.1265746180904
36,convolutionSeparable,810,715,100.83391999999998,100.80128982575657
37,convolutionSeparable,1012,715,111.83613000000001,112.44752502893807
38,convolutionSeparable,1202,715,130.11276,130.01185329368832
39,convolutionSeparable,1328,715,157.18114000000003,156.95778957180025
40,convolutionTexture,607,715,55.45588000000001,58.16006356780529
41,convolutionTexture,810,715,62.80089999999999,64.05754575601816
42,convolutionTexture,1012,715,69.94178000000002,69.31562072031498
43,convolutionTexture,1202,715,82.99125999999998,82.34529100313186
44,convolutionTexture,1328,715,99.8406,99.89232577471732
45,dxtc,607,715,83.07730999999998,82.93805321491062
