kernel,m1_error
BlackScholes,0.375311
SobolQRNG,0.533043
backpropBackward,0.088807
backpropForward,0.375600
cfd,0.448804
conjugateGradient,0.194753
convolutionSeparable,1.174459
convolutionTexture,0.193191
dxtc,0.369634
fastWalshTransform,0.128864
gaussian,0.944860
histogram,0.600547
hotspot,0.175002
matrixMulShared,0.319883
mergeSort,0.070819
nn,0.085415
pathfinder,0.356655
scalarProd,0.973625
scanScanExclusiveShared,0.144095
scanUniformUpdate,0.392262
sortingNetworks,0.423548
srad,0.273168
transpose,0.336401
vectorAdd,0.152500
average,0.380469
