kernel,m2_error
BlackScholes,0.132604
SobolQRNG,0.071201
backpropBackward,0.143681
backpropForward,0.546299
cfd,0.222068
conjugateGradient,0.213826
convolutionSeparable,0.498188
convolutionTexture,0.512150
dxtc,0.157262
fastWalshTransform,0.088059
gaussian,0.402896
histogram,0.365307
hotspot,0.520215
matrixMulShared,0.033609
mergeSort,0.456387
nn,0.089086
pathfinder,0.600934
scalarProd,0.099523
scanScanExclusiveShared,0.127714
scanUniformUpdate,0.024024
sortingNetworks,0.186492
srad,0.132596
transpose,0.099221
vectorAdd,0.088929
average,0.242178
