kernel,m1_error
BlackScholes,0.754056
SobolQRNG,0.107063
backpropBackward,0.476216
backpropForward,0.040318
cfd,0.504088
conjugateGradient,0.210574
convolutionSeparable,0.160506
convolutionTexture,3.084278
dxtc,1.005471
fastWalshTransform,0.081396
gaussian,1.072173
histogram,0.107486
hotspot,0.316547
matrixMulShared,0.319871
mergeSort,0.191454
nn,0.593268
pathfinder,0.074096
scalarProd,0.111975
scanScanExclusiveShared,0.072171
scanUniformUpdate,0.402097
sortingNetworks,0.294999
srad,0.218571
transpose,0.217305
vectorAdd,0.054000
average,0.436249
