kernel,coreF,memF,real,predict
conjugateGradient,700,3600,1.476312,1.384651
conjugateGradient,700,3900,1.469387,1.377305
conjugateGradient,900,2100,1.465877,1.403160
conjugateGradient,900,2600,1.260846,1.289624
conjugateGradient,900,3100,1.188863,1.206682
conjugateGradient,900,3600,1.170408,1.155472
conjugateGradient,900,3900,1.166672,1.140037
convolutionSeparable,1100,2100,1.109951,1.246344
convolutionSeparable,1100,2600,1.005096,1.149035
convolutionSeparable,1100,3100,1.004424,1.067275
convolutionSeparable,1100,3600,1.000000,1.012627
convolutionSeparable,1100,3900,1.000918,0.994644
convolutionSeparable,1300,2100,1.106641,1.134392
convolutionSeparable,1300,2600,0.876383,1.015097
convolutionSeparable,1300,3100,0.851836,0.928142
convolutionSeparable,1300,3600,0.851574,0.862822
convolutionSeparable,1300,3900,0.851639,0.838338
convolutionSeparable,1500,2100,1.103790,1.067177
convolutionSeparable,1500,2600,0.877169,0.938067
convolutionSeparable,1500,3100,0.753011,0.840741
convolutionSeparable,1500,3600,0.751323,0.766282
convolutionSeparable,1500,3900,0.751159,0.735937
convolutionSeparable,700,2100,1.567060,1.610292
convolutionSeparable,700,2600,1.566471,1.533166
convolutionSeparable,700,3100,1.566372,1.479602
convolutionSeparable,700,3600,1.568339,1.452003
convolutionSeparable,700,3900,1.568339,1.447647
convolutionSeparable,900,2100,1.229128,1.416686
convolutionSeparable,900,2600,1.226359,1.322044
convolutionSeparable,900,3100,1.225605,1.252841
convolutionSeparable,900,3600,1.225294,1.211410
convolutionSeparable,900,3900,1.224835,1.200205
convolutionTexture,1100,2100,1.033336,1.170704
convolutionTexture,1100,2600,1.003286,1.055407
convolutionTexture,1100,3100,0.999760,0.969650
convolutionTexture,1100,3600,1.000000,0.915847
convolutionTexture,1100,3900,1.000160,0.899311
convolutionTexture,1300,2100,0.927799,1.050048
convolutionTexture,1300,2600,0.862489,0.921142
convolutionTexture,1300,3100,0.851430,0.822424
convolutionTexture,1300,3600,0.851190,0.756317
convolutionTexture,1300,3900,0.851511,0.733139
convolutionTexture,1500,2100,0.890376,0.975966
convolutionTexture,1500,2600,0.793613,0.836390
convolutionTexture,1500,3100,0.757993,0.727594
convolutionTexture,1500,3600,0.753426,0.651654
convolutionTexture,1500,3900,0.751879,0.622240
convolutionTexture,700,2100,1.565270,1.538156
convolutionTexture,700,2600,1.565590,1.457453
convolutionTexture,700,3100,1.566632,1.403812
convolutionTexture,700,3600,1.567914,1.378240
convolutionTexture,700,3900,1.568315,1.376992
convolutionTexture,900,2100,1.226541,1.335883
convolutionTexture,900,2600,1.222854,1.236488
convolutionTexture,900,3100,1.223015,1.165924
convolutionTexture,900,3600,1.223415,1.125717
convolutionTexture,900,3900,1.223576,1.116572
dxtc,1100,2100,1.001351,1.209464
dxtc,1100,2600,0.999018,1.176512
dxtc,1100,3100,0.999550,1.170374
dxtc,1100,3600,1.000000,1.191409
dxtc,1100,3900,1.000286,1.216667
dxtc,1300,2100,0.851484,1.071610
dxtc,1300,2600,0.850911,1.027011
dxtc,1300,3100,0.851320,1.009902
dxtc,1300,3600,0.851770,1.020820
dxtc,1300,3900,0.852056,1.040607
dxtc,1500,2100,0.752363,0.979977
dxtc,1500,2600,0.752855,0.925915
dxtc,1500,3100,0.753223,0.899320
dxtc,1500,3600,0.753755,0.901081
dxtc,1500,3900,0.753878,0.915630
dxtc,700,2100,1.564968,1.605967
dxtc,700,2600,1.565705,1.600986
dxtc,700,3100,1.565787,1.619915
dxtc,700,3600,1.567383,1.662265
dxtc,700,3900,1.567383,1.698313
dxtc,900,2100,1.221977,1.389732
dxtc,900,2600,1.222386,1.370191
dxtc,900,3100,1.222509,1.376273
dxtc,900,3600,1.223000,1.407931
dxtc,900,3900,1.216861,1.438746
fastWalshTransform,1100,2100,1.759140,1.537338
fastWalshTransform,1100,2600,1.393899,1.353230
fastWalshTransform,1100,3100,1.153039,1.194633
fastWalshTransform,1100,3600,1.000000,1.064893
fastWalshTransform,1100,3900,0.918606,1.002043
fastWalshTransform,1300,2100,1.759583,1.526435
fastWalshTransform,1300,2600,1.393308,1.329741
fastWalshTransform,1300,3100,1.152448,1.158415
fastWalshTransform,1300,3600,0.998080,1.016045
fastWalshTransform,1300,3900,0.917350,0.945661
fastWalshTransform,1500,2100,1.757220,1.555018
fastWalshTransform,1500,2600,1.393308,1.350703
fastWalshTransform,1500,3100,1.152375,1.170286
fastWalshTransform,1500,3600,0.998523,1.017688
fastWalshTransform,1500,3900,0.917202,0.941160
fastWalshTransform,700,2100,1.760765,1.681766
fastWalshTransform,700,2600,1.397518,1.532452
fastWalshTransform,700,3100,1.286506,1.408293
fastWalshTransform,700,3600,1.312800,1.311813
fastWalshTransform,700,3900,1.312800,1.267630
fastWalshTransform,900,2100,1.759583,1.589409
