kernel,m1_error
BlackScholes,0.112260
SobolQRNG,0.331578
backpropBackward,0.479531
backpropForward,0.290483
cfd,0.548096
conjugateGradient,0.251604
convolutionSeparable,0.306136
convolutionTexture,0.607406
dxtc,1.564272
fastWalshTransform,0.161194
gaussian,0.087112
histogram,0.212348
hotspot,0.550142
matrixMulShared,0.094950
mergeSort,0.354873
nn,0.439159
pathfinder,0.025686
scalarProd,0.246787
scanScanExclusiveShared,0.150766
scanUniformUpdate,0.271176
sortingNetworks,0.096164
srad,0.287558
transpose,0.058249
vectorAdd,0.119998
average,0.318647
