kernel,m3_error
BlackScholes,0.035716
SobolQRNG,0.029041
backpropBackward,0.379434
backpropForward,0.375569
cfd,0.103522
conjugateGradient,0.106846
convolutionSeparable,0.269292
convolutionTexture,0.496394
dxtc,0.288475
fastWalshTransform,0.044506
gaussian,0.111815
histogram,0.109178
hotspot,0.500653
matrixMulShared,0.028019
mergeSort,0.156838
nn,0.367508
pathfinder,0.171302
scalarProd,0.003136
scanScanExclusiveShared,0.106075
scanUniformUpdate,0.125997
sortingNetworks,0.045527
srad,0.261717
transpose,0.146911
vectorAdd,0.002098
average,0.177732
