kernel,m3_error
BlackScholes,0.149465
SobolQRNG,0.207668
backpropBackward,0.259823
backpropForward,0.306056
cfd,0.021741
conjugateGradient,0.012460
convolutionSeparable,0.139643
convolutionTexture,0.351572
dxtc,0.085513
fastWalshTransform,0.136935
gaussian,0.040860
histogram,0.117286
hotspot,0.486416
matrixMulShared,0.031751
mergeSort,0.051787
nn,0.489264
pathfinder,0.046070
scalarProd,0.000326
scanScanExclusiveShared,0.022340
scanUniformUpdate,0.149409
sortingNetworks,0.013031
srad,0.128453
transpose,0.002678
vectorAdd,0.118752
average,0.140387
