kernel,coreF,memF,real,predict
convolutionSeparable,2000,5000,1.013410,0.962917
convolutionSeparable,2000,5500,0.901761,0.915223
convolutionTexture,1700,4000,1.127718,1.061654
convolutionTexture,1700,4500,1.058572,1.008809
convolutionTexture,1700,5000,1.032891,0.954666
convolutionTexture,1700,5500,0.994704,0.899861
convolutionTexture,1600,4000,1.160516,1.076866
convolutionTexture,1600,4500,1.091798,1.024449
convolutionTexture,1600,5000,1.069536,0.970671
convolutionTexture,1600,5500,1.034118,0.916130
convolutionTexture,1800,4000,1.094306,1.045951
convolutionTexture,1800,4500,1.024157,0.992775
convolutionTexture,1800,5000,1.000000,0.938339
convolutionTexture,1800,5500,0.960363,0.883326
convolutionTexture,1900,4000,1.075872,1.029844
convolutionTexture,1900,4500,1.004144,0.976376
convolutionTexture,1900,5000,0.971216,0.921740
convolutionTexture,1900,5500,0.935128,0.866569
convolutionTexture,2000,4000,1.052384,1.013392
convolutionTexture,2000,4500,0.977422,0.959669
convolutionTexture,2000,5000,0.955792,0.904883
convolutionTexture,2000,5500,0.906158,0.849629
dxtc,1700,4000,1.059579,1.139822
dxtc,1700,4500,1.064702,1.086157
dxtc,1700,5000,1.059849,1.030999
dxtc,1700,5500,1.059759,0.975001
dxtc,1600,4000,1.127426,1.152316
dxtc,1600,4500,1.125449,1.099085
dxtc,1600,5000,1.128505,1.044310
dxtc,1600,5500,1.127157,0.988635
dxtc,1800,4000,1.012671,1.126812
dxtc,1800,4500,1.005572,1.072780
dxtc,1800,5000,1.000000,1.017333
dxtc,1800,5500,1.000090,0.961057
dxtc,1900,4000,0.970794,1.113337
dxtc,1900,4500,0.970974,1.059005
dxtc,1900,5000,0.975737,1.003283
dxtc,1900,5500,0.973490,0.946839
dxtc,2000,4000,0.922538,1.099432
dxtc,2000,4500,0.906452,1.044864
dxtc,2000,5000,0.931165,0.988978
dxtc,2000,5500,0.929727,0.932402
fastWalshTransform,1700,4000,1.251851,1.201594
fastWalshTransform,1700,4500,1.094374,1.135385
fastWalshTransform,1700,5000,0.994982,1.067426
fastWalshTransform,1700,5500,0.894148,0.998499
fastWalshTransform,1600,4000,1.251255,1.213906
fastWalshTransform,1600,4500,1.092585,1.148111
fastWalshTransform,1600,5000,0.995346,1.080517
fastWalshTransform,1600,5500,0.893353,1.011839
fastWalshTransform,1800,4000,1.255097,1.188680
fastWalshTransform,1800,4500,1.098067,1.122163
fastWalshTransform,1800,5000,1.000000,1.053957
fastWalshTransform,1800,5500,0.895540,0.984775
fastWalshTransform,1900,4000,1.254551,1.175189
fastWalshTransform,1900,4500,1.102937,1.108419
fastWalshTransform,1900,5000,0.997880,1.040040
fastWalshTransform,1900,5500,0.895556,0.970751
fastWalshTransform,2000,4000,1.262732,1.161173
fastWalshTransform,2000,4500,1.103400,1.094255
fastWalshTransform,2000,5000,1.000729,1.025771
fastWalshTransform,2000,5500,0.896235,0.956472
gaussian,1700,4000,1.213102,1.131310
gaussian,1700,4500,1.090463,1.071337
gaussian,1700,5000,1.013187,1.010128
gaussian,1700,5500,0.931265,0.948062
gaussian,1600,4000,1.223347,1.145265
gaussian,1600,4500,1.099288,1.085728
gaussian,1600,5000,1.022702,1.024933
gaussian,1600,5500,0.939583,0.963225
gaussian,1800,4000,1.201335,1.116739
gaussian,1800,4500,1.077884,1.056358
gaussian,1800,5000,1.000000,0.994879
gaussian,1800,5500,0.919498,0.932511
gaussian,1900,4000,1.198900,1.101607
gaussian,1900,4500,1.068958,1.040919
gaussian,1900,5000,0.993173,0.979101
gaussian,1900,5500,0.911911,0.916608
gaussian,2000,4000,1.197379,1.086041
gaussian,2000,4500,1.063683,1.025109
gaussian,2000,5000,0.986083,0.963124
gaussian,2000,5500,0.904202,0.900525
histogram,1700,4000,1.077768,1.126449
histogram,1700,4500,1.070545,1.091546
histogram,1700,5000,1.068080,1.054900
histogram,1700,5500,1.050216,1.016916
histogram,1600,4000,1.120285,1.149520
histogram,1600,4500,1.116263,1.115029
histogram,1600,5000,1.115874,1.078678
histogram,1600,5500,1.112543,1.040967
histogram,1800,4000,1.032483,1.102846
histogram,1800,4500,1.014576,1.067539
histogram,1800,5000,1.000000,1.030626
histogram,1800,5500,0.973616,0.992466
histogram,1900,4000,0.990225,1.078818
histogram,1900,4500,0.959862,1.043141
histogram,1900,5000,0.935943,1.005989
histogram,1900,5500,0.926514,0.967652
histogram,2000,4000,0.940874,1.054408
histogram,2000,4500,0.896280,1.018370
histogram,2000,5000,0.883478,0.981001
histogram,2000,5500,0.881055,0.942604
hotspot,1700,4000,1.069875,1.090826
hotspot,1700,4500,1.062359,1.044827
hotspot,1700,5000,1.054036,0.997581
hotspot,1700,5500,1.068150,0.949594
hotspot,1600,4000,1.121381,1.112893
hotspot,1600,4500,1.120920,1.067664
hotspot,1600,5000,1.128245,1.020884
hotspot,1600,5500,1.127709,0.973092
hotspot,1800,4000,1.007670,1.067738
hotspot,1800,4500,1.008130,1.021676
hotspot,1800,5000,1.000000,0.974274
hotspot,1800,5500,1.005944,0.925945
hotspot,1900,4000,0.965638,1.044987
hotspot,1900,4500,0.970470,0.998445
hotspot,1900,5000,0.971352,0.950593
hotspot,1900,5500,0.971965,0.902100
hotspot,2000,4000,0.915244,1.021342
hotspot,2000,4500,0.924372,0.974510
hotspot,2000,5000,0.924449,0.926619
hotspot,2000,5500,0.919923,0.878026
matrixMulShared,1700,4000,1.067134,1.198524
matrixMulShared,1700,4500,1.056996,1.147221
matrixMulShared,1700,5000,1.062167,1.094124
matrixMulShared,1700,5500,1.055070,1.039866
matrixMulShared,1600,4000,1.123806,1.213956
matrixMulShared,1600,4500,1.113567,1.163051
matrixMulShared,1600,5000,1.126848,1.110277
matrixMulShared,1600,5500,1.108498,1.056284
matrixMulShared,1800,4000,1.003934,1.182462
matrixMulShared,1800,4500,0.995012,1.130832
matrixMulShared,1800,5000,1.000000,1.077485
matrixMulShared,1800,5500,0.985959,1.023024
matrixMulShared,1900,4000,0.954673,1.165886
matrixMulShared,1900,4500,0.952310,1.113992
matrixMulShared,1900,5000,0.954794,1.060425
matrixMulShared,1900,5500,0.949938,1.005839
matrixMulShared,2000,4000,0.919929,1.148766
matrixMulShared,2000,4500,0.918287,1.096656
matrixMulShared,2000,5000,0.916361,1.042963
matrixMulShared,2000,5500,0.911748,0.988361
mergeSort,1700,4000,1.054160,1.082077
mergeSort,1700,4500,1.059159,1.042879
mergeSort,1700,5000,1.053660,1.002321
mergeSort,1700,5500,1.067986,0.960843
mergeSort,1600,4000,1.119541,1.104064
mergeSort,1600,4500,1.118686,1.065335
mergeSort,1600,5000,1.135222,1.025152
mergeSort,1600,5500,1.124790,0.983916
mergeSort,1800,4000,0.996132,1.059447
mergeSort,1800,4500,1.000474,1.019899
mergeSort,1800,5000,1.000000,0.979041
mergeSort,1800,5500,0.999763,0.937291
mergeSort,1900,4000,0.949840,1.036393
mergeSort,1900,4500,0.954325,0.996434
mergeSort,1900,5000,0.953904,0.955299
mergeSort,1900,5500,0.953536,0.913440
mergeSort,2000,4000,0.906941,1.012914
mergeSort,2000,4500,0.902468,0.972682
mergeSort,2000,5000,0.902402,0.931315
mergeSort,2000,5500,0.905638,0.889414
nn,1700,4000,1.250358,1.185483
nn,1700,4500,1.100903,1.120657
nn,1700,5000,0.999821,1.054121
nn,1700,5500,0.900315,0.986641
nn,1600,4000,1.249140,1.198222
nn,1600,4500,1.101440,1.134260
nn,1600,5000,1.000645,1.068080
nn,1600,5500,0.901211,1.000933
nn,1800,4000,1.250466,1.171625
nn,1800,4500,1.101082,1.105601
nn,1800,5000,1.000000,1.039711
nn,1800,5500,0.899205,0.971964
nn,1900,4000,1.250896,1.156147
nn,1900,4500,1.101333,1.091845
nn,1900,5000,0.997922,1.024847
nn,1900,5500,0.897520,0.957032
nn,2000,4000,1.252078,1.141188
nn,2000,4500,1.101548,1.076775
nn,2000,5000,0.996058,1.009539
nn,2000,5500,0.899240,0.940616
pathfinder,1700,4000,1.092520,1.103762
pathfinder,1700,4500,1.059339,1.059068
pathfinder,1700,5000,1.045859,1.013034
pathfinder,1700,5500,1.023849,0.966168
pathfinder,1600,4000,1.134609,1.124649
pathfinder,1600,4500,1.101522,1.080374
pathfinder,1600,5000,1.092096,1.034638
pathfinder,1600,5500,1.072301,0.988012
pathfinder,1800,4000,1.052646,1.082314
pathfinder,1800,4500,1.015224,1.037309
pathfinder,1800,5000,1.000000,0.991005
pathfinder,1800,5500,0.972805,0.943979
pathfinder,1900,4000,1.019937,1.060488
pathfinder,1900,4500,0.978084,1.015164
pathfinder,1900,5000,0.961964,0.968665
pathfinder,1900,5500,0.940472,0.921505
pathfinder,2000,4000,0.982655,1.038254
