kernel,coreF,memF,real,predict
convolutionSeparable,2000,4500,1.006953,0.974032
convolutionSeparable,2000,5000,0.907509,0.910911
convolutionTexture,1700,3500,1.190347,1.110757
convolutionTexture,1700,4000,1.094713,1.040026
convolutionTexture,1700,4500,1.026667,0.967619
convolutionTexture,1700,5000,0.979716,0.894605
convolutionTexture,1600,3500,1.218871,1.126092
convolutionTexture,1600,4000,1.129368,1.055639
convolutionTexture,1600,4500,1.066298,0.983426
convolutionTexture,1600,5000,1.024972,0.910525
convolutionTexture,1800,3500,1.162255,1.094482
convolutionTexture,1800,4000,1.065540,1.023558
convolutionTexture,1800,4500,1.000000,0.951132
convolutionTexture,1800,5000,0.950417,0.878029
convolutionTexture,1900,3500,1.143900,1.077352
convolutionTexture,1900,4000,1.041037,1.006336
convolutionTexture,1900,4500,0.970863,0.933798
convolutionTexture,1900,5000,0.926256,0.860838
convolutionTexture,2000,3500,1.121939,1.059412
convolutionTexture,2000,4000,1.026487,0.988373
convolutionTexture,2000,4500,0.953572,0.915910
convolutionTexture,2000,5000,0.903538,0.843200
dxtc,1700,3500,1.053673,1.157547
dxtc,1700,4000,1.055599,1.086521
dxtc,1700,4500,1.055862,1.014132
dxtc,1700,5000,1.054811,0.941446
dxtc,1600,3500,1.108922,1.172630
dxtc,1600,4000,1.125120,1.102003
dxtc,1600,4500,1.117503,1.029937
dxtc,1600,5000,1.127835,0.957486
dxtc,1800,3500,0.995272,1.141635
dxtc,1800,4000,0.998599,1.070294
dxtc,1800,4500,1.000000,0.997674
dxtc,1800,5000,0.999212,0.924837
dxtc,1900,3500,0.953507,1.124949
dxtc,1900,4000,0.957359,1.053382
dxtc,1900,4500,0.949567,0.980619
dxtc,1900,5000,0.956571,0.907723
dxtc,2000,3500,0.921898,1.107548
dxtc,2000,4000,0.912617,1.035846
dxtc,2000,4500,0.913755,0.963030
dxtc,2000,5000,0.919709,0.890167
fastWalshTransform,1700,3500,1.330182,1.284990
fastWalshTransform,1700,4000,1.137413,1.191234
fastWalshTransform,1700,4500,0.996937,1.095647
fastWalshTransform,1700,5000,0.887128,0.999693
fastWalshTransform,1600,3500,1.332158,1.295529
fastWalshTransform,1600,4000,1.137956,1.202078
fastWalshTransform,1600,4500,0.993741,1.106789
fastWalshTransform,1600,5000,0.884855,1.010847
fastWalshTransform,1800,3500,1.335074,1.273447
fastWalshTransform,1800,4000,1.141020,1.179533
fastWalshTransform,1800,4500,1.000000,1.083869
fastWalshTransform,1800,5000,0.890373,0.987683
fastWalshTransform,1900,3500,1.336111,1.260871
fastWalshTransform,1900,4000,1.140048,1.166935
fastWalshTransform,1900,4500,1.001861,1.071178
fastWalshTransform,1900,5000,0.891921,0.975129
fastWalshTransform,2000,3500,1.336507,1.247404
fastWalshTransform,2000,4000,1.146587,1.153416
fastWalshTransform,2000,4500,1.004842,1.057828
fastWalshTransform,2000,5000,0.893717,0.961977
gaussian,1700,3500,1.265408,1.162593
gaussian,1700,4000,1.121660,1.085231
gaussian,1700,4500,1.015825,1.005248
gaussian,1700,5000,0.932293,0.925566
gaussian,1600,3500,1.277443,1.177894
gaussian,1600,4000,1.137304,1.099211
gaussian,1600,4500,1.029242,1.019874
gaussian,1600,5000,0.947600,0.939486
gaussian,1800,3500,1.256411,1.148009
gaussian,1800,4000,1.107241,1.069082
gaussian,1800,4500,1.000000,0.990168
gaussian,1800,5000,0.921889,0.908787
gaussian,1900,3500,1.249325,1.133786
gaussian,1900,4000,1.101415,1.053485
gaussian,1900,4500,0.991958,0.975312
gaussian,1900,5000,0.910968,0.894581
gaussian,2000,3500,1.245839,1.116055
gaussian,2000,4000,1.093306,1.039590
gaussian,2000,4500,0.981757,0.958099
gaussian,2000,5000,0.901003,0.879544
histogram,1700,3500,1.066571,1.176292
histogram,1700,4000,1.058376,1.126323
histogram,1700,4500,1.054089,1.074626
histogram,1700,5000,1.034210,1.021970
histogram,1600,3500,1.101244,1.201799
histogram,1600,4000,1.098260,1.152167
histogram,1600,4500,1.092082,1.100688
histogram,1600,5000,1.090233,1.048118
histogram,1800,3500,1.032151,1.149809
histogram,1800,4000,1.020383,1.099538
histogram,1800,4500,1.000000,1.047672
histogram,1800,5000,0.967177,0.994995
histogram,1900,3500,0.997941,1.122402
histogram,1900,4000,0.978482,1.071904
histogram,1900,4500,0.939691,1.019947
histogram,1900,5000,0.929226,0.967308
histogram,2000,3500,0.966462,1.094171
histogram,2000,4000,0.924645,1.043514
histogram,2000,4500,0.890603,0.991526
histogram,2000,5000,0.882155,0.939008
hotspot,1700,3500,1.050011,1.117178
hotspot,1700,4000,1.053597,1.063637
hotspot,1700,4500,1.050087,1.008341
hotspot,1700,5000,1.051219,0.952100
hotspot,1600,3500,1.112629,1.139018
hotspot,1600,4000,1.112780,1.085771
hotspot,1600,4500,1.120518,1.030632
hotspot,1600,5000,1.119725,0.974445
hotspot,1800,3500,1.001698,1.094390
hotspot,1800,4000,0.999283,1.040641
hotspot,1800,4500,1.000000,0.985249
hotspot,1800,5000,1.000075,0.929030
hotspot,1900,3500,0.948328,1.070758
hotspot,1900,4000,0.958783,1.016863
hotspot,1900,4500,0.957802,0.961445
hotspot,1900,5000,0.954556,0.905316
hotspot,2000,3500,0.918736,1.046391
hotspot,2000,4000,0.910923,0.992407
hotspot,2000,4500,0.916547,0.937024
hotspot,2000,5000,0.905903,0.881051
matrixMulShared,1700,3500,1.076991,1.245514
matrixMulShared,1700,4000,1.064289,1.176450
matrixMulShared,1700,4500,1.053639,1.104604
matrixMulShared,1700,5000,1.045628,1.031038
matrixMulShared,1600,3500,1.125159,1.259141
matrixMulShared,1600,4000,1.121935,1.190327
matrixMulShared,1600,4500,1.114607,1.118668
matrixMulShared,1600,5000,1.107670,1.045206
matrixMulShared,1800,3500,1.014069,1.230840
matrixMulShared,1800,4000,1.012506,1.161619
matrixMulShared,1800,4500,1.000000,1.089687
matrixMulShared,1800,5000,0.989741,1.016110
matrixMulShared,1900,3500,0.973415,1.215294
matrixMulShared,1900,4000,0.960518,1.146019
