kernel,m2_error
BlackScholes,0.283627
SobolQRNG,0.279345
backpropBackward,0.536758
backpropForward,0.268446
cfd,0.610731
conjugateGradient,0.008917
convolutionSeparable,0.057360
convolutionTexture,0.797718
dxtc,0.516575
fastWalshTransform,0.218787
gaussian,0.552636
histogram,0.020528
hotspot,0.345993
matrixMulShared,0.043367
mergeSort,0.025381
nn,0.070408
pathfinder,0.045419
scalarProd,0.189653
scanScanExclusiveShared,0.081461
scanUniformUpdate,0.410721
sortingNetworks,0.079122
srad,0.345629
transpose,0.321102
vectorAdd,0.256091
average,0.265241
