kernel,m2_error
BlackScholes,0.038838
SobolQRNG,0.086936
backpropBackward,0.373092
backpropForward,0.417598
cfd,0.194434
conjugateGradient,0.073947
convolutionSeparable,0.331816
convolutionTexture,0.558576
dxtc,0.023987
fastWalshTransform,0.067358
gaussian,0.120947
histogram,0.142131
hotspot,0.536460
matrixMulShared,0.073915
mergeSort,0.221300
nn,0.303145
pathfinder,0.212875
scalarProd,0.010024
scanScanExclusiveShared,0.056747
scanUniformUpdate,0.119369
sortingNetworks,0.055399
srad,0.286125
transpose,0.064510
vectorAdd,0.017775
average,0.182804
