,appName,coreF,memF,avg_power,modelled_power
0,BlackScholes,802,877,142.7021,143.03122771573663
1,BlackScholes,945,877,161.26310000000004,161.29095617055893
2,BlackScholes,1087,877,185.29323,185.24012583591937
3,BlackScholes,1237,877,214.38769,213.9099613719344
4,BlackScholes,1380,877,212.2097,212.49639506670238
5,SobolQRNG,802,877,117.90865999999995,117.54981987883866
6,SobolQRNG,945,877,129.37260999999998,129.4299481633973
7,SobolQRNG,1087,877,142.76798,142.77489312322498
8,SobolQRNG,1237,877,162.12400999999997,162.9809115272552
9,SobolQRNG,1380,877,189.97353,189.70334462482631
10,backpropBackward,802,877,110.01254000000004,110.11780260945797
11,backpropBackward,945,877,121.63942999999998,121.32195294865608
12,backpropBackward,1087,877,114.62122999999998,114.98751034802557
13,backpropBackward,1237,877,146.16194000000004,145.93704531225444
14,backpropBackward,1380,877,168.45702,168.3258868798685
15,backpropForward,802,877,111.05109,111.32241382213714
16,backpropForward,945,877,124.9602,124.39088704859617
17,backpropForward,1087,877,144.20922000000004,144.74716038240197
18,backpropForward,1237,877,174.56536,174.16763230706934
19,backpropForward,1380,877,182.84062000000003,182.95032077996973
20,binomialOptions,802,877,93.50885999999996,93.50575117998123
21,binomialOptions,945,877,107.73451000000001,107.73403070694506
22,binomialOptions,1087,877,128.11773000000002,128.16478176991345
23,binomialOptions,1237,877,162.21860000000004,162.0071173892021
24,binomialOptions,1380,877,167.85745,168.0250151414752
25,cfd,802,877,91.12742,96.57190852612256
26,cfd,945,877,101.50267,105.98172531723975
27,cfd,1087,877,97.79662000000002,113.81505107134579
28,cfd,1237,877,110.11089,130.32584870904682
29,cfd,1380,877,143.075,142.74971899241208
30,conjugateGradient,802,877,99.96693,97.76941708234727
31,conjugateGradient,945,877,111.15572,108.12037776438117
32,conjugateGradient,1087,877,121.30023000000004,121.25766968196272
33,conjugateGradient,1237,877,122.56523,146.50282538449645
34,conjugateGradient,1380,877,164.54781,163.24339038506628
35,convolutionSeparable,802,877,110.47484,99.5838955100739
36,convolutionSeparable,945,877,124.95686,111.27842939616859
37,convolutionSeparable,1087,877,143.31826999999996,131.2185853090185
38,convolutionSeparable,1237,877,174.54704999999996,164.85706814657627
39,convolutionSeparable,1380,877,181.33799,186.32364506764173
40,convolutionTexture,802,877,80.27811999999999,80.10573227806927
41,convolutionTexture,945,877,89.40238999999998,89.45600213943662
42,convolutionTexture,1087,877,104.44426,104.20352936725021
43,convolutionTexture,1237,877,108.10734000000002,108.46508083065153
44,convolutionTexture,1380,877,131.94731000000002,131.90929217293385
45,eigenvalues,802,877,28.882999999999992,26.419878948827392
46,eigenvalues,945,877,34.27613999999999,30.21295867523194
47,eigenvalues,1087,877,37.06609,34.505705578726534
48,eigenvalues,1237,877,41.49278999999999,38.889394711102256
49,eigenvalues,1380,877,42.36097000000001,42.54557631135584
50,fastWalshTransform,802,877,88.91042999999998,89.15152545802114
51,fastWalshTransform,945,877,97.29861,97.2632823023796
52,fastWalshTransform,1087,877,103.88096999999999,103.85406700473783
53,fastWalshTransform,1237,877,116.07432,115.8619053514385
54,fastWalshTransform,1380,877,116.10607999999998,116.256157131443
55,gaussian,802,877,44.66165000000001,44.68535598243059
56,gaussian,945,877,56.23438,56.12715476513924
57,gaussian,1087,877,62.77999999999998,62.976425450516956
58,gaussian,1237,877,75.3172,75.06563357231322
59,gaussian,1380,877,79.66121000000003,79.79552646278384
60,histogram,802,877,77.16242,77.23845601114272
61,histogram,945,877,86.53372999999998,86.30360368788718
62,histogram,1087,877,100.21332,100.13190750505446
63,histogram,1237,877,104.33609,104.71470541097639
64,histogram,1380,877,128.37967999999998,128.28450411027907
65,hotspot,802,877,81.96904,82.25335557168964
66,hotspot,945,877,90.77998999999998,89.59127688766364
67,hotspot,1087,877,104.89865000000002,105.25878859244528
68,hotspot,1237,877,128.21505999999997,120.64491793769184
69,hotspot,1380,877,141.39673000000005,132.19892244486337
70,matrixMulGlobal,802,877,109.28140000000002,112.12239222474872
71,matrixMulGlobal,945,877,125.46031999999997,127.06390300078154
72,matrixMulGlobal,1087,877,149.54059999999996,133.18632975767613
73,matrixMulGlobal,1237,877,189.92049,165.09100851174236
74,matrixMulGlobal,1380,877,205.44277,205.1083619190687
75,matrixMulShared,802,877,94.1934,94.4066525015259
76,matrixMulShared,945,877,106.47884000000002,106.49922140364171
77,matrixMulShared,1087,877,125.63556,125.13702071496012
78,matrixMulShared,1237,877,154.04317,154.37571397099498
79,matrixMulShared,1380,877,198.44072000000003,198.4123091713238
80,mergeSort,802,877,100.72352,100.68688144193888
81,mergeSort,945,877,98.48750999999996,98.6910036498481
82,mergeSort,1087,877,131.54868000000002,131.65812448536514
83,mergeSort,1237,877,159.40220000000005,159.11253607206345
84,mergeSort,1380,877,165.89433,165.9420696145606
85,nn,802,877,106.63689,106.84328823308348
86,nn,945,877,117.96761000000004,117.58257372363506
87,nn,1087,877,126.28621000000001,125.93132596420048
88,nn,1237,877,126.56937999999998,127.26901437650918
89,nn,1380,877,159.53005,159.30492126208543
90,pathfinder,802,877,81.63984,81.7556120084667
91,pathfinder,945,877,109.46363000000001,109.2657428299999
92,pathfinder,1087,877,127.93402,127.46146219097135
93,pathfinder,1237,877,134.78911000000002,135.29484537769315
94,pathfinder,1380,877,167.14447999999996,167.2011471968841
95,quasirandomGenerator,802,877,75.47031000000001,75.44276442987442
96,quasirandomGenerator,945,877,84.99522999999998,85.02222462487936
97,quasirandomGenerator,1087,877,97.77498,97.96733441989302
98,quasirandomGenerator,1237,877,121.16833000000004,120.98737634827137
