,appName,n_dm,n_l2,n_shm,tex_trans,n_flop_sp,n_flop_dp,n_int,act_util,c_to_m,inst_per_warp,real_cycle
0,BlackScholes,0.1126359832697667,0.11303540443831957,0.0,0.06763112447685772,0.5714352388613406,0.0,0.13526224895371544,0.8726950000000001,0.5238095238095238,163.0,31.20461979725017
1,BlackScholes,0.11206117680637055,0.11347198289338639,0.0,0.06764319753665315,0.5715372476902837,0.0,0.1352863950733063,0.8567530000000001,0.4230769230769231,163.0,24.49739814936059
2,BlackScholes,0.11208266378221383,0.11307361972338673,0.0,0.06767611451840319,0.5718153729391898,0.0,0.13535222903680638,0.8448969999999999,0.3548387096774194,163.0,20.345398376860448
3,BlackScholes,0.11176881909579782,0.11308405195666651,0.0,0.06770261505714106,0.5720392837761125,0.0,0.13540523011428213,0.841159,0.3055555555555556,163.0,18.264317886388206
4,BlackScholes,0.11207127929916208,0.11303043798166093,0.0,0.06768088042151149,0.5718556414546425,0.0,0.13536176084302298,0.836894,0.28205128205128205,163.0,17.424140235243435
5,BlackScholes,0.11327742112394686,0.11300991182590575,0.0,0.0675773268143982,0.5709806866069528,0.0,0.1351546536287964,0.876647,0.6190476190476191,163.0,36.97629828897695
6,BlackScholes,0.11250920561735493,0.11297675039934786,0.0,0.06764732038335379,0.5715720828332359,0.0,0.13529464076670758,0.864242,0.5,163.0,28.962477318707556
7,BlackScholes,0.11233437984561316,0.11329956329748882,0.0,0.0676343949462621,0.5714628720181117,0.0,0.1352687898925242,0.85298,0.41935483870967744,163.0,23.887316443430784
8,BlackScholes,0.11227076092829588,0.11290685923425019,0.0,0.06767425093997036,0.5717996270175428,0.0,0.1353485018799407,0.84554,0.3611111111111111,163.0,20.797110507793327
9,BlackScholes,0.11200199189175919,0.11363316901774345,0.0,0.06763428858455763,0.5714619733368246,0.0,0.13526857716911525,0.8399120000000001,0.3333333333333333,163.0,19.23148587805283
10,BlackScholes,0.11351165900448625,0.11334208570666746,0.0,0.06752785548694676,0.570562688828006,0.0,0.13505571097389352,0.881143,0.7142857142857143,163.0,42.87734799090403
11,BlackScholes,0.11281435893885702,0.11298455665748286,0.0,0.0676199859830092,0.5713411264546325,0.0,0.1352399719660184,0.872351,0.5769230769230769,163.0,33.70078878923036
12,BlackScholes,0.11260552722782141,0.11298061555843247,0.0,0.0676385699074255,0.5714981474914697,0.0,0.135277139814851,0.860791,0.4838709677419355,163.0,27.59598710076932
13,BlackScholes,0.11230634099216869,0.11298403912487409,0.0,0.06766440230155313,0.5717164129782978,0.0,0.13532880460310626,0.8498469999999999,0.4166666666666667,163.0,23.828894749381842
14,BlackScholes,0.11209152913296094,0.1129327457882884,0.0,0.06768764436356008,0.5719127919880703,0.0,0.13537528872712015,0.8455879999999999,0.38461538461538464,163.0,21.954551551937335
15,BlackScholes,0.11241238004181453,0.1133883614244685,0.0,0.06761982650854906,0.5713397790080698,0.0,0.13523965301709812,0.8519700000000001,0.3333333333333333,163.0,19.939803176394594
16,BlackScholes,0.11236724740756114,0.11306723480999993,0.0,0.06765181618896111,0.5716100692155556,0.0,0.13530363237792223,0.843532,0.2692307692307692,163.0,17.12208153674503
17,BlackScholes,0.11265759576207693,0.1133028759856123,0.0,0.06760587540513764,0.5712219020368978,0.0,0.13521175081027528,0.845181,0.22580645161290322,163.0,16.675123602960443
18,BlackScholes,0.11246022629127755,0.11325195056140891,0.0,0.06762756188641232,0.5714051374880766,0.0,0.13525512377282464,0.845182,0.19444444444444445,163.0,16.767181376316145
19,BlackScholes,0.11222302788225676,0.113473929642943,0.0,0.06762889116730852,0.5714163689728747,0.0,0.13525778233461705,0.846817,0.1794871794871795,163.0,16.78586890790117
20,BlackScholes,0.11290093556272168,0.11309938241889306,0.0,0.06760239517004912,0.5711924965082379,0.0,0.13520479034009825,0.863547,0.42857142857142855,163.0,25.402806749104055
21,BlackScholes,0.11235519357034941,0.11307563344273926,0.0,0.06765213544048397,0.5716127666654595,0.0,0.13530427088096794,0.850866,0.34615384615384615,163.0,20.280746611756147
22,BlackScholes,0.1120272616404298,0.11303604128644142,0.0,0.0676842355938667,0.5718839902915287,0.0,0.1353684711877334,0.8426819999999999,0.2903225806451613,163.0,17.66454549174486
23,BlackScholes,0.11221908681493975,0.11330158730899896,0.0,0.06764428804721793,0.5715464617344075,0.0,0.13528857609443587,0.8397600000000001,0.25,163.0,16.775216914797653
24,BlackScholes,0.11199712406692232,0.11304331136476897,0.0,0.06768623287820884,0.5719008659336823,0.0,0.13537246575641768,0.8400129999999999,0.23076923076923078,163.0,16.76783153789299
25,SobolQRNG,0.16650819141492082,0.1662580950257102,0.04193208659845256,0.00016174382487349104,0.04140641916761371,0.0,0.5837334639684292,0.961205,0.5238095238095238,10836.0,49.77793146000287
26,SobolQRNG,0.16604965949271003,0.16637941954220922,0.041953278288636375,0.00016182556716928207,0.04142734519533621,0.0,0.5840284719139389,0.953938,0.4230769230769231,10836.0,39.47560827112676
27,SobolQRNG,0.16588127832738592,0.16625396475134394,0.04197174431412382,0.00016189679581147086,0.04144557972773654,0.0,0.5842855360835983,0.9480120000000001,0.3548387096774194,10836.0,32.77674959639599
28,SobolQRNG,0.16598320303132472,0.16637991714602451,0.041957423451674976,0.00016184155622632585,0.04143143839393942,0.0,0.58408617642081,0.939311,0.3055555555555556,10836.0,28.511882731700645
29,SobolQRNG,0.16615393300337644,0.16656980289611084,0.04193476067342777,0.00016175413953106182,0.041409059719951825,0.0,0.5837706895676021,0.9334870000000001,0.28205128205128205,10836.0,26.2354508113413
