,appName,n_dm,n_l2,n_shm,tex_trans,n_flop_sp,n_flop_dp,n_int,act_util,c_to_m,inst_per_warp,real_cycle
0,BlackScholes,0.13054836985930734,0.1726059456168831,0.0,0.09696969696969697,0.6144944323254871,0.0,0.15151515151515152,0.921277,1.4153846153846155,165.0,33.81484581664
1,BlackScholes,0.12708651920995673,0.17175236066017313,0.0,0.09696969696969697,0.6144944323254871,0.0,0.15151515151515152,0.917689,1.681118881118881,165.0,35.18300382047516
2,BlackScholes,0.12705614853896105,0.1715895359848485,0.0,0.09696969696969697,0.6144944323254871,0.0,0.15151515151515152,0.9167370000000001,1.8573426573426572,165.0,37.09536156311273
3,BlackScholes,0.1337499053030303,0.17382642045454544,0.0,0.09696969696969697,0.6144944323254871,0.0,0.15151515151515152,0.9291370000000001,0.848951048951049,165.0,33.553416552773335
4,BlackScholes,0.13105150838744586,0.17292316017316017,0.0,0.09696969696969697,0.6144944323254871,0.0,0.15151515151515152,0.9179200000000001,1.132867132867133,165.0,33.370764637090915
5,SobolQRNG,0.19434695085162668,0.19212871861512043,0.04767485032719172,4.64101731099457e-05,0.0475240172645844,0.0,0.6664964960319302,0.5379,1.4153846153846155,43094.0,27.222277342650024
6,SobolQRNG,0.19330736297396392,0.1923701907458115,0.04767485032719172,4.64101731099457e-05,0.0475240172645844,0.0,0.6664964960319302,0.541447,1.681118881118881,43094.0,31.34207020215038
7,SobolQRNG,0.19355074952429574,0.19023969694156956,0.04767485032719172,4.64101731099457e-05,0.0475240172645844,0.0,0.6664964960319302,0.5430020000000001,1.8573426573426572,43094.0,34.08225754804854
8,SobolQRNG,0.19499202905276838,0.19638984545412355,0.04767485032719172,4.64101731099457e-05,0.0475240172645844,0.0,0.6664964960319302,0.48701400000000006,0.848951048951049,43094.0,18.29662539029968
9,SobolQRNG,0.19440787580637675,0.19410433006915115,0.04767485032719172,4.64101731099457e-05,0.0475240172645844,0.0,0.6664964960319302,0.5205489999999999,1.132867132867133,43094.0,22.46913967283427
10,backpropForward,0.0316403517082556,0.03775376746066313,0.040825285338015806,0.021071115013169446,0.020851624231782266,0.0,0.41856892010535557,0.9762639999999999,1.4153846153846155,284.75,48.15273522592185
11,backpropForward,0.03164491996731645,0.03775395501382106,0.040825285338015806,0.021071115013169446,0.020851624231782266,0.0,0.41856892010535557,0.976259,1.681118881118881,284.75,48.23794502011193
12,backpropForward,0.03164532186694057,0.03775376746066313,0.040825285338015806,0.021071115013169446,0.020851624231782266,0.0,0.41856892010535557,0.9762,1.8573426573426572,284.75,48.62418560096575
13,backpropForward,0.0316347653034803,0.037753888030550374,0.040825285338015806,0.021071115013169446,0.020851624231782266,0.0,0.41856892010535557,0.978934,0.848951048951049,284.75,48.04503754077042
14,backpropForward,0.03163895845622531,0.037754182756941396,0.040825285338015806,0.021071115013169446,0.020851624231782266,0.0,0.41856892010535557,0.9770719999999999,1.132867132867133,284.75,48.164150085052675
15,conjugateGradient,0.10094936077411358,0.11285737844613883,0.08791208791208792,0.21978021978021978,0.04395604199105567,0.0,0.39285713827217017,0.90323,1.4153846153846155,91.0,41.13721410126201
16,conjugateGradient,0.09979352846250429,0.11258825365003648,0.08791208791208792,0.21978021978021978,0.04395604199105567,0.0,0.39285713827217017,0.8955209999999999,1.681118881118881,91.0,42.26987608965595
17,conjugateGradient,0.10138478121914707,0.11257964962131374,0.08791208791208792,0.21978021978021978,0.04395604199105567,0.0,0.39285713827217017,0.900266,1.8573426573426572,91.0,43.63113740813702
18,conjugateGradient,0.10202703371152773,0.11261858258928571,0.08791208791208792,0.21978021978021978,0.04395604199105567,0.0,0.39285713827217017,0.857977,0.848951048951049,91.0,38.957685729882805
19,conjugateGradient,0.10198710514948918,0.11419728038075207,0.08791208791208792,0.21978021978021978,0.04395604199105567,0.0,0.39285713827217017,0.8964620000000001,1.132867132867133,91.0,40.741409924729574
20,convolutionSeparable,0.20499252086262254,0.2275712336257504,0.8450490158826658,0.12128581199179268,0.8268105479139751,0.0,0.0638346378904172,0.76117,1.4153846153846155,328.975,41.95607679832814
21,convolutionSeparable,0.2068901126367885,0.2275961393461699,0.8450490158826658,0.12128581199179268,0.8268105479139751,0.0,0.0638346378904172,0.752745,1.681118881118881,328.975,41.650411662744126
22,convolutionSeparable,0.20859127872321226,0.2259090587953112,0.8450490158826658,0.12128581199179268,0.8268105479139751,0.0,0.0638346378904172,0.746375,1.8573426573426572,328.975,42.321058593358146
23,convolutionSeparable,0.20982931418135875,0.23225868909824074,0.8450490158826658,0.12128581199179268,0.8268105479139751,0.0,0.0638346378904172,0.764143,0.848951048951049,328.975,41.85810348123072
24,convolutionSeparable,0.2060939310785394,0.23000819454603316,0.8450490158826658,0.12128581199179268,0.8268105479139751,0.0,0.0638346378904172,0.7626470000000001,1.132867132867133,328.975,41.96706940177065
25,convolutionTexture,0.08882430289166346,0.1262938256586867,0.0,1.4313435288836038,0.5578029928737573,0.0,0.22111494817749236,0.868764,1.4153846153846155,94.941452,90.6115691615302
26,convolutionTexture,0.08663531901792777,0.12420447974539177,0.0,1.4313435288836038,0.5578029928737573,0.0,0.22111494817749236,0.869497,1.681118881118881,94.941452,93.89581625793956
27,convolutionTexture,0.08629503652947261,0.1237958298523224,0.0,1.4313435288836038,0.5578029928737573,0.0,0.22111494817749236,0.8682639999999999,1.8573426573426572,94.941452,97.09948375037993
28,convolutionTexture,0.08864849273504538,0.1271767981086489,0.0,1.4313435288836038,0.5578029928737573,0.0,0.22111494817749236,0.863298,0.848951048951049,94.941452,83.58153389557162
