,n_shm_ld,n_shm_st,n_gld,n_gst,n_dm_ld,n_dm_st,n_flop_sp,other_insts,real_cycle,c_to_m,act_util,appName
0,0.0,0.0,0.0036538713663587245,0.002435692027014621,0.003653562430217307,0.002433287899899078,0.9878235862765102,0.0,1.9559009997865442,0.48828571428571427,0.8831100000000001,BlackScholes
1,0.0,0.0,0.0036538761393248805,0.0024356921118800336,0.0036536020455958775,0.0024332090085215207,0.9878236206946777,0.0,1.66970775392532,0.42725,0.875252,BlackScholes
2,0.0,0.0,0.003653892492483374,0.002435692174114673,0.0036535672965254,0.0024332021022079003,0.9878236459346686,0.0,1.4628036700322467,0.37977777777777777,0.867825,BlackScholes
3,0.0,0.0,0.0036538694933580685,0.002435692326872438,0.0036535396517228653,0.0024331906406674124,0.9878237078873792,0.0,1.3149408990590106,0.3418,0.8631190000000001,BlackScholes
4,0.0,0.0,0.003653882751341155,0.002435691874256894,0.00365359007501501,0.002433310975571982,0.9878235243238149,0.0,1.8396421324472207,0.45971428571428574,0.882553,BlackScholes
5,0.0,0.0,0.0036539111345214007,0.002435692213718536,0.003653581292901521,0.002433153362376786,0.9878236619964817,0.0,1.570672232981967,0.40225,0.874933,BlackScholes
6,0.0,0.0,0.003653947705649823,0.0024356918176799626,0.0036536085727718495,0.0024332505255241403,0.9878235013783743,0.0,1.378571845658213,0.35755555555555557,0.867768,BlackScholes
7,0.0,0.0,0.003653904225448219,0.0024356922533224005,0.003653553478367855,0.0024331719845661435,0.9878236780582954,0.0,1.236594318218205,0.3218,0.8634299999999999,BlackScholes
8,0.0,0.0,0.003653941203977247,0.0024356944516813446,0.003653595102571263,0.002433141663458686,0.9878236275783114,0.0,2.079153535507876,0.5168571428571429,0.8830370000000001,BlackScholes
9,0.0,0.0,0.0036538717482879485,0.002435692281610876,0.0036535535208007436,0.002433192918280712,0.9878236895310197,0.0,1.7666782415124984,0.45225,0.874825,BlackScholes
10,0.0,0.0,0.003653887634642994,0.002435692032672315,0.003653567084360177,0.002433264677269824,0.9878235885710547,0.0,1.5504861205448521,0.402,0.868043,BlackScholes
11,0.0,0.0,0.003653903885952558,0.002435692027014621,0.003653557784561045,0.002433260025961507,0.9878235862765102,0.0,1.3927656262168189,0.3618,0.8641909999999999,BlackScholes
12,0.0,0.0,0.003653936074535237,0.002435691806364577,0.00365355977641211,0.002433315553401871,0.9878234967892862,0.0,2.196089240246361,0.5454285714285714,0.8834190000000001,BlackScholes
13,0.0,0.0,0.0036539131008783724,0.0024356919760953766,0.003653555385353683,0.0024332739120615987,0.987823565625611,0.0,1.8650385995149812,0.47725,0.875382,BlackScholes
14,0.0,0.0,0.0036538756725219786,0.002435691800706884,0.003653582996204671,0.002433355035824255,0.9878234944947422,0.0,1.6361592786666737,0.4242222222222222,0.867914,BlackScholes
15,0.0,0.0,0.0036539015970739686,0.0024356920496453973,0.003653567109820003,0.0024332437887726187,0.987823595454688,0.0,1.4686693934411406,0.3818,0.864117,BlackScholes
16,0.024480385861449523,7.803757048597233e-06,3.30176960726149e-05,0.0975470879675782,2.9997642094807765e-05,0.09752600221603289,0.7803757048597234,0.0,39.8271467835815,0.48828571428571427,0.962216,SobolQRNG
17,0.02448039388508947,7.803759606340283e-06,3.2650930192927744e-05,0.09754709652812843,2.997424064795303e-05,0.09752612002230658,0.7803759606340284,0.0,33.79030280449254,0.42725,0.9551209999999999,SobolQRNG
18,0.0244804049653628,7.803763138464393e-06,3.2689963787027344e-05,0.09754714067972572,3.025518968782645e-05,0.09752539159185881,0.7803763138464394,0.0,30.124094158730934,0.37977777777777777,0.955982,SobolQRNG
19,0.02448043591376559,7.803773004069362e-06,3.2487107015940755e-05,0.09754726399991609,2.9826020421553106e-05,0.09752488277894042,0.7803773004069363,0.0,27.728825674786613,0.3418,0.954692,SobolQRNG
20,0.02448038414209879,7.803756500509655e-06,3.3095731318661446e-05,0.0975470577052052,3.0450257864988675e-05,0.09752555835604629,0.7803756500509655,0.0,37.09559365193466,0.45971428571428574,0.962201,SobolQRNG
21,0.024480417956040862,7.80376727957949e-06,3.2448064348491527e-05,0.09754719244371828,3.002889649182188e-05,0.09752538091417184,0.7803767279579491,0.0,31.65860085722746,0.40225,0.9556459999999999,SobolQRNG
