,appName,n_dm,n_l2,n_shm,tex_trans,n_flop_sp,n_flop_dp,n_int,act_util,coreF,memF,inst_per_warp,real_cycle
266,gaussian,0.0864818394422452,0.3971002354141202,0.0,0.1265701517149295,0.02106722326286424,0.0,0.3687805501658409,0.30837600000000004,0.6363636363636364,0.7222222222222222,49.970943,1.0017264590120132
267,gaussian,0.0856402013138133,0.39733635723260924,0.0,0.1267185592110365,0.021091925246799682,0.0,0.3692129569957413,0.303569,0.6363636363636364,0.8611111111111112,49.970943,1.001531204718988
268,gaussian,0.08628228814918384,0.39643720208531175,0.0,0.12678156472199478,0.021102412325689646,0.0,0.36939653271781997,0.30532,0.6363636363636364,1.0,49.970943,1.0015723108859407
269,gaussian,0.0858580005539151,0.39670937248085003,0.0,0.1268188475042355,0.021108617933304742,0.0,0.36950516152769464,0.304492,0.6363636363636364,1.0833333333333333,49.970943,1.0015517578024644
270,gaussian,0.08641711177813635,0.39699050374872247,0.0,0.12661291038524017,0.021074340315673713,0.0,0.36890513377222733,0.257524,0.8181818181818182,0.5833333333333334,49.970943,1.001007101090341
271,gaussian,0.0865267665335683,0.39651886448202056,0.0,0.12670163006803806,0.021089107441571796,0.0,0.3691636314748013,0.248565,0.8181818181818182,0.7222222222222222,49.970943,1.0005960394208142
272,gaussian,0.08521547799404766,0.3971027791124789,0.0,0.12687990394572715,0.021118780595410398,0.0,0.36968305835233595,0.24306,0.8181818181818182,0.8611111111111112,49.970943,1.0004418912947415
273,gaussian,0.08596432082762458,0.39666693228836836,0.0,0.1268031909764914,0.02110601195108036,0.0,0.3694595439564353,0.24269899999999997,0.8181818181818182,1.0,49.970943,1.0003905085860505
274,gaussian,0.08529489427725441,0.3968201075524271,0.0,0.12692972028628113,0.021127072376326907,0.0,0.3698282055077105,0.240796,0.8181818181818182,1.0833333333333333,49.970943,1.000349402419098
275,histogram,0.042888514064549355,0.04201243840236142,0.5177388493133531,0.04176548822706862,0.0,0.0,0.35559470999266757,0.893107,1.0,0.5833333333333334,34209.0,0.9994008986520219
276,histogram,0.04294670614380351,0.042848340920493964,0.5172329942266538,0.04172468139038607,0.0,0.0,0.3552472773186627,0.882807,1.0,0.7222222222222222,34209.0,0.9991512730903644
277,histogram,0.04293740932362087,0.042848434059221875,0.5172382014263102,0.041725101450105814,0.0,0.0,0.3552508537407414,0.881281,1.0,0.8611111111111112,34209.0,0.9995007488766848
278,histogram,0.04289866445968325,0.04308318091894528,0.5171273086786509,0.04171615584026221,0.0,0.0,0.3551746901024583,0.890473,1.0,1.0,34209.0,1.0
279,histogram,0.04285104331103748,0.04242678245399471,0.5175256243643901,0.04174828757831019,0.0,0.0,0.35544826229226756,0.889441,1.0,1.0833333333333333,34209.0,1.000199700449326
280,histogram,0.04284070868146135,0.042627985621290464,0.5174176359915954,0.041739576261555424,0.0,0.0,0.3553740934440974,0.8677239999999999,1.1818181818181819,0.5833333333333334,34209.0,0.8511732401397903
281,histogram,0.04293668001029472,0.042381514429358405,0.5175027848354857,0.04174644513577988,0.0,0.0,0.35543257558908137,0.878149,1.1818181818181819,0.7222222222222222,34209.0,0.8507738392411383
282,histogram,0.0430551669000789,0.04236144880376174,0.5174471006860969,0.041741953149735535,0.0,0.0,0.35539433046032703,0.884309,1.1818181818181819,0.8611111111111112,34209.0,0.8508237643534697
283,histogram,0.04284050534818821,0.04282920293983601,0.5173039075927829,0.04173040190249779,0.0,0.0,0.3552959822166952,0.8703489999999999,1.1818181818181819,1.0,34209.0,0.8512730903644533
