,n_shm_ld,n_shm_st,n_gld,n_gst,n_dm_ld,n_dm_st,n_flop_sp,other_insts,real_cycle,c_to_m,act_util,appName
93,0.0,0.0,0.23631574772343572,0.11845107107343435,0.11845488665358683,0.11827696012647669,0.3923605251191557,0.016140809303910642,169.15893450874705,0.47725,0.829091,convolutionTexture
94,0.0,0.0,0.23631690540217576,0.11845064476114422,0.11845586606256105,0.11827673526010725,0.3923591129908187,0.016140735523193065,162.3905302991273,0.4242222222222222,0.829958,convolutionTexture
95,0.0,0.0,0.2363173572495783,0.11845107256014344,0.11845348240027,0.11827676079098993,0.392360530043771,0.016140796955247328,158.72106792014623,0.3818,0.831192,convolutionTexture
96,0.2884810360275982,0.2884810360275982,0.08877533154407054,0.08876449616861878,0.0887666124528867,0.0887721147919833,0.061024834544299626,0.006934538442944564,78.22378646268632,0.48828571428571427,0.970925,fastWalshTransform
97,0.28848432536708096,0.28848432536708096,0.08877304234352104,0.08876550828562282,0.08876618550431031,0.08876643946131811,0.06102553036611328,0.006934643304952534,72.25709187925823,0.42725,0.96921,fastWalshTransform
98,0.288482396894235,0.288482396894235,0.08877278751662039,0.088764914902006,0.08876593072324657,0.08877185634714987,0.06102512241993433,0.006934594302572799,68.1429583747153,0.37977777777777777,0.9654659999999999,fastWalshTransform
99,0.2884817159823502,0.2884817159823502,0.08877384775764545,0.08876470538805935,0.08876487469119984,0.08877359380293472,0.06102497838088177,0.006934568014578513,63.864349324703575,0.3418,0.9643940000000001,fastWalshTransform
100,0.28848259283108885,0.28848259283108885,0.08877310176646024,0.08876497519101616,0.08876649892391192,0.08877047755980642,0.06102516386811494,0.0069345970285126625,74.80233594532208,0.45971428571428574,0.970664,fastWalshTransform
101,0.28848249743823484,0.28848249743823484,0.08877408823335635,0.08876494583900488,0.08876519979440353,0.08877104076857252,0.06102514368885737,0.006934586799335683,68.59294211837526,0.40225,0.9691280000000001,fastWalshTransform
102,0.2884823993744467,0.2884823993744467,0.08877388875285967,0.08876491566515751,0.08876804778067619,0.08876864034307162,0.061025122944594494,0.006934585764747126,64.70681894282562,0.35755555555555557,0.964935,fastWalshTransform
103,0.28848049172269513,0.28848049172269513,0.08877203194831142,0.0887643286881107,0.08876483659537668,0.08877855009155819,0.06102471940287782,0.006934549828374928,61.135801697115724,0.3218,0.964153,fastWalshTransform
