appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,ipc
SobolQRNG,1380,877,input00,sobolGPU_kernel,0.64423,(1 1000 1) (64 1 1),2000.0,0.384427,0.9218999999999999,1.0,2.001413,1.0,24664000,0.18878999999999999,4000,4.000000,726.75,16384000,4.000000,0.0,3659,0.17148,16380919,755.49,4158,0.19706,16752086,744.12,4319480,798.0,1.053130,1001,0.18893000000000001,1.002273,0.18752000000000002,4000,737.66,738.47,0.0,759.68,4111000,0,0,131072000,0,0,2100320000,131072000,0,86170000,4.3085e+04,1.302984
SobolQRNG,510,877,input00,sobolGPU_kernel,1.2501,(1 1000 1) (64 1 1),2000.0,0.381183,0.9129,1.0,2.943165,1.0,24664000,0.097689,4000,4.000000,375.95,16384000,4.000000,0.0,3664,0.08619700000000001,16380864,374.26,4214,0.09402200000000001,16998762,373.13,4425297,422.52,1.081832,1001,0.097521,1.002091,0.093209,4000,354.17,353.85,0.0,383.4,4111000,0,0,131072000,0,0,2100320000,131072000,0,86170000,4.3085e+04,1.809261
SobolQRNG,652,877,input00,sobolGPU_kernel,1.0316,(1 1000 1) (64 1 1),2000.0,0.381612,0.9164,1.0,2.739134,1.0,24664000,0.11449,4000,4.000000,442.29,16384000,4.000000,0.0,3683,0.10094,16380933,437.2,4101,0.10958,16950657,438.83,4392393,493.38,1.074085,1001,0.11503000000000001,1.001273,0.1095,4000,422.7,423.37,0.0,460.08,4111000,0,0,131072000,0,0,2100320000,131072000,0,86170000,4.3085e+04,1.683993
SobolQRNG,720,877,input00,sobolGPU_kernel,0.9159400000000001,(1 1000 1) (64 1 1),2000.0,0.381099,0.9135,1.0,2.858429,1.0,24664000,0.13174000000000002,4000,4.000000,511.5,16384000,4.000000,0.0,3687,0.11633,16380809,502.93,4121,0.12866999999999998,16865369,506.22,4407238,570.07,1.077570,1002,0.132,1.001182,0.12635,4000,489.38,489.88,0.0,529.16,4111000,0,0,131072000,0,0,2100320000,131072000,0,86170000,4.3085e+04,1.764551
SobolQRNG,735,877,input00,sobolGPU_kernel,0.8939,(1 1000 1) (64 1 1),2000.0,0.381216,0.9159,1.0,2.868052,1.0,24664000,0.13661,4000,4.000000,531.66,16384000,4.000000,0.0,3656,0.1208,16380899,520.6,4179,0.13005000000000003,16927337,523.46,4409056,592.88,1.078286,1001,0.13758,1.002364,0.13113,4000,506.64,507.44,0.0,551.35,4111000,0,0,131072000,0,0,2100320000,131072000,0,86170000,4.3085e+04,1.783621
SobolQRNG,802,877,input00,sobolGPU_kernel,0.8057799999999999,(1 1000 1) (64 1 1),2000.0,0.380995,0.9117000000000001,1.0,2.927221,1.0,24664000,0.15102000000000002,4000,4.000000,581.17,16384000,4.000000,0.0,3665,0.13126,16380781,574.69,4191,0.14603,16866169,577.77,4415458,658.0,1.079994,1001,0.15109,1.001364,0.14454,4000,557.49,553.9,0.0,603.3,4111000,0,0,131072000,0,0,2100320000,131072000,0,86170000,4.3085e+04,1.799277
SobolQRNG,945,877,input00,sobolGPU_kernel,0.69562,(1 1000 1) (64 1 1),2000.0,0.381310,0.9118999999999999,1.0,2.830510,1.0,24664000,0.17493,4000,4.000000,675.19,16384000,4.000000,0.0,3672,0.15747999999999998,16380673,669.67,4107,0.16837000000000002,16925772,672.03,4410108,756.44,1.078070,1001,0.1751,1.001000,0.16758,4000,649.45,655.57,0.0,702.81,4111000,0,0,131072000,0,0,2100320000,131072000,0,86170000,4.3085e+04,1.775932
backpropBackward,1087,877,input00,bpnn_adjust_weights_cuda,0.18328,(1 32768 1) (16 16 1),262144.0,0.941106,0.9704,1.0,1.546324,1.0,1835015,962.27,5968103,3.252455,421.78,2621446,4.999992,0.7391,2291060,370.23,2228561,360.2,2428632,390.35,2621462,423.13,0,0.0,0.000000,0,0.0,0.000000,391.14,2428186,422.06,422.2,0.425,1563.2,2423069,75497584,16777248,0,0,0,75497520,0,58720336,11534359,44.000088,0.732720
backpropBackward,1237,877,input00,bpnn_adjust_weights_cuda,0.18317,(1 32768 1) (16 16 1),262144.0,0.948199,0.9732,1.0,1.323866,1.0,1835015,963.13,5967943,3.252173,422.37,2621446,4.999992,0.7394,2290959,370.66,2228563,360.87,2421217,390.86,2621462,423.9,0,0.0,0.000000,0,0.0,0.000000,391.92,2421800,423.13,423.11,0.42579999999999996,1564.2,2422460,75497584,16777248,0,0,0,75497520,0,58720336,11534359,44.000088,0.646337
backpropBackward,1380,877,input00,bpnn_adjust_weights_cuda,0.18300999999999998,(1 32768 1) (16 16 1),262144.0,0.953515,0.9737,1.0,1.168532,1.0,1835015,964.21,5967458,3.252031,423.34,2621446,4.999992,0.7387999999999999,2291169,371.31,2228562,361.48,2419833,391.23,2621462,424.46,0,0.0,0.000000,0,0.0,0.000000,391.58,2418923,423.83,423.74,0.4255,1566.1,2422040,75497584,16777248,0,0,0,75497520,0,58720336,11534359,44.000088,0.577037
