,appName,n_dm,n_l2,n_shm,tex_trans,n_flop_sp,n_flop_dp,n_int,branch,act_util,warp_eff,sm_act,coreF,memF,avg_power
8,SobolQRNG,0.051603785130637195,0.053437997093229814,0.013688213140634705,0.012947771326017786,0.012900528180824338,0.0,0.20672025565146612,0.0024275102771900287,0.383984,1.0,0.9212,0.8963768115942029,1.0,0.8534031556922691
9,SobolQRNG,0.05181170448416327,0.052986995599919255,0.013662328367654157,0.01299990253849658,0.01295246917968426,0.0,0.20755256704310945,0.0024372840869730573,0.384427,1.0,0.9219,1.0,1.0,1.0
10,backpropBackward,0.24299822220238504,0.2716741881659276,0.0,0.13035778787209293,0.0,0.1268466672912639,0.1268465597621712,0.00308308590615931,0.930849,1.0,0.9688,0.5811594202898551,1.0,0.653059991207253
11,backpropBackward,0.24352796999962384,0.2723970478158158,0.0,0.13062429060425096,0.0,0.12713619495082937,0.12713608717630143,0.0030901230531787103,0.933022,1.0,0.9688,0.6847826086956522,1.0,0.7220799109470177
12,backpropBackward,0.24614515955943564,0.2750354937770553,0.0,0.13196387609238078,0.0,0.12849089600123476,0.12849078707831418,0.003123049891579389,0.941106,1.0,0.9704,0.7876811594202898,1.0,0.6804182455560474
13,backpropBackward,0.24883099659491284,0.27763441378938714,0.0,0.1333732053990029,0.0,0.12989578230858917,0.1298956721947335,0.003157196513374464,0.948199,1.0,0.9732,0.8963768115942029,1.0,0.8676512264077807
14,backpropBackward,0.2503900109585703,0.27928430039207763,0.0,0.1341793620332926,0.0,0.13070358117762967,0.13070347037899543,0.003176830559434433,0.953515,1.0,0.9737,1.0,1.0,1.0
15,backpropForward,0.07578542461072696,0.0907683661329235,0.1123562471808124,0.09981720092038253,0.016358683400093957,0.0,0.4606816325252264,0.003693896251634119,0.922665,0.9612,0.9691,0.5811594202898551,1.0,0.6073655296071517
16,backpropForward,0.07576168273380686,0.09073657513498004,0.11230676686671111,0.09978058564433058,0.016352988699522848,0.0,0.46052126240914343,0.0036926103515051594,0.9229999999999999,0.9612,0.9684,0.6847826086956522,1.0,0.6834378487668659
17,backpropForward,0.07587347501229963,0.09087512612970441,0.11234515663860523,0.09992852268155597,0.01637777306854779,0.0,0.4612192222207168,0.0036982068219301462,0.924538,0.9612,0.9681,0.7876811594202898,1.0,0.7887154397091851
18,backpropForward,0.07602714230916245,0.09105340787191996,0.11238074587632109,0.1001241515963677,0.016410148072528094,0.0,0.4621309441070009,0.0037055173066998922,0.92674,0.9612,0.9675,0.8963768115942029,1.0,0.9547405822623002
19,backpropForward,0.07627669474001836,0.09134811086032243,0.11251119676683378,0.10044581129720002,0.016463138394829144,0.0,0.46362321995760786,0.0037174828633485158,0.929582,0.9612,0.9674,1.0,1.0,1.0
20,binomialOptions,0.00766570027472461,0.012991875504412395,0.2980023895948067,0.19851911758199148,0.0004836632861666084,0.14502817131320847,0.06941377076391672,0.005425846122773056,0.857851,0.9997,0.86,0.5811594202898551,1.0,0.5570730402493304
21,binomialOptions,0.007883895036819032,0.013358887272201733,0.3063770017943326,0.20409696950577366,0.0004972529786473878,0.14910308935136904,0.07136411892056387,0.005578298422472967,0.8558870000000001,0.9997,0.8862000000000001,0.6847826086956522,1.0,0.6418214383692831
22,binomialOptions,0.007977343892400807,0.013540945068762857,0.31016618941981394,0.2066228124724037,0.0005034067994873488,0.15094833460469842,0.07224729513286814,0.005647333401764822,0.856058,0.9997,0.897,0.7876811594202898,1.0,0.76325316511123
23,binomialOptions,0.007915767606147813,0.013370904582438337,0.3064077850027523,0.20411911590978918,0.0004973068726392293,0.14911924965814666,0.0713718536097624,0.0055789030176842174,0.856024,0.9997,0.8862000000000001,0.8963768115942029,1.0,0.9664069125320326
24,binomialOptions,0.007630003216727456,0.012955784303288597,0.29653522117021835,0.19754351778322554,0.0004812863816592671,0.1443154479704508,0.06907264521372668,0.005399181460653309,0.859765,0.9997,0.8539,1.0,1.0,1.0
25,cfd,0.2095359153400933,0.2766780952115875,0.0,0.06320814925619822,0.12452345729404099,0.0,0.046286503734833416,0.008255778995246614,0.835824,0.9695,0.899,0.5811594202898551,1.0,0.6369206360300542
26,cfd,0.20962690255858835,0.27681916612379664,0.0,0.06325992518508956,0.12462775822591755,0.0,0.046325273341602774,0.00826269404130527,0.839778,0.9695,0.8953,0.6847826086956522,1.0,0.7094367988817054
27,cfd,0.21112890240128368,0.27886131761853084,0.0,0.06373073615788934,0.12550035288022116,0.0,0.04664962472569619,0.008320546182379006,0.843306,0.9695,0.898,0.7876811594202898,1.0,0.6835339507251443
28,cfd,0.2133101570974149,0.2814871061016559,0.0,0.06427584761474822,0.12656297901677194,0.0,0.047044612543309106,0.008390997218100093,0.8479040000000001,0.9695,0.9015,0.8963768115942029,1.0,0.7696025860562642
29,cfd,0.21528810505329116,0.28362844343493165,0.0,0.06472391847422232,0.12735515249387278,0.0,0.04733907064303791,0.008443517516644305,0.859678,0.9695,0.8959999999999999,1.0,1.0,1.0
30,conjugateGradient,0.08145402097316014,0.09586863776597537,0.08136141370755468,0.17168467222636316,0.03592185399002984,0.0,0.24696275561571865,0.013470695848448221,0.846733,0.8665,0.9905,0.5811594202898551,1.0,0.6075251320573638
31,conjugateGradient,0.08261213581736888,0.0966364151287033,0.08250434875265392,0.17412439610445832,0.03643256478943927,0.0,0.250473892495788,0.013662212406788214,0.8581469999999999,0.8665,0.9904,0.6847826086956522,1.0,0.6755223299538292
32,conjugateGradient,0.08562219847151525,0.09792629476249207,0.08531158977430091,0.18047317813882624,0.03776085455267324,0.0,0.2596058849668742,0.014160321090268145,0.885791,0.8665,0.9913,0.7876811594202898,1.0,0.7371731656592697
33,conjugateGradient,0.0874146892216135,0.1000659060880872,0.08683156151237058,0.1842489166922057,0.0385507656208925,0.0,0.2650365237683383,0.014456537754092284,0.904212,0.8665,0.9912,0.8963768115942029,1.0,0.7448609009138438
34,conjugateGradient,0.0887685988016653,0.1004416165296289,0.08797112325630049,0.1871029653976772,0.039147664149938984,0.0,0.26914020131229816,0.014680374712491008,0.91587,0.8665,0.992,1.0,1.0,1.0
35,convolutionSeparable,0.0729210693233394,0.0836129352127902,0.32586967139602363,0.16243900799322192,0.3040326681135301,0.0,0.01564874027054934,0.0002794417905455239,0.968581,1.0,0.9961,0.5811594202898551,1.0,0.6092206051252691
