appName,coreF,memF,kernel,achieved_occupancy,eligible_warps_per_cycle,dram_read_transactions,dram_write_transactions,l2_read_transactions,l2_write_transactions,shared_load_transactions,shared_store_transactions,branch_efficiency,cf_executed,flop_count_sp,time/ms,time(pred)/ms,power/W,power(pred)/W
BlackScholes,500,500,BlackScholesGPU,0.910475,1.173996,1602009,1044590,1603388,1048582,0,0,1,2228224,425267618,3.3137,3.323847111,41.24870588,40.97363122
BlackScholes,500,600,BlackScholesGPU,0.898501,1.513299,1572944,1044606,1573165,1048582,0,0,1,2228224,425267618,2.6882,2.722717778,42.8924,41.88962501
BlackScholes,500,700,BlackScholesGPU,0.894359,1.814932,1596862,1043810,1592052,1048582,0,0,1,2228224,425267618,2.2501,2.292569206,44.344,43.25162912
BlackScholes,500,800,BlackScholesGPU,0.890013,2.151164,1590367,1045104,1587839,1048582,0,0,1,2228224,425267618,1.9311,1.989237778,46.04157143,44.86512001
BlackScholes,500,900,BlackScholesGPU,0.885672,2.507818,1572944,1046824,1573163,1048582,0,0,1,2228224,425267618,1.6933,1.751773333,47.726,46.32872664
BlackScholes,500,1000,BlackScholesGPU,0.881776,2.81894,1591375,1046307,1593303,1048582,0,0,1,2228224,425267618,1.5113,1.572776889,48.939,47.66214968
BlackScholes,600,500,BlackScholesGPU,0.912087,0.963124,1608972,1044499,1600627,1048592,0,0,1,2228224,425267618,3.324,3.311047111,41.81748571,41.69224017
BlackScholes,600,600,BlackScholesGPU,0.902865,1.227595,1597264,1042336,1594588,1048594,0,0,1,2228224,425267618,2.6887,2.709917778,43.879,42.31194399
BlackScholes,600,700,BlackScholesGPU,0.898983,1.482913,1601303,1043531,1601855,1048593,0,0,1,2228224,425267618,2.2496,2.279769206,44.9294,43.67584374
BlackScholes,600,800,BlackScholesGPU,0.89438,1.772583,1572924,1045658,1573111,1048582,0,0,1,2228224,425267618,1.9319,1.976437778,46.69168571,45.73907135
BlackScholes,600,900,BlackScholesGPU,0.891254,2.04968,1572922,1046365,1573204,1048582,0,0,1,2228224,425267618,1.6911,1.738973333,48.194,47.63170761
BlackScholes,600,1000,BlackScholesGPU,0.88699,2.327455,1572931,1046484,1573181,1048582,0,0,1,2228224,425267618,1.5069,1.559976889,49.80674286,49.33316841
BlackScholes,700,500,BlackScholesGPU,0.913381,0.808313,1605515,1044033,1611657,1048582,0,0,1,2228224,425267618,3.3356,3.301904254,42.67397143,43.08252577
BlackScholes,700,600,BlackScholesGPU,0.905815,1.021714,1601698,1041500,1602233,1048582,0,0,1,2228224,425267618,2.6857,2.700774921,44.39985714,43.98166789
BlackScholes,700,700,BlackScholesGPU,0.902565,1.258824,1572956,1044026,1573107,1048583,0,0,1,2228224,425267618,2.2477,2.270626349,46.30485714,45.65193568
BlackScholes,700,800,BlackScholesGPU,0.898511,1.485603,1572947,1044549,1573165,1048582,0,0,1,2228224,425267618,1.9304,1.967294921,47.9552,47.46127942
BlackScholes,700,900,BlackScholesGPU,0.895342,1.713514,1572926,1045605,1573167,1048585,0,0,1,2228224,425267618,1.6914,1.729830476,49.43928571,49.56533262
BlackScholes,700,1000,BlackScholesGPU,0.891808,1.948095,1572916,1046310,1573102,1048582,0,0,1,2228224,425267618,1.5064,1.550834032,51.30091429,51.4960974
BlackScholes,800,500,BlackScholesGPU,0.914142,0.717294,1572940,1046036,1573145,1048582,0,0,1,2228224,425267618,3.3442,3.295047111,44.84511429,46.23684838
BlackScholes,800,600,BlackScholesGPU,0.908962,0.905618,1572959,1042327,1573199,1048600,0,0,1,2228224,425267618,2.6857,2.693917778,47.027,46.72891363
BlackScholes,800,700,BlackScholesGPU,0.905021,1.099333,1572951,1043303,1573221,1048595,0,0,1,2228224,425267618,2.2464,2.263769206,48.79328571,48.12238148
BlackScholes,800,800,BlackScholesGPU,0.901057,1.29457,1572956,1044332,1573152,1048600,0,0,1,2228224,425267618,1.929,1.960437778,50.44394286,50.23517742
BlackScholes,800,900,BlackScholesGPU,0.898463,1.491931,1572928,1044792,1573143,1048588,0,0,1,2228224,425267618,1.6895,1.722973333,52.34188571,52.4287796
BlackScholes,800,1000,BlackScholesGPU,0.895417,1.693316,1572925,1045331,1573158,1048582,0,0,1,2228224,425267618,1.5044,1.543976889,53.84971429,54.94262514
BlackScholes,900,500,BlackScholesGPU,0.915032,0.622829,1572942,1045401,1573279,1048600,0,0,1,2228224,425267618,3.3481,3.289713778,47.26788235,48.66991048
BlackScholes,900,600,BlackScholesGPU,0.909405,0.78689,1572950,1042292,1573199,1048594,0,0,1,2228224,425267618,2.6856,2.688584444,49.61757143,49.31855044
BlackScholes,900,700,BlackScholesGPU,0.906391,0.951495,1572953,1042541,1573200,1048588,0,0,1,2228224,425267618,2.2428,2.258435873,51.68531429,50.70515824
BlackScholes,900,800,BlackScholesGPU,0.903367,1.118462,1572930,1043494,1573227,1048582,0,0,1,2228224,425267618,1.9265,1.955104444,53.62011429,52.50436754
