appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,warp_execution_efficiency,sm_activity,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,executed_ipc
cfd,1012,715,input00,cuda_compute_flux,1.2803,(1212 1 1) (192 1 1),7272.0,0.913891,0.9695,0.8978,0.192697,0.9934999999999999,1353918,96.357,4168816,13.983591,3.3649,145440,4.000000,0.3343,6027348,139.47,8385535,192.67,13495509,310.23,10148030,233.28,0,0.0,0.000000,0,0.0,0.000000,310.49,13490834,233.56,233.03,0.48210000000000003,273.68,11918034,0,0,150331499,55777012,5610493,73701840,115570115,0,14597869,2.0074e+03,0.220869
cfd,1202,715,input00,cuda_compute_flux,1.2479,(1212 1 1) (192 1 1),7272.0,0.912804,0.9695,0.9103,0.163224,0.9934999999999999,1353918,98.932,4168816,13.983591,3.4524,145440,4.000000,0.3337,6030677,143.02,8383951,198.04,13496428,318.7,10148027,239.63,0,0.0,0.000000,0,0.0,0.000000,318.38,13493467,239.44,239.51,0.48210000000000003,281.29,11918034,0,0,150331499,55777012,5610493,73701840,115570115,0,14597869,2.0074e+03,0.187437
cfd,1328,715,input00,cuda_compute_flux,1.2317,(1212 1 1) (192 1 1),7272.0,0.911195,0.9695,0.9196,0.149864,0.9934999999999999,1353918,100.31,4168816,13.983591,3.5046,145440,4.000000,0.3331,6021759,144.95,8380398,200.72,13498797,322.67,10148027,242.56,0,0.0,0.000000,0,0.0,0.000000,322.27,13495311,242.34,242.53,0.48210000000000003,284.83,11918034,0,0,150331499,55777012,5610493,73701840,115570115,0,14597869,2.0074e+03,0.172170
cfd,607,715,input00,cuda_compute_flux,1.4221,(1212 1 1) (192 1 1),7272.0,0.901954,0.9695,0.8676999999999999,0.298906,0.9934999999999999,1353918,86.929,4168816,13.983591,3.0342,145440,4.000000,0.3301,5883809,122.46,8397050,174.25,13508937,280.27,10148027,210.54,0,0.0,0.000000,0,0.0,0.000000,280.25,13505921,210.57,210.61,0.4818,247.34,11918034,0,0,150331499,55777012,5610493,73701840,115570115,0,14597869,2.0074e+03,0.341314
cfd,810,715,input00,cuda_compute_flux,1.3668,(1212 1 1) (192 1 1),7272.0,0.910618,0.9695,0.8861,0.228353,0.9934999999999999,1353918,90.464,4168816,13.983591,3.1535,145440,4.000000,0.3331,5999995,130.14,8393019,180.42,13498415,289.84,10148027,217.88,0,0.0,0.000000,0,0.0,0.000000,290.35,13496495,218.31,218.29,0.48200000000000004,256.36,11918034,0,0,150331499,55777012,5610493,73701840,115570115,0,14597869,2.0074e+03,0.260609
conjugateGradient,1012,715,input00,csrMv_kernel,1.1982,(262144 1 1) (4 32 1),1048576.0,0.903230,0.8764,0.996,2.325644,1.0,14680064,594.17,22020094,6.999999,28.236,1048576,1.000000,0.631,8388685,225.92,1243945,33.468,9696617,261.44,1072281,28.91,6291456,678.23,1.000000,2097152,225.8,1.000000,262.08,9696366,28.341,28.364,0.7071999999999999,567.31,20971520,0,0,134217722,25165822,0,1199570930,142606332,0,95420416,91.000000,1.514612
conjugateGradient,1202,715,input00,csrMv_kernel,1.0455,(262144 1 1) (4 32 1),1048576.0,0.895521,0.8764,0.9956999999999999,2.196066,1.0,14680064,674.0,22020094,6.999999,32.095,1048576,1.000000,0.6311,8388691,256.1,1133649,34.673,9694629,297.05,1048589,32.13,6291456,771.03,1.000000,2097152,256.71,1.000000,297.07,9694252,32.132,32.132,0.7073,642.65,20971520,0,0,134217722,25165822,0,1199570930,142606332,0,95420416,91.000000,1.451327
conjugateGradient,1328,715,input00,csrMv_kernel,0.97163,(262144 1 1) (4 32 1),1048576.0,0.900266,0.8764,0.996,2.105701,1.0,14680064,716.06,22020094,6.999999,34.061,1048576,1.000000,0.6311,8388696,271.07,1285482,41.567,9693808,315.1,1048589,34.083,6291456,818.71,1.000000,2097152,272.83,1.000000,315.35,9693526,34.111,34.085,0.7073,681.71,20971520,0,0,134217722,25165822,0,1199570930,142606332,0,95420416,91.000000,1.403388
conjugateGradient,607,715,input00,csrMv_kernel,1.9916,(262144 1 1) (4 32 1),1048576.0,0.857977,0.8764,0.996,2.444101,1.0,14680064,368.81,22020094,6.999999,17.541,1048576,1.000000,0.631,8388775,139.85,1346687,22.464,9697511,162.05,1048601,17.522,6291456,422.58,1.000000,2097152,140.16,1.000000,162.37,9697077,17.556,17.611,0.7071999999999999,352.23,20971520,0,0,134217722,25165822,0,1199570930,142606332,0,95420416,91.000000,1.557403
conjugateGradient,810,715,input00,csrMv_kernel,1.4938,(262144 1 1) (4 32 1),1048576.0,0.896462,0.8764,0.996,2.439673,1.0,14680064,489.64,22020094,6.999999,23.348,1048576,1.000000,0.631,8388700,186.68,1342952,29.875,9696927,216.1,1199825,26.738,6291456,558.36,1.000000,2097152,186.14,1.000000,216.35,9696702,23.395,23.329,0.7071999999999999,466.59,20971520,0,0,134217722,25165822,0,1199570930,142606332,0,95420416,91.000000,1.559687
convolutionSeparable,1012,715,input00,convolutionRowsKernel,2.0478,(80 2560 1) (16 4 1),409600.0,0.761170,1.0,0.9965999999999999,1.559479,1.0,2048000,481.63,32686080,8.000000,193.4,13107200,4.000000,0.5002,13154299,194.01,14468066,213.79,16337374,240.7,14327431,211.08,105676800,6238.1,2.000000,8192000,483.59,2.000000,240.72,16336882,193.13,193.58,0.5001,241.37,16343040,0,0,3565158400,1782579200,0,275251200,1782579200,0,134748160,328.975000,1.167606
convolutionSeparable,1202,715,input00,convolutionRowsKernel,1.7307,(80 2560 1) (16 4 1),409600.0,0.752745,1.0,0.9968,1.431285,1.0,2048000,568.6,32686080,8.000000,228.13,13107200,4.000000,0.5002,13541036,234.99,14337026,249.07,16337350,284.15,14330811,249.25,105676800,7355.9,2.000000,8192000,570.64,2.000000,284.36,16337034,228.14,228.25,0.5001,284.59,16343040,0,0,3565158400,1782579200,0,275251200,1782579200,0,134748160,328.975000,1.164436
convolutionSeparable,1328,715,input00,convolutionRowsKernel,1.6053,(80 2560 1) (16 4 1),409600.0,0.746375,1.0,0.9967,1.253142,1.0,2048000,595.52,32686080,8.000000,241.43,13107200,4.000000,0.5012,13526009,239.19,14581282,257.55,16306104,297.51,14134726,257.72,105676800,7721.4,2.000000,8192000,598.83,2.000000,298.48,16314511,239.8,240.93,0.5004,300.41,16343040,0,0,3565158400,1782579200,0,275251200,1782579200,0,134748160,328.975000,1.133374
convolutionSeparable,607,715,input00,convolutionRowsKernel,3.3929,(80 2560 1) (16 4 1),409600.0,0.764143,1.0,0.9976,1.586413,1.0,2048000,290.68,32686080,8.000000,116.88,13107200,4.000000,0.5002,13107658,116.82,15166456,135.1,16338018,145.34,14958413,133.07,105676800,3771.4,2.000000,8192000,291.81,2.000000,145.13,16337350,116.44,116.72,0.5001,145.54,16343040,0,0,3565158400,1782579200,0,275251200,1782579200,0,134748160,328.975000,1.168879
convolutionSeparable,810,715,input00,convolutionRowsKernel,2.5542,(80 2560 1) (16 4 1),409600.0,0.762647,1.0,0.9975,1.588596,1.0,2048000,386.08,32686080,8.000000,155.16,13107200,4.000000,0.5002,13109527,155.0,14661251,173.16,16337614,193.22,14655567,173.32,105676800,4998.5,2.000000,8192000,386.75,2.000000,193.34,16336923,155.12,154.83,0.5001,193.06,16343040,0,0,3565158400,1782579200,0,275251200,1782579200,0,134748160,328.975000,1.168230
convolutionTexture,1012,715,input00,convolutionRowsKernel,8.9532,(640 854 1) (16 12 1),3279360.0,0.868764,1.0,0.9995,0.728342,1.0,6556160,0.0,0,0.000000,43.452,13107200,4.000000,0.0,13107625,43.386,14547573,48.21,25515171,84.508,13806058,45.724,0,0.0,0.000000,0,0.0,0.000000,84.653,25516949,43.483,43.491,0.9509000000000001,1478.7,445644800,0,0,5557452800,1782579200,0,2202992640,3774873600,0,311347200,94.941452,0.605640
convolutionTexture,1202,715,input00,convolutionRowsKernel,7.8046,(640 854 1) (16 12 1),3279360.0,0.869497,1.0,0.9993000000000001,0.708812,1.0,6556160,0.0,0,0.000000,50.199,13107200,4.000000,0.0,13107726,50.113,13865938,53.039,25457875,97.511,13212842,50.61,0,0.0,0.000000,0,0.0,0.000000,97.524,25457261,50.212,50.217,0.951,1707.4,445644800,0,0,5557452800,1782579200,0,2202992640,3774873600,0,311347200,94.941452,0.589695
convolutionTexture,1328,715,input00,convolutionRowsKernel,7.3155,(640 854 1) (16 12 1),3279360.0,0.868264,1.0,0.9993000000000001,0.686258,1.0,6556160,0.0,0,0.000000,53.457,13107200,4.000000,0.0,13107598,53.352,13760120,56.032,25436272,103.76,13107213,53.462,0,0.0,0.000000,0,0.0,0.000000,103.76,25437380,53.463,53.464,0.951,1817.8,445644800,0,0,5557452800,1782579200,0,2202992640,3774873600,0,311347200,94.941452,0.572949
convolutionTexture,607,715,input00,convolutionRowsKernel,13.856,(640 854 1) (16 12 1),3279360.0,0.863298,1.0,0.9994,0.774684,1.0,6556160,0.0,0,0.000000,28.234,13107200,4.000000,0.0,13107860,28.143,14492600,31.145,25939446,55.781,13656694,29.366,0,0.0,0.000000,0,0.0,0.000000,55.849,25943912,28.215,28.196,0.9503,958.69,445644800,0,0,5557452800,1782579200,0,2202992640,3774873600,0,311347200,94.941452,0.651980
convolutionTexture,810,715,input00,convolutionRowsKernel,10.642,(640 854 1) (16 12 1),3279360.0,0.869079,1.0,0.9994,0.777609,1.0,6556160,0.0,0,0.000000,36.644,13107200,4.000000,0.0,13107801,36.61,14315409,40.019,25549277,71.477,13711478,38.358,0,0.0,0.000000,0,0.0,0.000000,71.503,25548447,36.683,36.667,0.9508,1246.7,445644800,0,0,5557452800,1782579200,0,2202992640,3774873600,0,311347200,94.941452,0.638013
dxtc,1012,715,input00,compress,14.182,(16384 1 1) (64 1 1),32768.0,0.988953,0.9716,0.9826999999999999,0.273545,0.9922,24018993,8.6762,4128759,7.875000,0.034332,16383,1.000000,0.6445000000000001,138683028,291.45,63767373,134.68,183457380,387.61,64225129,135.69,3555321,29.883,1.391026,1378415,11.588,0.751179,387.57,183451257,135.69,135.72,0.5031,391.91,185450330,0,0,3660571608,1413149985,20971478,1472891776,2301947467,0,244565135,7.4636e+03,0.306926
dxtc,1202,715,input00,compress,14.081,(16384 1 1) (64 1 1),32768.0,0.991922,0.9716,0.9812000000000001,0.232602,0.9922,24018993,8.7367,4128759,7.875000,0.035286000000000005,16383,1.000000,0.6753,138562910,293.17,63762340,135.95,183240728,390.67,64225111,136.93,3555321,30.096,1.391026,1378415,11.669,0.751179,390.75,183234015,136.96,136.94,0.5035000000000001,395.41,185450330,0,0,3660571608,1413149985,20971478,1472891776,2301947467,0,244565135,7.4636e+03,0.260485
dxtc,1328,715,input00,compress,13.987,(16384 1 1) (64 1 1),32768.0,0.993266,0.9716,0.9797,0.214292,0.9922,24018993,8.7935,4128759,7.875000,0.035286000000000005,16383,1.000000,0.6945,138870195,295.82,63768611,136.81,183108654,392.9,64225134,137.81,3555321,30.299,1.391026,1378415,11.746,0.751179,392.87,183103567,137.8,137.8,0.5038,397.9,185450330,0,0,3660571608,1413149985,20971478,1472891776,2301947467,0,244565135,7.4636e+03,0.239781
dxtc,607,715,input00,compress,14.832,(16384 1 1) (64 1 1),32768.0,0.982348,0.9716,0.9890000000000001,0.434383,0.9922,24018993,8.2953,4128759,7.875000,0.033379,16383,1.000000,0.5904,138830477,278.88,63858643,128.75,183912298,370.46,64225115,129.37,3555321,28.57,1.391026,1378415,11.077,0.751179,370.81,183905550,129.5,129.51,0.5021,373.97,185450330,0,0,3660571608,1413149985,20971478,1472891776,2301947467,0,244565135,7.4636e+03,0.483645
dxtc,810,715,input00,compress,14.676,(16384 1 1) (64 1 1),32768.0,0.985214,0.9716,0.9851000000000001,0.329150,0.9922,24018993,8.3847,4128759,7.875000,0.033379,16383,1.000000,0.6175,138606459,281.33,63794312,130.11,183673235,374.46,64225098,130.94,3555321,28.89,1.391026,1378415,11.194,0.751179,374.7,183666736,131.02,130.97,0.5025999999999999,378.19,185450330,0,0,3660571608,1413149985,20971478,1472891776,2301947467,0,244565135,7.4636e+03,0.368360
eigenvalues,1012,715,input00,bisectKernel,4.0096,(1 1 1) (512 1 1),16.0,0.249996,0.6690999999999999,0.0178,1.566087,0.9989,574977,0.055313,7424,8.000000,0.0009765599999999999,128,4.000000,0.9828,12,0.0,9,0.0,310,0.0019073,141,0.0009765599999999999,276028,8.2012,1.009302,7329,0.22125,1.210005,0.0009765599999999999,128,0.0009765599999999999,0.0009765599999999999,0.9667,0.027657,3712,0,0,51317746,19940706,2847803,20853625,40018704,11146,4800365,3.0002e+05,1.171882
eigenvalues,1202,715,input00,bisectKernel,3.4016,(1 1 1) (512 1 1),16.0,0.249996,0.6690999999999999,0.0177,1.566343,0.9989,574977,0.065804,7424,8.000000,0.0009765599999999999,128,4.000000,0.9828,11,0.0,5,0.0,286,0.0019073,141,0.0009765599999999999,276028,9.655,1.009302,7329,0.26226,1.210005,0.0009765599999999999,128,0.0009765599999999999,0.0009765599999999999,0.9667,0.032424999999999995,3712,0,0,51317746,19940706,2847803,20853625,40018704,11146,4800365,3.0002e+05,1.171736
eigenvalues,1328,715,input00,bisectKernel,3.0835,(1 1 1) (512 1 1),16.0,0.249996,0.6690999999999999,0.0178,1.566294,0.9989,574977,0.072479,7424,8.000000,0.0009765599999999999,128,4.000000,0.9828,4,0.0,5,0.0,226,0.0019073,141,0.0009765599999999999,276028,10.662,1.009302,7329,0.28896,1.210005,0.0009765599999999999,128,0.0009765599999999999,0.0009765599999999999,0.9667,0.03624,3712,0,0,51317746,19940706,2847803,20853625,40018704,11146,4800365,3.0002e+05,1.171752
eigenvalues,607,715,input00,bisectKernel,6.6484,(1 1 1) (512 1 1),16.0,0.249996,0.6690999999999999,0.0178,1.566312,0.9989,574977,0.033379,7424,8.000000,0.0,128,4.000000,0.9828,22,0.0,13,0.0,529,0.0009765599999999999,141,0.0,276028,4.9388,1.009302,7329,0.13351,1.210005,0.0,128,0.0,0.0,0.9667,0.016212,3712,0,0,51317746,19940706,2847803,20853625,40018704,11146,4800365,3.0002e+05,1.171604
