,n_gld,n_gst,gld_trans_per_req,gst_trans_per_req,n_dm_ld,n_dm_st,n_l2_ld,n_l2_st,n_shm_ld,n_shm_st,shld_trans_per_req,shst_trans_per_req,tex_hit_rate,tex_trans,n_flop_sp,n_flop_sp_fma,n_flop_sp_spec,n_flop_dp,n_flop_dp_fma,n_gm,n_dm,n_l2,n_shm,inst_per_warp,real_cycle,c_to_m,act_util,appName
0,0.44734470989761094,0.44734470989761094,,,0.00011311936250609459,0.05770237079473427,0.4473642925706972,0.4473447594161385,0.0,0.0,,,0.0,0.44734470989761094,,,,,,0.8946894197952219,0.057815490157240364,0.8947090519868356,0.0,1.0,0.668573,0.6015340364333653,0.37224,cachebench-l2-only
1,0.44734470989761094,0.44734470989761094,,,0.00022249436250609456,0.12611765221233542,0.44736396498659187,0.4473447746526085,0.0,0.0,,,0.0,0.44734470989761094,,,,,,0.8946894197952219,0.12634014657484152,0.8947087396392003,0.0,1.0,0.664502,0.6015340364333653,0.371904,cachebench-l2-only
2,0.44734470989761094,0.44734470989761094,,,0.0005487757496343247,0.13031754708069235,0.4473639268954168,0.4473447594161385,0.0,0.0,,,0.0,0.44734470989761094,,,,,,0.8946894197952219,0.13086632283032665,0.8947086863115552,0.0,1.0,0.660524,0.6015340364333653,0.37241599999999997,cachebench-l2-only
3,0.44734470989761094,0.44734470989761094,,,0.32561714940882497,0.33179275353486104,0.4473657362262311,0.4473448508349586,0.0,0.0,,,0.0,0.44734470989761094,,,,,,0.8946894197952219,0.657409902943686,0.8947105870611897,0.0,1.0,0.263416,0.6015340364333653,0.37365,cachebench-l2-only
4,0.44734470989761094,0.44734470989761094,,,0.44622304287542663,0.4484439640724037,0.44736605238298394,0.4473447594161385,0.0,0.0,,,0.0,0.44734470989761094,,,,,,0.8946894197952219,0.8946670069478303,0.8947108117991224,0.0,1.0,0.22129000000000001,0.6015340364333653,0.371761,cachebench-l2-only
5,0.44734470989761094,0.44734470989761094,,,0.4471194501157971,0.44918023220380304,0.44736626188444667,0.44734482798025355,0.0,0.0,,,0.0,0.44734470989761094,,,,,,0.8946894197952219,0.8962996823196001,0.8947110898647002,0.0,1.0,0.22098299999999998,0.6015340364333653,0.372406,cachebench-l2-only
6,0.44714326651474423,0.44714326651474423,,,5.1780670239248625e-06,0.0016591364373144425,0.44716300789527286,0.44714333885538643,0.0,0.0,,,0.0,0.44714326651474423,,,,,,0.8942865330294885,0.0016643145043383676,0.8943063467506593,0.0,1.0,0.483188,0.6015340364333653,0.373153,cachebench-l2-only
7,0.44714326651474423,0.44714326651474423,,,5.063844957220638e-06,0.002140087486183699,0.4471629850508596,0.4471433160109731,0.0,0.0,,,0.0,0.44714326651474423,,,,,,0.8942865330294885,0.0021451513311409195,0.8943063010618327,0.0,1.0,0.5070899999999999,0.6015340364333653,0.373017,cachebench-l2-only
8,0.44714326651474423,0.44714326651474423,,,5.090496772784957e-06,0.0027595061391162633,0.44716241013312386,0.4471433160109731,0.0,0.0,,,0.0,0.44714326651474423,,,,,,0.8942865330294885,0.0027645966358890483,0.8943057261440971,0.0,1.0,0.622731,0.6015340364333653,0.371346,cachebench-l2-only
9,0.44714326651474423,0.44714326651474423,,,5.977621490854437e-06,0.0021914683791894826,0.44716264238465947,0.44714331981837535,0.0,0.0,,,0.0,0.44714326651474423,,,,,,0.8942865330294885,0.002197446000680337,0.8943059622030348,0.0,1.0,0.660225,0.6015340364333653,0.371248,cachebench-l2-only
10,0.44714326651474423,0.44714326651474423,,,7.76329313366382e-06,0.0022107795232669436,0.4471626918808884,0.4471433160109731,0.0,0.0,,,0.0,0.44714326651474423,,,,,,0.8942865330294885,0.0022185428164006073,0.8943060078918615,0.0,1.0,0.659251,0.6015340364333653,0.371315,cachebench-l2-only
11,0.44714326651474423,0.44714326651474423,,,1.184102091500465e-05,0.0030772528916762996,0.44716300789527286,0.4471433160109731,0.0,0.0,,,0.0,0.44714326651474423,,,,,,0.8942865330294885,0.0030890939125913044,0.894306323906246,0.0,1.0,0.659906,0.6015340364333653,0.371355,cachebench-l2-only
12,0.44714326651474423,0.44714326651474423,,,7.862285591474149e-06,0.0023011672520522205,0.44716249770337496,0.4471433236257775,0.0,0.0,,,0.0,0.44714326651474423,,,,,,0.8942865330294885,0.0023090295376436945,0.8943058213291526,0.0,1.0,0.670579,0.6015340364333653,0.371854,cachebench-l2-only
13,0.44714326651474423,0.44714326651474423,,,7.923204027049734e-06,0.0022289827132973734,0.44716250151077713,0.44714333885538643,0.0,0.0,,,0.0,0.44714326651474423,,,,,,0.8942865330294885,0.002236905917324423,0.8943058403661636,0.0,1.0,0.6650119999999999,0.6015340364333653,0.37048000000000003,cachebench-l2-only
14,0.44714326651474423,0.44714326651474423,,,8.01077427818964e-06,0.0020508838594899227,0.44716236825169936,0.4471433160109731,0.0,0.0,,,0.0,0.44714326651474423,,,,,,0.8942865330294885,0.0020588946337681126,0.8943056842626724,0.0,1.0,0.667725,0.6015340364333653,0.37245500000000004,cachebench-l2-only
15,0.44714326651474423,0.44714326651474423,,,8.003159473742693e-06,0.002427279835900355,0.44716250151077713,0.4471433160109731,0.0,0.0,,,0.0,0.44714326651474423,,,,,,0.8942865330294885,0.002435282995374098,0.8943058175217502,0.0,1.0,0.66099,0.6015340364333653,0.371398,cachebench-l2-only
