,appName,n_dm,n_l2,n_shm,tex_trans,n_flop_sp,n_flop_dp,n_int,branch,act_util,warp_eff,sm_act,coreF,memF,avg_power
111,scalarProd,0.0580424556356,0.0580687418162,0.00757687470698,0.0550263808507,0.0154744903424,0.0,0.0554587933589,0.00142575430043,0.289588,0.984,0.8811,0.609939759036,1.0,0.7085437984696221
112,scalarProd,0.0571000284755,0.0571134023926,0.00746407548034,0.0542071864671,0.0152441169218,0.0,0.0546331615195,0.00140452866471,0.290086,0.984,0.8659,0.762048192771,1.0,0.7824946162574727
113,scalarProd,0.058292011452,0.0583090508751,0.00757063583948,0.0549810716286,0.0154617485064,0.0,0.0554131280844,0.00142458032138,0.289368,0.984,0.8831,0.905120481928,1.0,0.9079340815072188
114,scalarProd,0.0582880709273,0.0583092449256,0.00753465576105,0.0547197694987,0.0153882652567,0.0,0.0551497725702,0.00141780988456,0.28961,0.984,0.8801,1.0,1.0,1.0
115,scanScanExclusiveShared,0.188070831353,0.188106408053,0.148646932497,0.0880870711091,0.0,0.0,0.352348284436,0.00722589255192,0.974825,1.0,0.9976,0.457078313253,1.0,0.49152933629915746
116,scanScanExclusiveShared,0.184748053362,0.18294509976,0.14997888798,0.0888763780621,0.0,0.0,0.355505512249,0.00729064038791,0.972554,1.0,0.9967,0.609939759036,1.0,0.574449297571836
117,scanScanExclusiveShared,0.183501593752,0.184082902307,0.149585968166,0.0886435366912,0.0,0.0,0.354574146765,0.0072715401192,0.971741,1.0,0.9958,0.762048192771,1.0,0.6649501122876934
118,scanScanExclusiveShared,0.18340740899,0.181708406083,0.150443840593,0.0891519055365,0.0,0.0,0.356607622146,0.00731324225104,0.971742,1.0,0.9968,0.905120481928,1.0,0.8120348102510117
119,scanScanExclusiveShared,0.183670496728,0.180467976816,0.150352064581,0.0890975197515,0.0,0.0,0.356390079006,0.00730878091712,0.971757,1.0,0.9954,1.0,1.0,1.0
120,scanUniformUpdate,0.310500583089,0.309199599319,0.0105503966707,0.15122235228,0.0,0.0,0.093854570383,0.0015019661927,0.906779,0.9732,0.9936,0.457078313253,1.0,0.7545942743967209
121,scanUniformUpdate,0.311550426629,0.309619717029,0.0106825280907,0.153116235967,0.0,0.0,0.0950299894735,0.00152077656847,0.912364,0.9732,0.9928,0.609939759036,1.0,0.7700986740803333
122,scanUniformUpdate,0.317188421988,0.309384622679,0.0107471079663,0.15404188085,0.0,0.0,0.0956044812833,0.00152997023131,0.91829,0.9732,0.9942,0.762048192771,1.0,0.7945450306631425
