appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,warp_execution_efficiency,sm_activity,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,executed_ipc
eigenvalues,1328,715,input00,bisectKernel,3.0837,(1 1 1) (512 1 1),16.0,0.249996,0.6690999999999999,0.0178,1.566494,0.9989,574977,0.072479,7424,8.000000,0.0009765599999999999,128,4.000000,0.9828,16,0.0,12,0.0,371,0.0019073,141,0.0009765599999999999,276028,10.658,1.009302,7329,0.28896,1.210005,0.0009765599999999999,128,0.0009765599999999999,0.0009765599999999999,0.9667,0.03624,3712,0,0,51317746,19940706,2847803,20853625,40018704,11146,4800365,3.0002e+05,1.171684
fastWalshTransform,1328,715,input00,fwtBatch2Kernel,4.0135,(262144 1 1) (256 1 1),2097152.0,0.839682,1.0,0.9986,0.600559,1.0,2097152,487.63,67108864,8.000000,242.44,33554432,4.000000,0.5,33554643,234.03,37582435,262.58,33554725,236.17,37380500,263.1,0,0.0,0.000000,0,0.0,0.000000,241.38,33554432,241.38,245.76,0.5,245.76,33554432,0,0,536870912,0,0,2483027968,536870912,0,136314880,65.000000,0.457107
gaussian,1328,715,input00,Fan2,7.1832,(2048 2048 1) (4 4 1),2097152.0,0.111945,0.49979999999999997,0.8785,0.504193,1.0,12582092,333.84,80175936,6.371619,155.34,37304056,8.893833,0.5433,9355394,38.967,9029964,37.605,36663370,152.72,37304105,155.39,0,0.0,0.000000,0,0.0,0.000000,152.68,36664446,155.34,155.39,0.3716,104.8,25160297,0,0,134144026,67072013,0,2347686248,67072013,0,209690838,49.994192,0.449816
histogram,1328,715,input00,histogram256Kernel,2.573,(240 1 1) (192 1 1),1440.0,0.402498,0.6609,0.9031999999999999,1.468663,0.7729,43010228,194.12,16777216,8.000000,0.090599,7680,4.000000,0.5,8388769,96.687,295458,3.4114,8389159,97.094,7693,0.090599,69264202,3203.9,2.130389,34637861,1602.2,2.129989,97.075,8388608,0.090599,0.090599,0.5,97.059,8388608,0,0,0,0,0,2281105684,0,0,196694394,1.3659e+05,1.136097
hotspot,1328,715,input00,calculate_temp,0.12003,(64 64 1) (16 16 1),32768.0,0.713569,0.8468000000000001,0.9562,2.348708,1.0,1555968,129.13,516128,7.937500,8.1994,32768,2.000000,0.271,38170,9.5693,30053,7.5363,377000,94.432,32781,8.218,684544,685.22,0.975912,244224,244.46,0.935294,94.324,376201,8.2152,8.2189,0.2962,65.245,260096,20449840,6134952,39637216,13631488,4194304,149611648,31248608,14314888,12446464,379.835938,1.455163
matrixMulGlobal,1328,715,input00,matrixMulCUDA,36.471,(64 64 1) (32 32 1),131072.0,0.928113,1.0,0.9898,3.613389,1.0,67764224,2633.1,3221225472,6.000000,0.43774,524288,4.000000,0.845,53921367,44.065,583819,0.48733,499437927,408.19,524625,0.43774,0,0.0,0.000000,0,0.0,0.000000,407.82,499139490,0.43774,0.43774,0.8449,1754.5,2147483648,0,0,1.7180e+10,8589934592,0,1.1388e+11,8589934592,0,4635099136,3.5363e+04,1.724986
matrixMulShared,1328,715,input00,matrixMulCUDA,8.6016,(64 64 1) (32 32 1),131072.0,0.996408,1.0,0.9856999999999999,1.214748,1.0,42205184,465.85,134217728,8.000000,1.8179,524288,4.000000,0.5018,32048688,111.25,579878,2.0117,66870085,232.01,524301,1.8179,402653184,5589.4,1.200000,16777216,232.85,1.000000,232.16,66877805,1.8189,1.8189,0.5017,232.91,67108864,0,0,1.7180e+10,8589934592,0,3615490048,8589934592,0,811204608,6.1890e+03,1.286313
mergeSort,1328,715,input00,mergeSortSharedKernel,1.0599,(4096 1 1) (512 1 1),65536.0,0.980351,1.0,0.9851000000000001,2.270537,1.0,12058624,59.281,2097152,8.000000,29.639,1048576,4.000000,0.5,1048631,29.644,1047964,29.626,1048830,29.645,1048589,29.637,15151490,1712.9,1.501256,5715042,646.31,1.981923,29.643,1048576,29.643,29.599,0.5,29.599,1048576,0,0,0,0,0,1998585856,0,0,102236160,1.5600e+03,1.321176
nn,1328,715,input00,euclid,0.18543,(32768 1 1) (256 1 1),262144.0,0.879581,1.0,0.9789,1.219900,1.0,1310720,671.51,4194304,8.000000,167.7,1048576,4.000000,0.5,2097179,335.73,1049415,167.96,2097332,335.6,1048589,167.79,0,0.0,0.000000,0,0.0,0.000000,335.68,2097152,167.84,167.66,0.5,335.33,2097152,0,0,100663296,25165824,8388608,142606336,83886080,0,10747904,41.000000,0.786571
pathfinder,1328,715,input00,dynproc_kernel,3.5664,(9143 1 1) (256 1 1),73144.0,0.983215,0.9466,0.9906,1.228352,1.0,64110268,307.02,36696572,6.849762,0.62656,73143,3.999945,0.4877,6669567,55.796,1338597,11.203,18802292,157.37,1616058,13.527,21136856,708.11,0.914533,10623278,355.68,0.843211,157.43,18802220,0.62656,0.62561,0.4874,161.01,19235163,0,0,0,0,0,3739891640,0,0,288709678,3.9471e+03,1.100111
quasirandomGenerator,1328,715,input00,quasirandomGeneratorKernel,2.4369,(128 1 1) (128 3 1),1536.0,0.406484,1.0,0.7609,4.702602,1.0,3196416,0.0,0,0.000000,153.76,12582912,4.000000,0.0,139,0.0009765599999999999,11863137,144.95,260,0.0028610000000000003,12582925,153.73,0,0.0,0.000000,0,0.0,0.000000,0.0,0,153.74,153.75,0.5,0.0,0,0,0,100663296,0,0,6946603008,100663296,0,229725696,1.4956e+05,1.661674
reduction,1328,715,input00,reduce2,3.8367,(262144 1 1) (256 1 1),2097152.0,0.966634,0.9618000000000001,0.9986,0.863931,1.0,101974016,137.69,16777216,8.000000,2.1514,262144,1.000000,0.5,8388720,68.866,245774,2.0163,8388872,68.866,262195,2.1514,6553600,215.2,1.000000,5242880,172.16,1.000000,68.861,8388608,2.1514,2.1514,0.49229999999999996,68.866,8388608,0,0,66846720,0,0,2415919104,66846720,0,226754560,108.125000,0.840243
scalarProd,1328,715,input00,scalarProdGPU,4.4268,(128 1 1) (256 1 1),1024.0,0.289560,0.9840000000000001,0.8769,0.685272,1.0,55642112,899.69,134217728,8.000000,0.45013000000000003,65536,1.000000,0.5,67109121,407.27,4375918,26.576,67109247,409.05,3968682,24.189,4784128,127.76,1.000000,4456448,118.34,1.000000,450.07,67108864,0.44918,0.44918,0.49979999999999997,450.43,67108864,0,0,603914240,268435456,0,2164359168,335478784,0,192878592,1.8836e+05,0.665642
scanScanExclusiveShared,1328,715,input00,scanExclusiveShared,1.2837,(65536 1 1) (256 1 1),524288.0,0.971744,1.0,0.9967,1.032510,1.0,22020096,202.88,8388608,16.000000,202.88,8388608,16.000000,0.0,8388685,202.95,8761990,211.92,8388727,202.88,8709153,210.63,8912896,862.09,1.000000,5242880,507.15,1.000000,202.95,8388608,202.95,202.95,0.0,202.95,8388608,0,0,0,0,0,1073741824,0,0,82837504,158.000000,0.906135
scanUniformUpdate,1328,715,input00,uniformUpdate,0.9960399999999999,(65536 1 1) (256 1 1),524288.0,0.925343,0.9732,0.9937,0.165086,1.0,2686976,251.67,8454144,14.333333,248.7,8388608,16.000000,0.0004,8396853,247.25,8834876,260.7,8451036,252.38,8572370,256.01,524288,62.48,1.000000,65536,7.811,1.000000,253.04,8450862,251.18,251.7,0.0002,253.67,8454144,0,0,0,0,0,167903232,0,0,11862016,22.625000,0.160301
sortingNetworks,1328,715,input00,bitonicSortShared1,1.6166,(8192 1 1) (512 1 1),131072.0,0.987705,0.8359000000000001,0.9906999999999999,1.322142,1.0,32031747,77.982,4194304,8.000000,38.982,2097152,4.000000,0.5,2097477,38.968,2096115,38.953,2099336,38.988,2097165,38.958,43215577,3214.2,1.675641,41348360,3073.3,1.664437,38.972,2097152,38.972,38.992,0.5,38.992,2097152,0,0,0,0,0,578810754,0,0,116743189,890.679848,0.986623
srad,1328,715,input00,srad_cuda_1,3.0946,(256 512 1) (16 16 1),1048576.0,0.974887,0.9147,0.998,2.472264,0.9345,47185928,330.7,33619968,6.397506,206.35,20971520,4.000000,0.7351000000000001,4316353,42.33,34281984,336.76,21490011,211.17,35667002,350.48,7602176,299.11,1.450000,7318673,288.03,0.995424,211.38,21489557,330.06,330.07,0.5628,330.55,33603584,536870912,234881024,2684354545,1040187385,167772159,3353477134,2046820348,301989888,346542110,330.488310,1.541768
stereoDisparity,1328,715,input00,stereoDisparityKernel,4.2074,(64 256 1) (32 8 1),131072.0,0.989286,0.9605,0.9945999999999999,1.153139,1.0,44957696,0.0,0,0.000000,3.7216,524288,4.000000,0.0,1276627,9.0646,1266694,8.9938,69870926,496.23,2621453,18.613,149291008,4239.0,1.000000,20054016,569.61,1.000000,496.24,69877842,18.615,18.614,0.5647,780.0,109838336,0,0,0,0,0,3211613767,0,0,366215168,2.7940e+03,1.178541
transpose,1328,715,input00,transposeCoalesced,1.0637,(512 512 1) (16 16 1),2097152.0,0.889403,1.0,0.9964,1.667615,1.0,6291456,488.71,16777216,8.000000,244.39,8388608,4.000000,0.5,8388692,243.76,8857305,259.1,8388775,247.95,8474091,250.48,16777216,1945.3,8.000000,2097152,244.32,1.000000,248.57,8388608,248.57,248.94,0.5,248.94,8388608,0,0,0,0,0,1476395008,0,0,73400320,35.000000,0.971045
vectorAdd,1328,715,input00,vectorAdd,1.4608,(262144 1 1) (256 1 1),2097152.0,0.892535,1.0,0.9954999999999999,0.595701,1.0,4194304,675.86,33554432,8.000000,169.42,8388608,4.000000,0.5,16777280,331.09,9414857,186.62,16777430,335.64,9496168,189.97,0,0.0,0.000000,0,0.0,0.000000,337.83,16777216,168.91,169.75,0.5,339.51,16777216,0,0,67108864,0,0,805306368,67108864,0,44040192,21.000000,0.405790
