,appName,n_dm,n_l2,n_shm,tex_trans,n_flop_sp,n_flop_dp,n_int,act_util,coreF,memF,inst_per_warp,real_cycle
0,BlackScholes,0.11194975453501198,0.14801558429200148,0.0,0.08315487803326346,0.5269502862127489,0.0,0.12992949692697414,0.921277,0.7620481927710844,1.0,165.0,1.190309491606333
1,BlackScholes,0.10938589489384759,0.14783067305436118,0.0,0.08346374695408684,0.5289075804819438,0.0,0.1304121046157607,0.917689,0.9051204819277109,1.0,165.0,1.046781764659082
2,BlackScholes,0.10937794239159877,0.14771508972819833,0.0,0.08347762820490288,0.5289955456051393,0.0,0.13043379407016076,0.9167370000000001,1.0,1.0,165.0,1.0
3,BlackScholes,0.11426189798465641,0.14849907127796128,0.0,0.08284074368240715,0.524959625051214,0.0,0.12943866200376117,0.9291370000000001,0.45707831325301207,1.0,165.0,1.952502187922667
4,BlackScholes,0.11230221077540424,0.14818336256231548,0.0,0.08309642126149835,0.5265798471796909,0.0,0.12983815822109118,0.9179200000000001,0.6099397590361446,1.0,165.0,1.4729891001670778
5,SobolQRNG,0.16925970946690802,0.1673278173418403,0.04152075080107311,4.041932421618215e-05,0.04138938799737052,0.0,0.5804619150685918,0.5379,0.7620481927710844,1.0,43094.0,1.0580679218722504
6,SobolQRNG,0.1684714195919527,0.16765465434695653,0.041549631580963885,4.0447438871709794e-05,0.04141817740463083,0.0,0.5808656696366243,0.541447,0.9051204819277109,1.0,43094.0,1.0189160654583844
7,SobolQRNG,0.16896141906852055,0.166071013609679,0.04161807890157766,4.0514070480971196e-05,0.041486408172514505,0.0,0.5818225661772274,0.5430020000000001,1.0,1.0,43094.0,1.0
8,SobolQRNG,0.16909897680063157,0.1703111767268159,0.04134409210783541,4.024735177204713e-05,0.04121328821457626,0.0,0.5779922187983688,0.48701400000000006,0.45707831325301207,1.0,43094.0,1.3095196199190566
9,SobolQRNG,0.16901299994785052,0.16874910541447793,0.04144723788808116,4.034776139019826e-05,0.041316107663563015,0.0,0.5794342013246372,0.5205489999999999,0.6099397590361446,1.0,43094.0,1.127485483019532
10,backpropBackward,0.18092909984998273,0.20086666433238956,0.0,0.29338513829712565,0.0,0.09430237730136141,0.23051672021914066,0.9472510000000001,0.7620481927710844,1.0,63.00010699999999,1.0772549019607844
11,backpropBackward,0.18093132938506437,0.20089628425809844,0.0,0.2933700232948055,0.0,0.09429751890717014,0.23050484415486155,0.953024,0.9051204819277109,1.0,63.00010699999999,1.0221116138763198
12,backpropBackward,0.1809301665825934,0.20089991778924574,0.0,0.2933688507452945,0.0,0.09429714201621026,0.2305039228666561,0.956095,1.0,1.0,63.00010699999999,1.0
13,backpropBackward,0.1809099361951972,0.20089845450428942,0.0,0.29337914605013804,0.0,0.09430045122173929,0.23051201202863603,0.939566,0.45707831325301207,1.0,63.00010699999999,1.2802413273001507
14,backpropBackward,0.1809378844627991,0.20080314237509023,0.0,0.29341111534880326,0.0,0.09431072706898323,0.23053713074432416,0.942945,0.6099397590361446,1.0,63.00010699999999,1.189653092006033
15,backpropForward,0.05544022836075619,0.06615215623383622,0.07153407025630727,0.03692081045486827,0.036536218679296725,0.0,0.7334165160149353,0.9762639999999999,0.7620481927710844,1.0,284.75,1.2994444302209476
16,backpropForward,0.0554477708111265,0.0661519336115247,0.07153347415822543,0.03692050279134216,0.03653591422059901,0.0,0.7334104044071822,0.976259,0.9051204819277109,1.0,284.75,1.0959830000768067
17,backpropForward,0.05544845418879095,0.0661515801387307,0.07153344729206698,0.036920488924937794,0.03653590049863636,0.0,0.7334101289568372,0.9762,1.0,1.0,284.75,1.0
18,backpropForward,0.0554309707371071,0.0661530010593511,0.0715347553615844,0.03692116405759195,0.0365365685986587,0.0,0.7334235401857068,0.978934,0.45707831325301207,1.0,284.75,2.1557131518984103
19,backpropForward,0.0554378821012925,0.06615299727409783,0.0715341928354542,0.03692087372152475,0.036536281286925536,0.0,0.7334177727807052,0.9770719999999999,0.6099397590361446,1.0,284.75,1.622545380066054
20,cfd,0.2529663372056176,0.41497731296425366,0.0,0.2091782336449977,0.08245402886401172,0.0,0.0404240873211194,0.913891,0.7620481927710844,1.0,2007.4,1.0394576601445158
21,cfd,0.25298514891519974,0.41497400898543757,0.0,0.20916846458100855,0.08245017808723586,0.0,0.040422199431118314,0.9128040000000001,0.9051204819277109,1.0,2007.4,1.0131525533815053
22,cfd,0.25281109797200446,0.41508917997427375,0.0,0.2092055558905295,0.08246479876670404,0.0,0.040429367396488336,0.9111950000000001,1.0,1.0,2007.4,1.0
23,cfd,0.2511719648875965,0.416079041964852,0.0,0.20961456291790162,0.08262602145537899,0.0,0.04050840877427098,0.901954,0.45707831325301207,1.0,2007.4,1.1545830965332466
24,cfd,0.25269285450480466,0.4151518874269352,0.0,0.20924054069184642,0.08247858910123035,0.0,0.040436128275183524,0.910618,0.6099397590361446,1.0,2007.4,1.109685800113664
25,conjugateGradient,0.10534078342255791,0.11776681466199958,0.09173637298896943,0.2293409324724236,0.045868184444016996,0.0,0.40994691201003247,0.90323,0.7620481927710844,1.0,91.0,1.233185471835987
26,conjugateGradient,0.10428974403160869,0.1176609378887722,0.09187298301693754,0.22968245754234384,0.04593648945494758,0.0,0.41055738806539016,0.8955209999999999,0.9051204819277109,1.0,91.0,1.0760268826610955
27,conjugateGradient,0.10577773932279905,0.11745767646284971,0.09172128012376314,0.22930320030940787,0.0458606380117512,0.0,0.409879465769429,0.900266,1.0,1.0,91.0,1.0
28,conjugateGradient,0.10637222149749986,0.11741484953676994,0.09165614002003186,0.22914035005007963,0.045828067961341555,0.0,0.40958837093427714,0.857977,0.45707831325301207,1.0,91.0,2.0497514485966883
29,conjugateGradient,0.10616027915381096,0.11887007819328597,0.09150933130283448,0.2287733282570862,0.0457546636060243,0.0,0.4089323194869581,0.8964620000000001,0.6099397590361446,1.0,91.0,1.537416506283256
30,convolutionSeparable,0.08953422236899133,0.09939588698403476,0.3690905706332604,0.052973790533334855,0.3611245870944131,0.0,0.027880942385965713,0.76117,0.7620481927710844,1.0,328.975,1.275649411324986
31,convolutionSeparable,0.09028721728837479,0.09932336458832257,0.3687809105226357,0.05292934651026318,0.36082161029552845,0.0,0.027857550794875358,0.752745,0.9051204819277109,1.0,328.975,1.0781162399551485
32,convolutionSeparable,0.091029049677086,0.09858651359470147,0.36877864365762497,0.052929021158054805,0.36081939235566185,0.0,0.027857379556870954,0.746375,1.0,1.0,328.975,1.0
33,convolutionSeparable,0.09126711895150987,0.10102297425959027,0.3675615552255921,0.05275433832194649,0.35962857201928433,0.0,0.027765441222077098,0.764143,0.45707831325301207,1.0,328.975,2.1135613281006664
34,convolutionSeparable,0.0898763840797893,0.10030525754123376,0.3685210404802023,0.05289204861568371,0.36056734895904685,0.0,0.027837920324044058,0.7626470000000001,0.6099397590361446,1.0,328.975,1.5911044664548681
35,convolutionTexture,0.03662284573810203,0.05207177702721867,0.0,0.5901523744066968,0.22998585179084505,0.0,0.09116715103713745,0.868764,0.7620481927710844,1.0,94.941452,1.2238671314332583
36,convolutionTexture,0.035783434645223086,0.05130081973488724,0.0,0.5911952330904513,0.23039225995436705,0.0,0.09132825257507132,0.869497,0.9051204819277109,1.0,94.941452,1.0668580411455129
37,convolutionTexture,0.03565391502494984,0.05114785479568563,0.0,0.5913781673051195,0.23046355049390685,0.0,0.09135651238033819,0.8682639999999999,1.0,1.0,94.941452,1.0
38,convolutionTexture,0.036539704254681095,0.05242054825270841,0.0,0.5899803552055475,0.22991881489627952,0.0,0.09114057739078345,0.863298,0.45707831325301207,1.0,94.941452,1.8940605563529491
39,convolutionTexture,0.036329702261074424,0.05201183740688962,0.0,0.5903810275382081,0.23007495926121346,0.0,0.09120247353261426,0.869079,0.6099397590361446,1.0,94.941452,1.4547194313444058
40,dxtc,0.2527667249198341,0.309240664926405,0.006159949716963428,0.23154151494815986,0.14282367003818178,0.0,0.05746747545045581,0.9889530000000001,0.7620481927710844,1.0,7463.6,1.0139415171230428
41,dxtc,0.2527183234403725,0.30910206185755434,0.006162579758173583,0.2316403735028812,0.1428846497791286,0.0,0.05749201166188981,0.991922,0.9051204819277109,1.0,7463.6,1.0067205262029026
42,dxtc,0.25305260655550044,0.3088670969697954,0.0061611829417150665,0.2315878696653874,0.14285226340226814,0.0,0.05747898046533352,0.993266,1.0,1.0,7463.6,1.0
43,dxtc,0.2528458063923368,0.30954056283876175,0.006154619732163731,0.23134117033304485,0.14270008981020618,0.0,0.057417750893486705,0.982348,0.45707831325301207,1.0,7463.6,1.060413240866519
44,dxtc,0.2526523348725562,0.30944591927203896,0.006158671796980387,0.23149348021696048,0.14279404037716514,0.0,0.05745555346429887,0.9852139999999999,0.6099397590361446,1.0,7463.6,1.0492600271680845
45,fastWalshTransform,0.26118099840619013,0.26147988416317763,0.0,0.12520370293262484,0.06260185146631242,0.0,0.2895335630316949,0.8309200000000001,0.7620481927710844,1.0,65.0,0.9906062342710488
46,fastWalshTransform,0.26235760353436344,0.262710380678812,0.0,0.12457233200965889,0.062286166004829446,0.0,0.2880735177723362,0.836925,0.9051204819277109,1.0,65.0,0.9969601076420901
47,fastWalshTransform,0.2633406869009864,0.2631008097394155,0.0,0.12421206645497655,0.062106033227488276,0.0,0.28724040367713327,0.83973,1.0,1.0,65.0,1.0
48,fastWalshTransform,0.2607009751077544,0.2609723688030145,0.0,0.12546272946602782,0.06273136473301391,0.0,0.2901325618901894,0.80901,0.45707831325301207,1.0,65.0,0.9907059028729476
49,fastWalshTransform,0.26063066930407813,0.26100224567975716,0.0,0.12547333377473172,0.06273666688736586,0.0,0.2901570843540671,0.822154,0.6099397590361446,1.0,65.0,0.9904068970672514
50,gaussian,0.0950775315325531,0.3788236096124353,0.0,0.12886610786050864,0.021470606203693256,0.0,0.3757621447908097,0.12696500000000002,0.7620481927710844,1.0,49.994192,1.2702555963915803
51,gaussian,0.09519905231005547,0.37878921965871626,0.0,0.12884476546459453,0.021467050310016302,0.0,0.3756999122566175,0.11678,0.9051204819277109,1.0,49.994192,1.087175632030293
52,gaussian,0.09425563464548753,0.37918051878806497,0.0,0.1289800050027798,0.02148958280452361,0.0,0.3760942587591441,0.111953,1.0,1.0,49.994192,1.0
53,gaussian,0.09350028916968095,0.37949630685235547,0.0,0.12908767308046123,0.021507521570076373,0.0,0.37640820932742597,0.11498,0.45707831325301207,1.0,49.994192,1.8962300924379105
54,gaussian,0.09648228001843075,0.37824935263828674,0.0,0.12866268181818527,0.021436713037221364,0.0,0.3751689724878759,0.117827,0.6099397590361446,1.0,49.994192,1.433066042989197
55,histogram,0.045138637396013835,0.04228553337573478,0.51651039518515,0.041700839309930834,0.0,0.0,0.3543645947331706,0.402281,0.7620481927710844,1.0,136590.0,1.228021764477264
56,histogram,0.04314561836100369,0.04185220585731257,0.5178836873292443,0.04181171304172851,0.0,0.0,0.3553067754107111,0.401914,0.9051204819277109,1.0,136590.0,1.0833268558103382
57,histogram,0.045118270460039994,0.04176534300721703,0.5168163461626147,0.04172554048277636,0.0,0.0,0.35457449988735185,0.402514,1.0,1.0,136590.0,1.0
58,histogram,0.04365970655115832,0.041829276933828416,0.5176056952339009,0.041789269149397575,0.0,0.0,0.3551160521317148,0.402363,0.45707831325301207,1.0,136590.0,2.0253789350952194
59,histogram,0.046938450321637216,0.042411980566538644,0.5154201478412042,0.04161281740423102,0.0,0.0,0.353616603866389,0.402598,0.6099397590361446,1.0,136590.0,1.5268558103381267
60,hotspot,0.008308935454371754,0.04978682005378818,0.11299616903266631,0.03164391062215793,0.15069874685875218,0.07774928646507324,0.5688161315131904,0.714406,0.7620481927710844,1.0,379.835938,1.2974008663778742
61,hotspot,0.00831206087821042,0.04963630322704721,0.11301385094032698,0.03164886233610039,0.15072232855492249,0.07776145285722377,0.5689051412061688,0.714275,0.9051204819277109,1.0,379.835938,1.0952182605798069
62,hotspot,0.008285909944156521,0.049771913304486416,0.11300071960140323,0.031645184982090874,0.1507048157813716,0.07775241757540499,0.5688390388110863,0.7141,1.0,1.0,379.835938,1.0
63,hotspot,0.008322165631901489,0.04972201959249494,0.11300235569605091,0.03164564316074634,0.15070699777935664,0.07775354332322933,0.5688472748162203,0.715735,0.45707831325301207,1.0,379.835938,2.1571976007997336
64,hotspot,0.008334484547242017,0.04977502208292889,0.1129945193701701,0.031643448643906516,0.15069654676583713,0.07774815138161789,0.5688078272082975,0.7148260000000001,0.6099397590361446,1.0,379.835938,1.621042985671443
65,matrixMulShared,0.02606161179534663,0.05452879630838868,0.3393425732784843,0.05429481172455749,0.43436180121633117,0.0,0.09141040567689171,0.9957370000000001,0.7620481927710844,1.0,6189.0,1.2845583277140933
66,matrixMulShared,0.026571919832326357,0.05446787372051737,0.3391767107336094,0.054268273717377497,0.43414949554230337,0.0,0.09136572645386602,0.9963879999999999,0.9051204819277109,1.0,6189.0,1.0848350268560931
67,matrixMulShared,0.026386059703955047,0.054498528680407755,0.3392339950187883,0.05427743920300613,0.43422281998565665,0.0,0.0913811574081861,0.9962479999999999,1.0,1.0,6189.0,1.0
68,matrixMulShared,0.025929234981384504,0.05458554302440439,0.3393704874010698,0.05429927798417117,0.43439753156530697,0.0,0.09141792504366317,0.996375,0.45707831325301207,1.0,6189.0,2.1038435603506405
69,matrixMulShared,0.025987071137659853,0.054561026113457936,0.3393581896846339,0.05429731034954142,0.4343817903684087,0.0,0.09141461234629825,0.9966010000000001,0.6099397590361446,1.0,6189.0,1.5954379519613084
70,mergeSort,0.02367422996764289,0.02368259669666408,0.2356067730850615,0.011839610324055835,0.0,0.0,0.7051967899265756,0.980815,0.7620481927710844,1.0,1560.0,1.2976695914708933
71,mergeSort,0.023672479177580263,0.02368346545946285,0.2356069912271773,0.011839621286039704,0.0,0.0,0.70519744284974,0.980822,0.9051204819277109,1.0,1560.0,1.0961411453910745
72,mergeSort,0.023672047245725927,0.023682649642642203,0.2356072998191529,0.011839636793271066,0.0,0.0,0.7051983664992079,0.98009,1.0,1.0,1560.0,1.0
73,mergeSort,0.023676310918851345,0.023683559802613573,0.23560602023183783,0.011839572491999129,0.0,0.0,0.7051945365546981,0.98069,0.45707831325301207,1.0,1560.0,2.153316350599113
74,mergeSort,0.023674745350007652,0.02368224266057331,0.23560673318105965,0.01183960831881708,0.0,0.0,0.7051966704895423,0.980727,0.6099397590361446,1.0,1560.0,1.619398056420417
75,nn,0.1967598722768583,0.19672041449802607,0.0,0.13113939745407904,0.1967090961811186,0.0,0.278671219589918,0.85687,0.7620481927710844,1.0,41.0,0.9976270089526481
76,nn,0.19675937708583435,0.196721857861922,0.0,0.13113919244372835,0.19670878866559252,0.0,0.2786707839429228,0.8718950000000001,0.9051204819277109,1.0,41.0,0.9979505986409234
77,nn,0.1967478100796026,0.19672436021419545,0.0,0.13114115236890853,0.1967117285533628,0.0,0.2786749487839306,0.879561,1.0,1.0,41.0,1.0
78,nn,0.19737752811614503,0.19656829600936912,0.0,0.13103874072961857,0.19655811109442783,0.0,0.27845732405043944,0.8178890000000001,0.45707831325301207,1.0,41.0,1.259033545464351
79,nn,0.19676262252113313,0.19671978815686733,0.0,0.13113893823178369,0.19670840734767553,0.0,0.27867024374254035,0.8362700000000001,0.6099397590361446,1.0,41.0,1.020494013590767
80,pathfinder,0.0474268128310241,0.10750669422765809,0.15988514314591512,0.09683261379470283,0.0,0.0,0.5883487360006998,0.9836010000000001,0.7620481927710844,1.0,3947.1,1.298892471610823
81,pathfinder,0.0487583536545494,0.10313853652078227,0.16045966589546107,0.09718056694674948,0.0,0.0,0.5904628769824577,0.983693,0.9051204819277109,1.0,3947.1,1.094882938455068
82,pathfinder,0.04412181161103767,0.10504920629257822,0.16097539629301102,0.09749291318121209,0.0,0.0,0.592360672622161,0.9832989999999999,1.0,1.0,3947.1,1.0
83,pathfinder,0.05680051270295596,0.10383881159361533,0.1588056122291596,0.09617880820473484,0.0,0.0,0.5843762552695343,0.984339,0.45707831325301207,1.0,3947.1,2.150343473994112
84,pathfinder,0.05277451826381066,0.10313698676385473,0.1597001075935966,0.0967205491223799,0.0,0.0,0.5876678382563582,0.98395,0.6099397590361446,1.0,3947.1,1.6199355110051872
85,scalarProd,0.23233874705454702,0.2323931652262,0.030371157271260486,0.2205678372040478,0.0620279730174347,0.0,0.22230112022651002,0.290086,0.7620481927710844,1.0,188360.0,1.1108776211135212
86,scalarProd,0.23314226364396728,0.2332104137999616,0.030279194916694348,0.2198999687567022,0.06184015539834628,0.0,0.22162800348432826,0.28936799999999996,0.9051204819277109,1.0,188360.0,1.0251717281272594
87,scalarProd,0.23372277394501326,0.23380767717729972,0.030212367937024087,0.21941464374122457,0.06170367254868727,0.0,0.2211388646507511,0.28961,1.0,1.0,188360.0,1.0
88,scalarProd,0.23386168665838275,0.23395224698643458,0.03019628311434893,0.2192978291425057,0.06167082200769623,0.0,0.2210211320906318,0.290116,0.45707831325301207,1.0,188360.0,1.601658532176428
89,scalarProd,0.23249742377135962,0.23260271685721612,0.030350263963177623,0.22041610140633963,0.06198530195493834,0.0,0.22214819204696867,0.289588,0.6099397590361446,1.0,188360.0,1.3005242227042662
90,scanScanExclusiveShared,0.19107023987610994,0.19167552489200657,0.15575574160056874,0.09229969872626295,0.0,0.0,0.3691987949050518,0.971741,0.7620481927710844,1.0,158.0,1.2983330736874903
