,n_shm_ld,n_shm_st,n_gld,n_gst,n_dm_ld,n_dm_st,n_flop_sp,other_insts,real_cycle,c_to_m,act_util,appName
170,0.5340779834070974,0.0414013940625657,0.08349528214582849,0.06624256742551252,0.06812283581579974,0.06589519733047261,0.14076473981272336,0.0,88.60123326645136,1.1666666666666667,0.9053959999999999,convolutionSeparable
171,0.5356991806390858,0.0415270682665958,0.0823880407360443,0.0664437034993911,0.06648234223749723,0.06626763251495997,0.14119203210642572,0.0,73.18681474758401,1.0,0.90796,convolutionSeparable
172,0.535669310944691,0.04152475278641015,0.08237252053525973,0.06643999870911006,0.06647356635323536,0.06633569119749923,0.1411841594737945,0.0,62.96078721649493,0.875,0.907767,convolutionSeparable
173,0.535640078075431,0.04152248667251403,0.08237743043795163,0.06643631658688404,0.06646622169813499,0.0663810118425367,0.1411764546865477,0.0,55.435211338990946,0.7777777777777778,0.909591,convolutionSeparable
174,0.5356034886913184,0.041519650286148714,0.082364088160553,0.06643177834561695,0.06645835885089998,0.06645582469255733,0.14116681097290562,0.0,49.52478177426111,0.7,0.9098809999999999,convolutionSeparable
175,0.5356214057041082,0.04152103920186886,0.08236937764789688,0.0664340569385859,0.0665049031127883,0.06637768410839781,0.1411715332863541,0.0,157.68638089466327,2.0,0.901673,convolutionSeparable
176,0.5356025838234809,0.041519580141355115,0.08236980572330248,0.06643166611337636,0.06648730487365694,0.06642248684422077,0.14116657248060738,0.0,124.24595135689702,1.6,0.9071440000000001,convolutionSeparable
177,0.5357506608788611,0.04153105898285745,0.08239218404036344,0.06645003235319515,0.06653216164464075,0.06613830155836668,0.14120560054171533,0.0,99.17558542274698,1.3333333333333333,0.9044639999999999,convolutionSeparable
178,0.535731950620277,0.041529608575215274,0.08239336224731691,0.06644844395494043,0.06650674357635339,0.06618922187016511,0.14120066915573193,0.0,83.18130536767826,1.1428571428571428,0.9045340000000001,convolutionSeparable
179,0.535712155382408,0.04152807406065178,0.08238434725959377,0.06644525645337472,0.06649318992644548,0.06624152511131014,0.14119545180621607,0.0,71.89661654815572,1.0,0.90685,convolutionSeparable
180,0.5356553728938752,0.04152367231735466,0.08237381273740675,0.06643821362827786,0.06647859512927008,0.06634984741480952,0.14118048587900586,0.0,63.2104432940604,0.8888888888888888,0.90864,convolutionSeparable
181,0.5356156142153282,0.041520590249250255,0.0823805386199551,0.06643328229422886,0.0664724781639303,0.06640748960985636,0.14117000684745085,0.0,56.389843503349354,0.8,0.90871,convolutionSeparable
182,0.5356067764035296,0.04151990514756044,0.08237444885941338,0.06643370663028868,0.06654188769825264,0.06635559775924965,0.14116767750170547,0.0,177.05672709643474,2.25,0.895855,convolutionSeparable
183,0.535634648172467,0.04152206574980365,0.0823688798064376,0.0664363752399002,0.06651201018768393,0.06635099729437516,0.1411750235493324,0.0,139.10116606062218,1.8,0.902645,convolutionSeparable
184,0.5357388611926127,0.04153014427849711,0.0823869896548663,0.06644930109399666,0.06653137224771542,0.06616084098542165,0.14120249054689019,0.0,112.03226970194822,1.5,0.908058,convolutionSeparable
