,appName,n_dm,n_l2,n_shm,tex_trans,n_flop_sp,n_flop_dp,n_int,act_util,inst_per_warp,real_cycle
0,BlackScholes,0.12153709739263803,0.12296727788124451,0.0,0.0736196319018405,0.6220338973530962,0.0,0.147239263803681,0.841159,163.0,19.86056755118317
1,SobolQRNG,0.1892932355112588,0.18974566260612774,0.047849760059062385,0.00018456995201181247,0.04724990771502399,0.0,0.6661129568106312,0.939311,10836.0,32.51598013675304
2,backpropForward,0.03352426030195642,0.0466898924408388,0.04358013120899719,0.022492970946579195,0.02225866916588566,0.0,0.44681349578256796,0.955938,266.75,21.51106875773196
3,conjugateGradient,0.0940160945970185,0.13534273420061385,0.08163265306122448,0.20408163265306123,0.04081631193355638,0.0,0.36479588430754994,0.8995770000000001,98.0,24.49303483761161
4,convolutionSeparable,0.19548898919164973,0.21880466698954099,0.8475609756097561,0.12093495934959349,0.8292682926829268,0.0,0.06402439024390244,0.9593079999999999,328.0,54.53765095494579
5,convolutionTexture,0.08487174050849781,0.12666772318165204,0.0,1.431578947368421,0.5578947368421052,0.0,0.22105263157894736,0.834802,95.0,41.88320019663743
6,fastWalshTransform,0.4934734637920673,0.4937596247746394,0.0,0.24615384615384617,0.12307692307692308,0.0,0.5692307692307692,0.8265809999999999,65.0,73.97949624338942
7,gaussian,0.16230028232083357,0.7513707946900324,0.0,0.23992886096920116,0.039935441435096725,0.0,0.6990676407512657,0.190175,49.970943,31.825233951614894
8,histogram,0.04377906967302302,0.04396737294604085,0.5277402632835414,0.04257229254159887,0.0,0.0,0.36246390650933313,0.890473,34209.0,40.784155663259504
9,matrixMulShared,0.0093670017338177,0.08745410672267173,0.5284015852047557,0.0845442536327609,0.6763540290620872,0.0,0.15653896961690886,0.9782379999999999,1514.0,38.9317240239432
10,mergeSort,0.02126165731063742,0.021382959631105133,0.2108851552799048,0.010596026490066225,0.0,0.0,0.6324503311258278,0.977201,1510.0,24.887359921647352
11,nn,0.2940547291825457,0.4885291122808689,0.0,0.1951219512195122,0.2926829268292683,0.0,0.4146341463414634,0.853749,41.0,44.48741578422258
12,pathfinder,0.027446874658470424,0.09554122379215411,0.1296687990917319,0.07852851041179443,0.0,0.0,0.4476435203875939,0.977525,3347.8,25.32196777272726
13,quasirandomGenerator,0.054814462951584604,0.05496587931548811,0.0,0.0,0.013677770950765368,0.0,0.94422034034141,0.719696,37433.0,14.433397888137922
14,scalarProd,0.3691850959379351,0.36958811929508917,0.05065792428257062,0.36789868415143484,0.10346027754075537,0.0,0.37080657475187495,0.995559,44534.0,64.2083467775183
15,scanScanExclusiveShared,0.2623621205814549,0.26261088887199024,0.22131147540983606,0.13114754098360656,0.0,0.0,0.5,0.9421200000000001,122.0,44.26510036629099
16,sortingNetworks,0.04144463576980235,0.0411523489061167,0.8107638729281146,0.020107924837687922,0.0,0.0,0.19227932259227007,0.989078,795.7061769999999,58.16241887424735
17,srad,0.08132990289040021,0.10916625114438923,0.04782239079257128,0.06780015694480775,0.2678524718807219,0.05357049437614439,0.3125425058854303,0.9694709999999999,298.671875,35.87494088537797
18,transpose,0.24281449751420456,0.2426175204190341,0.2727272727272727,0.12121212121212122,0.0,0.0,0.6666666666666666,0.8453450000000001,33.0,41.59449627083334
19,vectorAdd,0.5726880573091053,0.5740747905912853,0.0,0.38095238095238093,0.047619047619047616,0.0,0.5714285714285714,0.844289,21.0,84.85175121512277
