,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,depart_delay,mem_l,MWP,mem_cycles,compute_cycles,exec_rounds,abe
55,BlackScholes,400,1000,366.432,0.4,9979.660658969533,4379.717466875001,3.592492,366.432,101.99939206545206,4052.1909174018588,171.45845947265624,146.10988147977346,1.2786083199312355
54,BlackScholes,400,900,376.3333333333333,0.4444444444444444,10018.989525923178,4776.8572578125,4.031412345679012,376.3333333333333,93.35024578587169,4562.048337501541,171.45450439453126,145.6606221301728,1.0974019078207171
53,BlackScholes,400,800,388.71,0.5,10093.827378443553,5385.673937812501,4.59124375,388.71,84.6633333287957,5217.908746233337,171.50030822753905,144.76182721092587,0.8741994957354143
62,BlackScholes,500,1000,388.71,0.5,10062.163513696874,5256.55606875,4.490615,388.71,86.56052678753355,5107.96665565277,171.4128204345703,145.16158298706247,0.9142121537551942
61,BlackScholes,500,900,401.08666666666664,0.5555555555555556,10127.732560193228,5831.250609374999,5.039265432098766,401.08666666666664,79.59228821563008,5713.4791320949325,171.59720764160156,144.52302884137697,0.7368028298956494
52,BlackScholes,400,700,404.62285714285713,0.5714285714285714,10151.317822336605,6272.691885,5.3292816326530605,404.62285714285713,75.92446506555235,6127.048082513239,171.34614257812498,144.01472550568295,0.6183351595208482
69,BlackScholes,600,1000,410.988,0.6,10152.099106212889,6237.479990624999,5.388738,410.988,76.2679499355879,6118.84243841764,171.59704284667967,144.30827856007397,0.6275962602640177
60,BlackScholes,500,800,416.5575,0.625,10183.22379966504,6742.196136328125,5.7390546875,416.5575,72.5829466144114,6575.390099023064,171.4628448486328,143.81812400493027,0.5103719313052997
51,BlackScholes,400,600,425.84000000000003,0.6666666666666666,10229.864871631247,7528.779764999999,6.345277777777778,425.84000000000003,67.11132513242569,7342.154480905777,171.33424072265623,143.16264170864613,0.35876797979775255
68,BlackScholes,600,900,425.84000000000003,0.6666666666666666,10213.767241777345,7014.447496875001,6.047118518518519,425.84000000000003,70.42031650213569,6899.494301071455,171.59683227539062,143.61786875570823,0.4561043113271101
76,BlackScholes,700,1000,433.26599999999996,0.7,10227.330678524999,7289.276295000001,6.286861,433.26599999999996,68.91610932705527,7177.209338918249,171.59776611328124,143.52865190713695,0.4030653064338259
59,BlackScholes,500,700,436.4485714285714,0.7142857142857143,10248.59845850943,7863.022661328126,6.661602040816327,436.4485714285714,65.51705862259645,7681.90310459677,171.4242736816406,143.11926195185603,0.3033916980697551
67,BlackScholes,600,800,444.405,0.75,10266.711327152343,8017.1384718750005,6.886865625,444.405,64.52935547148851,7884.888755131434,171.5976837158203,143.11590151837026,0.2805954846818588
75,BlackScholes,700,900,450.59333333333336,0.7777777777777778,10283.43363442396,8204.90009828125,7.054971604938272,450.59333333333336,63.86890813535398,8086.226151405351,171.5971435546875,142.962130671855,0.25332831737684625
50,BlackScholes,400,500,455.544,0.8,10425.743128235155,9302.629883750002,7.829008000000001,455.544,58.18668214414903,9182.605578828403,171.40331726074217,140.83329299046295,0.1207307243779555
83,BlackScholes,800,1000,455.544,0.8,10289.214263280468,8347.524982500001,7.184984,455.544,63.4022288706558,8235.8951430094,171.59725341796874,142.9501561842136,0.23260658516758945
58,BlackScholes,500,600,462.97,0.8333333333333334,10330.505757513085,9274.91696328125,7.931597222222222,462.97,58.3703366457996,9123.049772031185,171.5971893310547,142.45949642793943,0.11381113150779004
66,BlackScholes,600,700,468.2742857142857,0.8571428571428571,10325.98528323616,9450.699253593752,7.993922448979591,468.2742857142857,58.57878766062586,9300.381116939776,171.33442382812498,142.38311514233305,0.09261600714990152
74,BlackScholes,700,800,472.2525,0.875,10339.89807971426,9366.064624765626,8.0346765625,472.2525,58.776790369400764,9241.716131032506,171.5971893310547,142.45791092151347,0.10397466747919247
82,BlackScholes,800,900,475.3466666666667,0.8888888888888888,10342.473522905922,9392.869125625,8.062824691358024,475.3466666666667,58.955351860267704,9273.540885753038,171.5973358154297,142.465521674237,0.10109843803639024
90,BlackScholes,900,1000,477.822,0.9,10343.168895508592,9413.60160375,8.083107,477.822,59.113655182345106,9294.945179113265,171.59789428710937,142.49168984011988,0.09874725220879227
49,BlackScholes,400,400,500.1,1.0,12163.589688888069,12001.764937499998,10.188775,500.1,49.08342759556473,11992.19279862928,171.39689025878906,140.37935326793266,0.013483412833927668
57,BlackScholes,500,500,500.1,1.0,11709.131734897363,11685.377578125,9.78626,500.1,51.1022596988022,11537.811245395409,171.32048950195312,140.585957879129,0.0020328103746369043
65,BlackScholes,600,600,500.1,1.0,11262.174331626484,11337.586164843751,9.517916666666666,500.1,52.543010988048856,11090.773385581562,171.40094604492188,141.77091813283272,0.006651489313581484
73,BlackScholes,700,700,500.1,1.0,10947.076934943982,10922.658296484375,9.326242857142857,500.1,53.62287983064686,10775.47922376234,171.59771118164062,141.81804080592534,0.002235594833857102
81,BlackScholes,800,800,500.1,1.0,10763.506765596328,10729.336227499998,9.1824875,500.1,54.462366542834936,10591.909622041641,171.5971435546875,142.05538606325683,0.0031847765203544464
89,BlackScholes,900,900,500.1,1.0,10637.527496616132,10589.242594218751,9.070677777777778,500.1,55.13369697964504,10465.93005093742,171.59744567871093,142.01298975065623,0.004559806989759842
97,BlackScholes,1000,1000,500.1,1.0,10523.499508717738,10478.4631875,8.98123,500.1,55.68279623169655,10351.901522877894,171.59798583984374,142.15825100926807,0.004297989162328971
96,BlackScholes,1000,900,524.8533333333334,1.1111111111111112,11823.996110754644,11772.518875000002,10.078530864197532,524.8533333333334,52.0763730751469,11652.399150305426,171.59696044921876,141.72837756439782,0.004372661135753974
88,BlackScholes,900,800,527.9475,1.125,12118.302938225186,12079.85175421875,10.3302984375,527.9475,51.10670356661707,11946.706316521084,171.59662170410155,141.69213619713804,0.003183084096459075
80,BlackScholes,800,700,531.9257142857143,1.1428571428571428,12520.533732689666,12496.077457500001,10.658563265306121,531.9257142857143,49.90594895816261,12348.937175072479,171.5965576171875,141.4331822134514,0.0019571161648799075
72,BlackScholes,700,600,537.23,1.1666666666666667,13190.332142980504,13252.073449999996,11.10423611111111,537.23,48.38063551822691,13019.00107913773,171.33106384277343,141.30920773005528,0.004658992213742412
64,BlackScholes,600,500,544.656,1.2,14026.844648108363,14100.722506406251,11.743512,544.656,46.379311401904296,13855.498972449182,171.34567565917968,140.33748973508008,0.0052392959484398195
56,BlackScholes,500,400,555.7950000000001,1.25,15304.733828262488,15086.80695703125,12.73596875,555.7950000000001,43.639789866789684,15133.51778211991,171.2160461425781,140.089285030256,0.014444863770837424
95,BlackScholes,1000,800,555.7950000000001,1.25,13469.447958817502,13438.661762500002,11.478109375,555.7950000000001,48.422173185642784,13297.850650467892,171.59730834960936,141.4352138323639,0.002290867711501424
87,BlackScholes,900,700,563.7514285714285,1.2857142857142858,14085.032773716126,14065.984519453124,11.990883673469387,563.7514285714285,47.015002724008184,13913.435959751283,171.59681396484373,141.21940751838886,0.0013542069690648405
79,BlackScholes,800,600,574.36,1.3333333333333333,14938.716689830144,14959.242115000001,12.690555555555555,574.36,45.25885391586044,14767.119976573307,171.59671325683593,140.8199682715009,0.0013720899101750412
71,BlackScholes,700,500,589.212,1.4,16426.2630763386,16513.143543203125,13.700764000000001,589.212,43.00577690412009,16255.018291792703,171.24478454589843,140.13867159487663,0.005261291808989615
94,BlackScholes,1000,700,595.5771428571429,1.4285714285714286,15656.48316976816,15659.47481484375,13.323204081632653,595.5771428571429,44.70224573668466,15484.885504362886,171.59766540527343,140.9817395604674,0.00019104376813162214
63,BlackScholes,600,400,611.49,1.5,18295.185045543785,18236.2592765625,15.283162499999998,611.49,40.01069804760632,18123.892552868005,171.29249267578123,139.93001312937076,0.003231242114275933
86,BlackScholes,900,600,611.49,1.5,16792.665372216212,16834.791684375,14.276875,611.49,42.8308015584643,16621.068604027736,171.59676818847655,140.7513704015263,0.0025023364083492754
78,BlackScholes,800,500,633.768,1.6,18495.07532009775,18659.923575,15.658016000000002,633.768,40.47562603078193,18323.477947661224,171.59737243652344,140.02200970965123,0.008834347806392445
93,BlackScholes,1000,600,648.62,1.6666666666666667,18673.104210088743,18738.777017187498,15.863194444444444,648.62,40.88835967254739,18501.507341192257,171.59686889648438,140.4947610820731,0.003504647450499009
70,BlackScholes,700,400,667.185,1.75,21065.55379826185,20942.28396914063,17.83035625,667.185,37.418489605332475,20893.956810346812,171.59698791503905,139.83431818206645,0.0058861693071713345
85,BlackScholes,900,500,678.3240000000001,1.8,20806.774479703778,21049.524804374996,17.615268,678.3240000000001,38.50773090707448,20635.178498868816,171.59598083496093,139.88581820089354,0.01153234227029983
77,BlackScholes,800,400,722.88,2.0,24074.78241769367,23993.888187499997,20.37755,722.88,35.4743332736271,23903.185521331365,171.59689636230468,139.69224053257668,0.0033714514947109026
92,BlackScholes,1000,500,722.88,2.0,23109.227280751835,23432.403249999996,19.57252,722.88,36.93341480810851,22937.6307048241,171.59657592773436,139.8234728655073,0.013791840546622594
84,BlackScholes,900,400,778.575,2.25,27090.159549036787,27054.466101562502,22.924743749999998,778.575,33.962211682300705,26918.563028040695,171.59652099609374,139.5518206061346,0.0013193181244195143
91,BlackScholes,1000,400,834.27,2.5,30076.423880597136,30075.438280468756,25.4719375,834.27,32.75251440923958,29904.827130719208,171.59674987792968,139.57236336356308,3.2770931521907956e-05
790,SobolQRNG,400,1000,366.432,0.4,1873558.839593472,2415608.856576,3.592492,366.432,101.99939206545206,1398022.9870961206,30095.0412,2.0082721533304544,0.22439477960469795
789,SobolQRNG,400,900,376.3333333333333,0.4444444444444444,1869193.9704741973,2440695.917568,4.031412345679012,376.3333333333333,93.35024578587169,1582855.5461998591,30027.318,2.008443561000641,0.23415532552833065
788,SobolQRNG,400,800,388.71,0.5,1868588.4206403072,2458812.4327936,4.59124375,388.71,84.6633333287957,1802826.324479845,30024.7686,2.008937295956257,0.24004434184624035
797,SobolQRNG,500,1000,388.71,0.5,1868515.509452928,2414267.505664,4.490615,388.71,86.56052678753355,1761802.7462162734,30029.7126,2.009346515503796,0.22605282758878564
796,SobolQRNG,500,900,401.08666666666664,0.5555555555555556,2010432.077567079,2437391.1601151996,5.039265432098766,401.08666666666664,79.59228821563008,1980410.002367079,30022.0752,2.0079665833237383,0.17517052229234348
787,SobolQRNG,400,700,404.62285714285713,0.5714285714285714,2125857.541486206,2485516.494848,5.3292816326530605,404.62285714285713,75.92446506555235,2095843.728286206,30013.813199999997,2.0087575400723026,0.14470189761657107
804,SobolQRNG,600,1000,410.988,0.6,2126309.935914875,2398326.4320921595,5.388738,410.988,76.2679499355879,2096214.8707148752,30095.0652,2.009050951332236,0.1134192962798618
795,SobolQRNG,500,800,416.5575,0.625,2282614.061174749,2462473.7894144,5.7390546875,416.5575,72.5829466144114,2252585.1813747487,30028.8798,2.008691431057339,0.07304026098179231
786,SobolQRNG,400,600,425.84000000000003,0.6666666666666666,2527531.46324329,2561042.3746559997,6.345277777777778,425.84000000000003,67.11132513242569,2497523.33384329,30008.129399999998,2.0085571605159185,0.013084871903851672
803,SobolQRNG,600,900,425.84000000000003,0.6666666666666666,2382791.582022218,2424867.05507328,6.047118518518519,425.84000000000003,70.42031650213569,2352696.623622218,30094.9584,2.008761672030221,0.017351661800605527
811,SobolQRNG,700,1000,433.26599999999996,0.7,2475763.559998306,2436723.3419827195,6.286861,433.26599999999996,68.91610932705527,2445668.460598306,30095.099399999996,2.008972424426636,0.01602160464544988
794,SobolQRNG,500,700,436.4485714285714,0.7142857142857143,2645028.8392728493,2622904.109056,6.661602040816327,436.4485714285714,65.51705862259645,2614997.117272849,30031.722,2.0076982539385577,0.008435203612842697
802,SobolQRNG,600,800,444.405,0.75,2710638.7824119693,2635501.7156198393,6.886865625,444.405,64.52935547148851,2680543.6902119694,30095.0922,2.007875756117821,0.028509587509207384
810,SobolQRNG,700,900,450.59333333333336,0.7777777777777778,2776499.6860729745,2702802.8427008,7.054971604938272,450.59333333333336,63.86890813535398,2746404.6034729746,30095.082599999998,2.0075641161372952,0.027266821762897183
785,SobolQRNG,400,500,455.544,0.8,3118499.1777326926,2834939.1605760003,7.829008000000001,455.544,58.18668214414903,3088490.3871326926,30008.790599999997,2.0038525267137586,0.10002331658471245
818,SobolQRNG,800,1000,455.544,0.8,2829469.254303487,2758974.80208384,7.184984,455.544,63.4022288706558,2799374.179503487,30095.0748,2.0058755142743876,0.02555095906146108
793,SobolQRNG,500,600,462.97,0.8333333333333334,3146280.0479580145,3089620.2321920004,7.931597222222222,462.97,58.3703366457996,3116246.3483580146,30033.699599999996,2.005424464612633,0.01833876383111836
801,SobolQRNG,600,700,468.2742857142857,0.8571428571428571,3177221.4556986443,3120219.493171199,7.993922448979591,468.2742857142857,58.57878766062586,3147193.910298644,30027.5454,2.002936015776342,0.01826857458335784
809,SobolQRNG,700,800,472.2525,0.875,3165454.4764209846,3083187.9558143998,8.0346765625,472.2525,58.776790369400764,3135359.326620985,30095.1498,2.002699831632224,0.026682291766041488
817,SobolQRNG,800,900,475.3466666666667,0.8888888888888888,3174818.5429808227,3090276.6085734395,8.062824691358024,475.3466666666667,58.955351860267704,3144723.4843808226,30095.058599999997,2.0037559041869972,0.027357400361131486
825,SobolQRNG,900,1000,477.822,0.9,3182084.7492159745,3100369.6072396804,8.083107,477.822,59.113655182345106,3151989.8430159744,30094.906199999998,2.0042062035088297,0.02635658077200889
784,SobolQRNG,400,400,500.1,1.0,4058849.246077132,3639418.3020543996,10.188775,500.1,49.08342759556473,4028866.190677132,29983.055399999997,2.0059249567105346,0.1152466985688261
792,SobolQRNG,500,500,500.1,1.0,3882427.438884021,3546379.89888,9.78626,500.1,51.1022596988022,3852414.3366840207,30013.102199999998,2.0069761849958074,0.09475790794724202
800,SobolQRNG,600,600,500.1,1.0,3766082.8394405483,3712920.6890495997,9.517916666666666,500.1,52.543010988048856,3736045.8338405485,30037.005599999997,2.006398903690798,0.014318148660632071
808,SobolQRNG,700,700,500.1,1.0,3661286.651482478,3554278.174720001,9.326242857142857,500.1,53.62287983064686,3631191.7386824777,30094.9128,2.0072711389738185,0.03010695041361155
816,SobolQRNG,800,800,500.1,1.0,3606703.251588256,3510445.6924364804,9.1824875,500.1,54.462366542834936,3576608.3369882563,30094.914599999996,2.0064916586449804,0.027420324250897778
824,SobolQRNG,900,900,500.1,1.0,3560139.672483102,3472320.294789119,9.070677777777778,500.1,55.13369697964504,3530044.640283102,30095.0322,2.008173039354794,0.02529126642659451
832,SobolQRNG,1000,1000,500.1,1.0,3550121.250607056,3482017.3220352,8.98123,500.1,55.68279623169655,3520076.9580070563,30044.292599999997,2.0074857054169866,0.01955875639701015
831,SobolQRNG,1000,900,524.8533333333334,1.1111111111111112,3957503.115364578,3850550.254387201,10.078530864197532,524.8533333333334,52.0763730751469,3927408.0261645783,30095.089200000002,2.0055315447970927,0.027775994055789406
823,SobolQRNG,900,800,527.9475,1.125,4056464.8846412622,3951541.3929523197,10.3302984375,527.9475,51.10670356661707,4026369.8596412623,30095.024999999998,2.0051238775156124,0.026552547792129018
815,SobolQRNG,800,700,531.9257142857143,1.1428571428571428,4187696.8830148326,4067587.6691968,10.658563265306121,531.9257142857143,49.90594895816261,4157601.8856148324,30094.997399999997,2.00354624479655,0.029528365111242936
807,SobolQRNG,700,600,537.23,1.1666666666666667,4398555.896532025,4320298.5111552,11.10423611111111,537.23,48.38063551822691,4368530.275932025,30025.6206,2.0049077575623198,0.018113883838063734
799,SobolQRNG,600,500,544.656,1.2,4658370.095471577,4259802.5266176015,11.743512,544.656,46.379311401904296,4628355.358871576,30014.7366,2.00417741119538,0.09356479939234383
791,SobolQRNG,500,400,555.7950000000001,1.25,5063003.2864567945,4558947.319295999,12.73596875,555.7950000000001,43.639789866789684,5033014.004856794,29989.2816,2.0055068329703527,0.11056411312921972
