,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,mem_del,mem_lat,shm_del,shm_offset,shm_lat,compute_del,compute_offset,compute_lat,sm_del,sm_lat,tex_del,insts,exec_rounds,abe
7,BlackScholes,1600,5500,564.8087272727273,0.2909090909090909,4270.65603272969,4007.72198848,3705.847305456963,2840.404435710196,28.0,0.0,0.0,1721.7445300564,22.277787745460998,445.56602357700893,1749.7445300564,445.56602357700893,672.907008,111.39150589425223,570.6583457071084,0.06560685721351955
3,BlackScholes,1700,5500,568.8592727272727,0.3090909090909091,4517.712294236006,4263.7695036,3948.853021508733,2861.620988405836,28.0,0.0,0.0,1726.7614252554677,22.277802663288618,445.56602357700893,1754.7614252554677,445.56602357700893,674.87232,111.39150589425223,568.9965177413114,0.05955828297509898
6,BlackScholes,1600,5000,571.2896,0.32,4714.426106547058,4476.787960320001,4143.136506547058,2874.7389571495714,28.0,0.0,0.0,1729.6315833529416,22.277387457880494,445.56602357700893,1757.6315833529416,445.56602357700893,675.9966720000001,111.39150589425223,568.0501338326114,0.053082287643141136
11,BlackScholes,1800,5500,572.9098181818182,0.32727272727272727,4766.5174772860655,4530.66044544,4193.607659104247,2882.8708930269167,28.0,0.0,0.0,1731.9292782233233,22.27738621477377,445.56602357700893,1759.9292782233233,445.56602357700893,676.8967680000001,111.39150589425223,567.2947754420361,0.052057980218634475
2,BlackScholes,1700,5000,575.7452,0.34,4990.905824020378,4770.38841032,4415.160624020377,2898.018409962049,28.0,0.0,0.0,1734.8562905454055,22.277787745460998,445.56602357700893,1762.8562905454055,445.56602357700893,678.043392,111.39150589425223,566.3354359480286,0.04622630166200353
15,BlackScholes,1900,5500,576.9603636363636,0.34545454545454546,5012.380857153373,4792.53594106,4435.420493517009,2904.180951733271,28.0,0.0,0.0,1735.36209709537,22.27771439976581,445.56602357700893,1763.36209709537,445.56602357700893,678.241536,111.39150589425223,566.1699846114998,0.04587235626338311
5,BlackScholes,1600,4500,579.2106666666666,0.35555555555555557,5270.0846834078975,4929.77891712,4690.874016741231,2916.543103698541,28.0,0.0,0.0,1737.9793519178615,22.277598788040446,445.56602357700893,1765.9793519178615,445.56602357700893,679.2668160000001,111.39150589425223,565.3154120810165,0.06903063443800549
10,BlackScholes,1800,5000,580.2008,0.36,5267.115350128869,5060.9771784,4686.914550128869,2921.3769643162054,28.0,0.0,0.0,1739.3673791945087,22.277398645847274,445.56602357700893,1767.3673791945087,445.56602357700893,679.8105600000001,111.39150589425223,564.8632466079962,0.040730903235180776
19,BlackScholes,2000,5500,581.0109090909091,0.36363636363636365,5259.545581877351,5070.1748544,4678.534672786442,2926.4999474965093,28.0,0.0,0.0,1738.3714500186093,22.266863317419823,445.56602357700893,1766.3714500186093,445.56602357700893,679.420416,111.39150589425223,565.1876083747239,0.037349940172775466
1,BlackScholes,1700,4500,584.1613333333333,0.37777777777777777,5580.146743821698,5247.64918608,4995.985410488364,2942.6236928259354,28.0,0.0,0.0,1742.1081449187354,22.27780390644182,445.56602357700893,1770.1081449187354,445.56602357700893,680.884224,111.39150589425223,563.9725322817877,0.06336123966207317
14,BlackScholes,1900,5000,584.6564,0.38,5538.794701505966,5363.13995714,4954.138301505966,2944.9021244374358,28.0,0.0,0.0,1741.7023233844616,22.277403618280555,445.56602357700893,1769.7023233844616,445.56602357700893,680.7252480000001,111.39150589425223,564.1042419510786,0.03275222085750637
4,BlackScholes,1600,4000,589.112,0.4,5976.699302904599,5647.5603648,5387.587302904599,2969.0848023659664,28.0,0.0,0.0,1743.9157171631825,22.277178617896656,445.56602357700893,1771.9157171631825,445.56602357700893,681.59232,111.39150589425223,563.3866297085037,0.05827984418830647
9,BlackScholes,1800,4500,589.112,0.4,5889.347032289034,5571.566053200001,5300.235032289034,2968.5937856390356,28.0,0.0,0.0,1745.572331638842,22.277700725198088,445.56602357700893,1773.572331638842,445.56602357700893,682.24128,111.39150589425223,562.8507263588623,0.05703620419370553
18,BlackScholes,2000,5000,589.112,0.4,5817.973383487828,5650.091565999999,5228.861383487828,2971.9018429697644,28.0,0.0,0.0,1744.4548520517105,22.237381666548306,445.56602357700893,1772.4548520517105,445.56602357700893,681.8035199999999,111.39150589425223,563.2121113132417,0.029713114473767954
13,BlackScholes,1900,4500,594.0626666666667,0.4222222222222222,6193.006981997642,5915.339777880001,5598.944315330975,2994.7840882145915,28.0,0.0,0.0,1746.8094011467012,22.27698345549873,445.56602357700893,1774.8094011467012,445.56602357700893,682.725888,111.39150589425223,562.4512073577616,0.046940195245581295
0,BlackScholes,1700,4000,594.6815,0.425,6333.204692995642,6010.13834592,5738.523192995643,2998.339972636813,28.0,0.0,0.0,1748.2797690245052,22.277792718067985,445.56602357700893,1776.2797690245052,445.56602357700893,683.301888,111.39150589425223,561.977080326756,0.05375356247746896
17,BlackScholes,2000,4500,599.0133333333333,0.4444444444444444,6507.215077565683,6220.981342800001,5908.2017442323495,3020.6967520047515,28.0,0.0,0.0,1751.2028603655797,22.277798933829843,445.56602357700893,1779.2028603655797,445.56602357700893,684.446976,111.39150589425223,561.0368859311025,0.0460110260733962
8,BlackScholes,1800,4000,600.251,0.45,6684.54142936369,6369.393751559999,6084.29042936369,3027.668716789091,28.0,0.0,0.0,1750.6382391005031,22.277742992098023,445.56602357700893,1778.6382391005031,445.56602357700893,684.225792,111.39150589425223,561.2182476745922,0.049478441763237666
