,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,avg_mem_lat,avg_mem_del,mem_del,mem_lat,shm_del,tex_del,dp_del,branch_del,shm_offset,shm_lat,compute_del,compute_offset,compute_lat,sm_del,sm_lat,insts,exec_rounds,abe
77,scalarProd,1380,877,175.29088939566702,1.573546180159635,3347240.1859373543,3539858.355,183.25482636528838,4.273654366258181,3772735.370735678,3138100.5208468847,118069.317859375,169614.13499999998,0.0,1051345.044,3.743993900734702,256452.2734375,403926.9302726562,12.201296798172285,835751.9765625,521996.2481320312,1092204.25,104468.9970703125,0.9931719428926133,0.054414089419870484
83,scanScanExclusiveShared,802,877,157.67408209806155,0.9144811858608894,5218.992496589326,5605.215070413672,163.04010025329396,2.527685603839848,5061.318414491265,1340.9321187891244,1836.5199597280273,836.8949600000001,0.0,1917.250272,25.289528494086902,831.9803771972656,1492.494223469397,19.76999862014107,650.3976898193359,3329.0141831974242,1482.3780670166016,81.29971122741699,107.67420561356947,0.06890414889929322
84,scanScanExclusiveShared,945,877,162.03256556442417,1.0775370581527937,6112.094208542443,5725.604149945312,167.80040815061486,2.9686084295632806,5950.061642978019,1381.2306015444724,1828.1455614809568,837.0243199999999,0.0,1917.5466239999998,25.14763258758477,827.999885559082,1494.6483453187254,19.77918694861618,651.2408065795898,3322.793906799682,1479.2406921386719,81.40510082244873,107.65756483634789,0.06750205715860089
80,scanScanExclusiveShared,1087,877,166.36057012542759,1.2394526795895098,7025.877362032249,6614.024730009764,172.80384595302593,3.400676346987188,6859.516791906822,1428.0750330027872,1810.6102474865722,839.02192,0.0,1922.122944,24.74492872835488,817.9821395874023,1501.3798838582459,19.742893665027307,652.6320838928223,3311.990131344818,1470.6142234802246,81.57901048660278,107.40124644180929,0.06226959360369319
81,scanScanExclusiveShared,1237,877,170.93240592930442,1.4104903078677309,7993.11996032251,7545.7901024035145,178.06761453734015,3.8528626460509963,7822.187554393206,1478.1082974537771,1797.3887269804686,840.7484799999999,0.0,1926.0783359999998,24.402627421474172,810.2478637695312,1505.9979385737793,19.675929139628956,653.3058624267578,3303.386665554248,1463.553726196289,81.66323280334473,107.18068737989273,0.059282043609523494
82,scanScanExclusiveShared,1380,877,175.29088939566702,1.573546180159635,8881.114241305033,8429.658367218748,182.28764268854968,4.303655907616627,8705.823351909366,1505.3029981309808,1786.7600682036132,842.0702399999999,0.0,1929.1063679999997,24.3440212195955,804.1165618896484,1514.890567628369,19.864522803067683,656.1525573730469,3301.650635831982,1460.2691192626953,82.01906967163086,107.01245064782245,0.053555654858078984
88,sortingNetworks,802,877,157.67408209806155,0.9144811858608894,35937.62056339621,33893.03655692187,160.26217015034092,2.5479083106404206,3855.900940053491,1282.2049590952843,30756.85453257715,6547.443218972167,0.0,2529.935392,568.5417083069506,18194.86151123047,5023.091948720996,88.37014334429331,2828.0819091796875,35779.946481298146,21022.943420410156,353.51023864746094,34.64689267448297,0.06032460393569486
89,sortingNetworks,945,877,162.03256556442417,1.0775370581527937,35946.15649244359,33607.106465625,165.07278998436254,3.0020909006515537,4543.797980961807,1320.6937772564434,30760.351752561033,6548.240733449707,0.0,2530.243552,568.5368914462156,18194.716033935547,5023.772174318127,88.37132324017834,2828.1210174560547,35784.12392687916,21022.8370513916,353.51512718200684,34.64267300699755,0.06959986362441174
85,sortingNetworks,1087,877,166.36057012542759,1.2394526795895098,35929.7379545589,33843.15397771875,169.85004521285975,3.4530963091070235,5223.419687425627,1358.9160165836706,30742.414110512207,6544.483554133301,0.0,2528.791776,568.5308510032157,18194.535736083984,5020.963273921265,88.3724763455259,2828.159942626953,35763.37738443347,21022.695678710938,353.51999282836914,34.66256131956038,0.06165453663727351
86,sortingNetworks,1237,877,170.93240592930442,1.4104903078677309,35954.79566980089,33876.723738792185,174.89141487479642,3.929633145409011,5947.320285661273,1399.179354360123,30760.295533035158,6548.178704545899,0.0,2530.219584,568.5697016627695,18194.855102539062,5023.567730836426,88.37298257124657,2828.0325317382812,35783.863263871586,21022.887634277344,353.50406646728516,34.643001166494805,0.06134217544269521
87,sortingNetworks,1380,877,175.29088939566702,1.573546180159635,35977.04469947257,33744.99433453125,179.70663931571912,4.383717307843491,6637.994404721175,1437.7316073014856,30775.68809015625,6551.439652631836,0.0,2531.479616,568.5598086843041,18194.9072265625,5026.065719920654,88.37119650745387,2828.032684326172,35801.7538100769,21022.939910888672,353.5040855407715,34.62575777659353,0.06614463593663328
93,transpose,802,877,157.67408209806155,0.9144811858608894,1325.716850764116,1665.1336887140626,163.89726219539713,2.521445657551302,1168.0427686660546,339.9517210738559,594.3107101152343,139.58656,0.0,223.338496,34.22974580743859,283.9940299987793,147.76983511813964,8.045870768191655,66.75419902801514,742.080545233374,350.74822902679443,8.344274878501892,469.5007886146059,0.2038375898886947
94,transpose,945,877,162.03256556442417,1.0775370581527937,1535.0250551001227,1683.741761650635,168.57579606738642,2.9590902705237516,1372.9924895356985,349.79470449494363,594.7011600969239,139.75648,0.0,223.61036800000002,34.19811634346484,283.8443069458008,147.9686252228699,8.044322654974694,66.76786422729492,742.6697853197938,350.6121711730957,8.345983028411865,468.9299558775378,0.08832512796066765
90,transpose,1087,877,166.36057012542759,1.2394526795895098,1761.7548635540754,1884.7705052841068,173.47556268661987,3.38875564927341,1595.3942934286479,361.14123750253964,599.9027688585816,141.34128,0.0,226.146048,34.013588308573446,283.2378044128418,149.3738575787895,8.007741793620312,66.68203258514404,749.2766264373711,349.91983699798584,8.335254073143005,463.6720425908128,0.0652682336577037
91,transpose,1237,877,170.93240592930442,1.4104903078677309,2011.5621549874909,2116.6763773424077,178.66613234372562,3.838396140241321,1840.6297490581865,373.4486858725605,607.8097299008178,143.3864,0.0,229.41824,33.855317210321054,283.0580940246582,150.8858009948349,7.945864648618166,66.43391609191895,758.6955308956527,349.49201011657715,8.304239511489868,457.0586889691072,0.0496600347035067
92,transpose,1380,877,175.29088939566702,1.573546180159635,2248.753386536618,2356.6119456635743,183.06576473630895,4.279518960975337,2073.462497140951,381.6609630150383,615.431439115448,145.24815999999998,0.0,232.397056,33.947983912007786,283.1030750274658,153.03432684834212,7.9824885841354645,66.56852054595947,768.4657659637901,349.6715955734253,8.321065068244934,451.2002079750959,0.045768485272014256
