,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,c1,c2,c3,depart_delay,mem_l,N,compute_cycles,mem_cycles,MWP_without_BW,MWP_peak_BW,MWP,CWP_without_OCC,CWP,shm_insts,exec_rounds,abe
0,BlackScholes,607,715,300.9611643356643,0.848951048951049,5593.914838776947,7747.508052900001,13020.806534713818,5593.914838776947,12760.268449726289,2.0217591129150567,300.9611643356643,59.61472,208.99716186523438,12039.300741770176,148.8610400779774,5.374306505994006,148.8610400779774,58.60509202289246,58.60509202289246,0.0,19.630817930298328,0.2779723750421832
1,BlackScholes,810,715,308.8675174825175,1.132867132867133,6943.3577616570155,7764.875390327344,13157.045616124518,6943.3577616570155,12608.457728648984,2.6974997072303655,308.85672249078084,58.850496,208.99740600585938,12355.070072159668,114.49740723341795,5.515298615906801,114.49740723341795,60.11590152374085,58.850496,0.0,19.88574088289272,0.10579920312612968
2,BlackScholes,1012,715,316.73492307692305,1.4153846153846155,8198.41123605471,7804.952850213752,13364.04903758901,8198.41123605471,12275.307653940168,3.3695268604740773,316.7081337389971,57.21894399999999,208.99720764160156,12669.209712176984,93.99187092232816,5.655502388196377,93.99187092232816,61.61903819261907,57.21894399999999,0.0,20.452766732040953,0.05041137254662369
3,BlackScholes,1202,715,324.13495804195804,1.681118881118881,9354.062361830976,9027.140070033749,13591.223976038646,9354.062361830976,11992.681674983665,4.001126215237697,324.08563703835387,55.831295999999995,208.99740600585938,12964.266157777693,80.99860379413218,5.7872435185420334,80.99860379413218,63.03075150805571,55.831295999999995,0.0,20.961106012758766,0.03621548898775481
4,BlackScholes,1328,715,329.04234965034965,1.8573426573426572,10284.780806088567,9953.246165292498,13752.457645981602,10284.780806088567,12033.449083181291,4.419602986787404,328.97251896058833,56.003007999999994,208.99728393554688,13159.794268988337,74.434857597858,5.874509267153363,74.434857597858,63.966341098704014,56.003007999999994,0.0,20.896836725015103,0.033309197350322624
5,convolutionTexture,607,715,300.9611643356643,0.848951048951049,2324.2231279631733,8199.060608255417,4706.721880496669,2324.2231279631733,4994.321310207942,1.6882332832332456,288.56976143971326,56.639295999999995,83.08280436197917,3438.942302294063,170.9300274468316,5.153031454280594,170.9300274468316,42.39174560491619,42.39174560491619,0.0,46.48968195407756,0.7165256803172092
6,convolutionTexture,810,715,308.8675174825175,1.132867132867133,2390.416048575432,8374.598467199998,4509.7968309189455,2390.416048575432,4989.035018671238,2.1552796549008644,294.2090413379049,56.42649599999999,83.20250786675348,3470.928850713936,136.5062026493437,5.253732881034017,136.5062026493437,42.71663739117735,42.71663739117735,0.0,46.6650074664012,0.714563503201049
7,convolutionTexture,1012,715,316.73492307692305,1.4153846153846155,2541.20698365501,8823.739697743056,4416.238127399326,2541.20698365501,4996.1921951638815,2.6146051179000667,299.59693800242303,56.44,83.21394856770833,3531.064920253656,114.58592196248962,5.34994532147184,114.58592196248962,43.43357010490315,43.43357010490315,0.0,46.65384225979549,0.7120034055056041
8,convolutionTexture,1202,715,324.13495804195804,1.681118881118881,2725.49456284563,9109.555000201251,4369.969672854682,2725.49456284563,5003.503289230002,3.047802598599123,304.681461322451,56.458176,83.22659640842014,3587.137811021545,99.96758368225466,5.440740380758053,99.96758368225466,44.10085917028598,44.10085917028598,0.0,46.63882264178809,0.700809253274675
9,convolutionTexture,1328,715,329.04234965034965,1.8573426573426572,2863.135690040266,9440.40398007778,4354.370649353028,2863.135690040266,5009.680909226218,3.3351688984246564,308.0511287487872,56.487680000000005,83.23283555772569,3624.8882886151932,92.3644763221116,5.500913013371201,92.3644763221116,44.55118102519974,44.55118102519974,0.0,46.61446278450198,0.6967147066923849
10,matrixMulGlobal,607,715,300.9611643356643,0.848951048951049,77765.39242516745,490568.0445081719,349184.4819564178,77765.39242516745,947329.9471405988,1.0378285300071186,264.40543404607365,57.55744,16454.267974853516,329378.31681395054,254.76793747832318,4.721525607965601,254.76793747832318,21.01780433607426,21.01780433607426,0.0,10.16624188189845,0.8414788869847147
11,matrixMulGlobal,810,715,308.8675174825175,1.132867132867133,78367.37950106048,504856.67696099996,342715.49206363177,78367.37950106048,952023.6702179632,1.065200352477488,264.76134019766016,57.750783999999996,16480.45001220703,322889.6892061065,248.5554380280358,4.727881074958217,248.5554380280358,20.592285948923895,20.592285948923895,0.0,10.132206294253203,0.8447730156352585
12,matrixMulGlobal,1012,715,316.73492307692305,1.4153846153846155,78939.82726111329,517149.93673227495,336851.3679891715,78939.82726111329,954420.5717042695,1.0937408976946998,265.1247485116895,57.812608,16504.27960205078,317015.0697965839,242.40178736161224,4.734370509137313,242.40178736161224,20.208052543971224,20.208052543971224,0.0,10.121371053574633,0.8473560148534256
13,matrixMulGlobal,1202,715,324.13495804195804,1.681118881118881,80920.41390682243,523447.3785871094,338398.5663236681,80920.41390682243,955037.1576203547,1.1179380871174849,265.4005398860194,57.8672,16499.35986328125,318650.54049398034,237.40182300285852,4.739295355107489,237.40182300285852,20.312903235908323,20.312903235908323,0.0,10.111822537514469,0.8454086939450475
14,matrixMulGlobal,1328,715,329.04234965034965,1.8573426573426572,82584.25472438528,538893.1100175,339279.97781328665,82584.25472438528,959818.6573567383,1.1342376864987511,265.5897738281262,58.1664,16496.689971923828,319586.8382018667,234.1570704179019,4.742674532645111,234.1570704179019,20.3727856161315,20.3727856161315,0.0,10.059808706450067,0.846752067916208
