,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,avg_mem_lat,avg_mem_del,mem_del,mem_lat,shm_del,tex_del,dp_del,branch_del,shm_offset,shm_lat,compute_del,compute_offset,compute_lat,sm_del,sm_lat,insts,exec_rounds,abe
3,BlackScholes,607,715,288.92246153846156,0.848951048951049,5999.231898727163,5536.3137312076005,284.282740220896,1.567381348075421,2673.21650800458,2038.4038590963214,28.0,594.64768,0.0,505.4505280000001,0.0,0.0,5682.309437188701,38.02292320741858,1090.549125,5710.309437188701,1090.549125,136.318640625,269.0668867992556,0.08361487263811347
4,BlackScholes,810,715,296.51153846153846,1.132867132867133,5944.446774301538,5506.17616512,290.1540908813499,1.9991838831954563,3351.001763537143,2069.6924462104002,28.0,587.4688000000001,0.0,499.34848000000005,0.0,0.0,5619.93523584,38.263322923251195,1091.7414285714285,5647.93523584,1091.7414285714285,136.46767857142856,272.354889314973,0.07959618363790336
0,BlackScholes,1012,715,304.0632307692308,1.4153846153846155,5974.682588446682,5579.4495597456,296.24847705303023,2.434473263569678,4088.037847674015,2109.287751421116,28.0,589.61728,0.0,501.174688,0.0,0.0,5642.61935767745,38.34834548374616,1092.1601517857143,5670.61935767745,1092.1601517857143,136.5200189732143,271.3624675314808,0.07083727964001933
1,BlackScholes,1202,715,311.1663076923077,1.681118881118881,5965.631452155259,5805.195630378401,301.18591520706343,2.8057753184242635,4669.980312673157,2133.8374172943254,28.0,587.32096,0.0,499.22281599999997,0.0,0.0,5626.465144462951,38.57869020984632,1093.2868839285716,5654.465144462951,1093.2868839285716,136.66086049107145,272.4234462873588,0.027636591769156272
2,BlackScholes,1328,715,315.87676923076924,1.8573426573426572,5965.61676731132,6120.734657913601,304.9679958941422,3.0741016954400147,5106.433828872233,2158.584322360333,28.0,586.7116800000001,0.0,498.70492800000005,0.0,0.0,5621.73999808055,38.62288964232881,1093.5018125,5649.73999808055,1093.5018125,136.6877265625,272.7063487128805,0.025343018325704895
8,SobolQRNG,607,715,288.92246153846156,0.848951048951049,775126.1922266455,788474.7745695745,290.4629810943541,1.7321417765643536,456920.5510625485,614563.318177321,64064.496832000004,38.96112000000001,0.0,32127.339552000005,6.797173275810731,57526.0,710772.7729331071,30.793608676787944,260613.20799999998,774837.2697651071,318139.208,32576.650999999998,1.1458309500049573,0.016929625110982043
9,SobolQRNG,810,715,296.51153846153846,1.132867132867133,830782.241455575,968285.10506112,298.8299668932466,2.3184284317081523,646081.5149373577,624908.1466577201,68473.94691199998,41.643919999999994,0.0,34339.576431999994,6.877207781432807,57526.0,762011.7830051135,31.25039080749987,261401.144,830485.7299171134,318927.144,32675.143,1.0720138052051091,0.1420065876122979
5,SobolQRNG,1012,715,304.0632307692308,1.4153846153846155,860522.0650483692,1173116.8198041602,306.95983518020444,2.8966044109736417,825619.2295055813,635375.7791397112,70755.3952,43.032000000000004,0.0,35484.1872,6.947924385190339,57526.0,789462.6066176,31.653992737567478,262082.24,860218.0018176,319608.24,32760.28,1.0374339362069422,0.2664651546023996
6,SobolQRNG,1202,715,311.1663076923077,1.681118881118881,988644.974250138,1350655.1732914685,314.6067409946697,3.4404333023619738,988333.8079424457,652022.5493631382,71221.783136,43.31576,0.0,35718.175696,6.939203023015317,57526.0,794415.9820399743,31.604217176813368,261998.992,865637.7651759743,319524.99199999997,32749.874,1.0306377434646683,0.2680256265254829
7,SobolQRNG,1328,715,315.87676923076924,1.8573426573426572,1083260.142839888,1468740.8067756037,319.67784695584135,3.8010777250721306,1082944.2660706574,655194.8920739962,71426.24697600001,43.440160000000006,0.0,35820.75593600001,7.016915137177545,57526.0,798930.9207622209,32.04774468801923,262733.484,870357.1677382209,320259.484,32841.6855,1.0276862963409235,0.2624565628989226
