,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,depart_delay,mem_l,g_load,g_store,sync,compute,shared,exec_rounds,abe
7,BlackScholes,1600,5500,,0.2909090909090909,3576.1545986634833,4007.72198848,3.3042561796821337,564.7636964051909,601.1119894960603,587.8935376041827,181.98383878160246,39.3248732421875,0.0,570.6583457071084,0.10768396387200413
3,BlackScholes,1700,5500,,0.3090909090909091,3606.32905656616,4263.7695036,3.5106770943741887,568.8009157347437,607.4198370034262,593.375753349523,193.92755585988976,39.324876925223215,0.0,568.9965177413114,0.1541923048323197
6,BlackScholes,1600,5000,,0.32,3627.442888148647,4476.787960320001,3.6772073755269172,571.2471490207963,611.6982277150192,596.9888195452331,203.47112163364397,39.3247744140625,0.0,568.0501338326114,0.18972197917335418
11,BlackScholes,1800,5500,,0.32727272727272727,3636.766514721669,4530.66044544,3.717053140416739,572.8337059918238,613.7231241719973,598.8542976328026,205.95471829561168,39.32477410714286,0.0,567.2947754420361,0.19729881360189194
2,BlackScholes,1700,5000,,0.34,3660.5365729154573,4770.38841032,3.906881703562535,575.683651332924,618.6610942157296,603.0318799425294,216.84606183196078,39.3248732421875,0.0,566.3354359480286,0.2326543966532262
15,BlackScholes,1900,5500,,0.34545454545454546,3664.9100510086046,4792.53594106,3.9236497047444723,576.8974549074579,620.0596116543061,604.3630597686225,217.8415338345753,39.32485513392858,0.0,566.1699846114998,0.23528793605708265
5,BlackScholes,1600,4500,,0.35555555555555557,3689.274102811664,4929.77891712,4.1433433922556375,579.147100321744,624.725764337565,608.1512300774806,230.39296274542156,39.324826590401784,0.0,565.3154120810165,0.25163497900490944
10,BlackScholes,1800,5000,,0.36,3692.6743006186307,5060.9771784,4.136497681069471,580.1155108876281,625.6190074619641,609.0723242436547,230.19973606947545,39.32477717633929,0.0,564.8632466079962,0.2703633763892907
19,BlackScholes,2000,5500,,0.36363636363636365,3692.149131155034,5070.1748544,4.129519129682043,580.870442097126,626.3375169654142,609.7771359197984,229.67711461769562,39.322174804687506,0.0,565.1876083747239,0.27179057188709926
1,BlackScholes,1700,4500,,0.37777777777777777,3724.1625770899195,5247.64918608,4.4023994558987365,584.1093748509334,632.5376163013054,614.9262889636385,245.39129531640407,39.32487723214286,0.0,563.9725322817877,0.2903179223625134
14,BlackScholes,1900,5000,,0.38,3721.8920566200018,5363.13995714,4.366465372911379,584.5904485719492,632.6236631874904,615.1571291822048,243.33046994863122,39.324778404017856,0.0,564.1042419510786,0.3060236938875684
4,BlackScholes,1600,4000,,0.4,3761.700312413615,5647.5603648,4.742408922118768,589.0448497489216,641.2135444320747,622.244295122898,264.6233827125171,39.3247228515625,0.0,563.3866297085037,0.3339247268857072
9,BlackScholes,1800,4500,,0.4,3758.08402009622,5571.566053200001,4.661188644206967,589.0417958194541,640.3172743311254,621.6702255755117,260.34342026789517,39.3248517578125,0.0,562.8507263588623,0.3254887433421375
18,BlackScholes,2000,5000,,0.4,3750.3595074782443,5650.091565999999,4.593045201011911,588.6969561276613,639.3894220395912,620.8483391749095,256.3698202630738,39.31487932477679,0.0,563.2121113132417,0.33623031349679106
13,BlackScholes,1900,4500,,0.4222222222222222,3788.9142124971395,5915.339777880001,4.920229256663943,594.0013588503508,648.126571424029,628.4460937035568,275.0104281116253,39.32467466517857,0.0,562.4512073577616,0.3594764874427807
0,BlackScholes,1700,4000,,0.425,3801.043334746603,6010.13834592,5.038820166595406,594.6156999244548,650.0449487355601,629.8875141985045,281.88079092733085,39.324874469866074,0.0,561.977080326756,0.36756142438435674
17,BlackScholes,2000,4500,,0.4444444444444444,3824.3273302625494,6220.981342800001,5.179131844629793,598.9468104937813,655.9194515112371,635.2008779132168,290.2242956022171,39.324876004464286,0.0,561.0368859311025,0.3852533676718506
8,BlackScholes,1800,4000,,0.45,3837.5322549676202,6369.393751559999,5.335201967713081,600.1835835142859,658.87337748865,637.5300985142077,298.871697352157,39.32486219308036,0.0,561.2182476745922,0.39750431443687595
12,BlackScholes,1900,4000,,0.475,3873.901578909815,6760.06319924,5.631543957531086,605.748086941732,667.6980182358642,645.1707299244001,315.88690638812,39.32476643415179,0.0,560.4947599344894,0.42694299376589584
16,BlackScholes,2000,4000,,0.5,3911.279285854239,7132.244262,5.927987657391294,611.3213586602784,676.5319685555088,652.8174376634588,333.0736135824855,39.32486495535715,0.0,559.5714130633065,0.4516060944949394
27,SobolQRNG,1600,5500,,0.2909090909090909,695482.2234998234,2198914.05389824,3.3035259903168313,564.6447553711365,568.6932264722698,27624.14988760335,199.22788258287886,9031.976662500001,113360.9065344,1.1650841902884845,0.6837155948560741
23,SobolQRNG,1700,5500,,0.3090909090909091,696200.6707242569,2358937.78170624,3.510137736693669,568.7199655500691,572.9847829001519,29320.2809827032,211.36690325037628,9032.0047125,113191.6814784,1.1668260270981436,0.7048668785911391
26,SobolQRNG,1600,5000,,0.32,699739.6544097732,2481762.3728128,3.676474799542719,571.1438673672495,575.5832106876974,30686.60483444228,222.11484266213972,9031.899662500002,113559.71639040002,1.1630444685679509,0.718047278790557
31,SobolQRNG,1800,5500,,0.32727272727272727,697091.4831746779,2502321.2286105594,3.716644758334758,572.7767845875906,577.1419838562547,31015.83815829852,223.5212754862654,9032.015850000002,113052.04122239999,1.1682672738316806,0.7214220639602912
22,SobolQRNG,1700,5000,,0.34,709553.0104046229,2650441.8074175995,3.9063232351140833,575.6106813321505,580.1908453253218,32572.32969125263,238.83697767689836,9032.0164,114902.03793599998,1.1494574193154459,0.7322887797729238
