,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,avg_mem_lat,avg_mem_del,mem_del,mem_lat,shm_del,tex_del,dp_del,branch_del,shm_offset,shm_lat,compute_del,compute_offset,compute_lat,sm_del,sm_lat,insts,exec_rounds,abe
6,BlackScholes,500,1000,136.82850000000002,0.5,5081.856348217413,5133.556142857142,141.4973140506466,4.483347052095816,4945.0278482174135,708.2959159390696,28.0,82.628736,0.0,468.229504,0.0,0.0,1973.0031244642857,28.562749087260663,571.9084821428571,2001.0031244642857,571.9084821428571,142.97712053571428,16.265527769903198,0.010070951442045502
11,BlackScholes,500,900,141.185,0.5555555555555556,5737.478758065418,5756.255685714286,146.37476865945806,5.031640011619312,5596.293758065418,732.5502752464873,28.0,83.33952000000001,0.0,472.25728000000004,0.0,0.0,1990.0018057589286,28.56989738139624,571.9260602678571,2018.0018057589286,571.9260602678571,142.98151506696428,16.126802746164124,0.0032620037527985456
12,BlackScholes,600,1000,144.67020000000002,0.6,6116.886881862185,6137.626498714285,150.21790659466885,5.379482120606728,5972.216681862185,751.6029730837753,28.0,83.206944,0.0,471.50601599999993,0.0,0.0,1986.9092328437498,28.57773006733678,571.9453125,2014.9092328437498,571.9453125,142.986328125,16.152498041509613,0.003379093996098414
10,BlackScholes,500,800,146.630625,0.625,6522.859719670153,6529.1306457142855,152.54722328832608,5.727480992162273,6376.229094670153,763.6964531395776,28.0,83.390208,0.0,472.544512,0.0,0.0,1991.1166441696428,28.559005994823764,571.8992745535714,2019.1166441696428,571.8992745535714,142.97481863839286,16.11700021182343,0.0009604534484615797
17,BlackScholes,600,900,149.89800000000002,0.6666666666666666,6884.362029726225,6885.7264054285715,156.0740236088605,6.0376594409073805,6734.464029726225,781.026051353624,28.0,83.585472,0.0,473.651008,0.0,0.0,1995.8862258638392,28.572621366666553,571.9327566964286,2023.8862258638392,571.9327566964286,142.98318917410714,16.079349291704663,0.0001981455001277471
18,BlackScholes,700,1000,152.5119,0.7,7227.849080221645,7217.950967999999,159.52281094170542,6.22858458851203,7075.337180221644,807.147478834804,28.0,84.189696,0.0,477.07494399999996,0.0,0.0,2007.1668505535715,28.21495310997529,571.0438058035714,2035.1668505535715,571.0438058035714,142.76095145089286,15.963948842385653,0.0013713188501179542
9,BlackScholes,500,700,153.63214285714287,0.7142857142857143,7592.029421550587,7594.509445714285,160.5007681412571,6.643278475948832,7438.397278693445,803.3882966691175,28.0,83.884128,0.0,475.343392,0.0,0.0,2002.930215933036,28.56411042517315,571.9118303571429,2030.930215933036,571.9118303571429,142.97795758928572,16.022101344368746,0.0003265548856611346
16,BlackScholes,600,800,156.43275,0.75,7861.574258803917,7872.271847142857,163.55593332913836,6.86396347392248,7705.141508803917,818.7151846795219,28.0,84.09504,0.0,476.53855999999996,0.0,0.0,2007.9444450892854,28.562749087260663,571.9084821428571,2035.9444450892854,571.9084821428571,142.97712053571428,15.981917601799108,0.0013588946808059015
23,BlackScholes,700,900,158.611,0.7777777777777778,8057.280362590981,8051.879472,165.8514080704668,7.03569861361985,7898.669362590981,830.3069158603136,28.0,84.092736,0.0,476.525504,0.0,0.0,2007.855324453125,28.558779168393805,571.8987165178571,2035.855324453125,571.8987165178571,142.97467912946428,15.982355479550575,0.0006707614799454815
24,BlackScholes,800,1000,160.3536,0.8,8264.541059517009,8258.322336000001,167.76478860741219,7.160125466096144,8104.187459517008,839.608000015067,28.0,84.809472,0.0,480.58700799999997,0.0,0.0,2025.0281751785717,28.569556915271725,571.9252232142858,2053.0281751785715,571.9252232142858,142.98130580357144,15.847286491772994,0.0007530250411634785
8,BlackScholes,500,600,162.9675,0.8333333333333334,9071.402926183395,9084.956322857142,171.21295027675393,7.890252896873229,8908.435426183394,857.0440665290469,28.0,84.58147199999999,0.0,479.295008,0.0,0.0,2019.535886205357,28.562749087260663,571.9084821428571,2047.535886205357,571.9084821428571,142.97712053571428,15.890004846451479,0.0014918505045146027
15,BlackScholes,600,700,164.83457142857145,0.8571428571428571,9148.449779403114,9147.067248,173.04025909310155,7.964663299417264,8983.615207974542,866.0371658576811,28.0,84.513408,0.0,478.90931199999994,0.0,0.0,2017.9640628437498,28.568535559605156,571.9227120535714,2045.9640628437498,571.9227120535714,142.98067801339286,15.902802073725391,0.00015114477303278994
22,BlackScholes,700,800,166.234875,0.875,9196.349500651953,9182.930239000003,174.44864363478104,8.009031792148605,9030.114625651953,873.2014931938717,28.0,84.46905600000001,0.0,478.65798400000006,0.0,0.0,2016.869833078125,28.564223875137177,571.912109375,2044.869833078125,571.912109375,142.97802734375,15.911152126525481,0.0014613267554792714
29,BlackScholes,800,900,167.324,0.8888888888888888,9286.661636833365,9283.951599999999,175.62555513795382,8.02767657727594,9119.337636833365,879.0588263447974,28.0,85.1088,0.0,482.28319999999997,0.0,0.0,2032.12560625,28.565471876916213,571.9151785714286,2060.1256062499997,571.9151785714286,142.97879464285714,15.791551519936835,0.0002919055322699827
30,BlackScholes,900,1000,168.1953,0.9,9310.422380946773,9297.697609285713,176.46271366432424,8.055360755652027,9142.227080946774,883.23982524149,28.0,85.03008,0.0,481.83711999999997,0.0,0.0,2030.2526900781247,28.565812257639685,571.916015625,2058.252690078125,571.916015625,142.97900390625,15.806171180833891,0.0013685938385812454
