appName,coreF,memF,argNo,kernel,time/ms,blocks,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_store_transactions,shared_store_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,branch_efficiency,cf_executed,cf_issued,flop_count_sp,flop_sp_efficiency,gld_throughput,gld_transactions,gst_throughput,gst_transactions,inst_issued,inst_per_warp,ipc
BlackScholes,1900,5000,input00,BlackScholesGPU,0.255307,(32768 1 1) (128 1 1),0.864117,1,0.9808,4.189527,1572896,219.44,1047535,146.01,1573040,218.85,1048589,145.86,0,0,0,0,0.5,218.87,1572864,1,2228224,2228224,425267618,0.1585,219.06,3145728,146.04,1048576,21367711,163,2.566778
conjugateGradient,1600,3500,input00,csrMv_kernel,0.672767,(32768 1 1) (4 32 1),0.901677,0.8764,0.98,1.979828,1048650,163.71,166151,25.894,1604126,250.53,131085,20.476,786432,489.56,262144,163.76,0.6219,409.39,2621440,1,1835008,1835008,16777210,0.0087,204.77,2752510,20.476,131072,11931301,91,1.607353
conjugateGradient,1600,4000,input00,csrMv_kernel,0.594905,(32768 1 1) (4 32 1),0.897708,0.8764,0.9779,2.293411,1048661,185.45,166176,29.366,1604531,283.87,131085,23.194,786432,555.58,262144,185.5,0.6218,463.76,2621440,1,1835008,1835008,16777210,0.0098,232.07,2752510,23.206,131072,11930998,91,1.835099
conjugateGradient,1600,4500,input00,csrMv_kernel,0.588265,(32768 1 1) (4 32 1),0.895307,0.8764,0.976,2.562841,1048658,203.48,165846,32.203,1604813,311.92,131085,25.478,786432,611.42,262144,203.9,0.6217,509.76,2621440,1,1835008,1835008,16777210,0.0108,254.81,2752510,25.48,131072,11930867,91,2.016831
conjugateGradient,1600,5000,input00,csrMv_kernel,0.54868,(32768 1 1) (4 32 1),0.892471,0.8764,0.9746,2.752458,1048658,215.71,166205,34.166,1605071,330.13,131085,26.965,786432,646.33,262144,215.76,0.6217,539.4,2621440,1,1835008,1835008,16777210,0.0115,269.74,2752510,26.973,131072,11930901,91,2.144813
conjugateGradient,1700,3500,input00,csrMv_kernel,0.677167,(32768 1 1) (4 32 1),0.901842,0.8764,0.9801,1.96784,1048657,163.75,165988,25.898,1604077,250.85,131085,20.501,786432,491.05,262144,164.05,0.6219,410.11,2621440,1,1835008,1835008,16777210,0.0086,205.22,2752510,20.522,131072,11931088,91,1.601639
conjugateGradient,1700,4000,input00,csrMv_kernel,0.594618,(32768 1 1) (4 32 1),0.898092,0.8764,0.9779,2.279041,1048650,186.04,166196,29.425,1604471,284.9,131085,23.277,786432,557.47,262144,186.05,0.6218,465.13,2621440,1,1835008,1835008,16777210,0.0098,232.75,2752510,23.275,131072,11931267,91,1.819349
conjugateGradient,1700,4500,input00,csrMv_kernel,0.587407,(32768 1 1) (4 32 1),0.895649,0.8764,0.976,2.547179,1048669,204.16,165971,32.254,1604807,312.47,131085,25.526,786432,612.81,262144,204.25,0.6217,510.63,2621440,1,1835008,1835008,16777210,0.0108,255.38,2752510,25.538,131072,11931160,91,2.007545
conjugateGradient,1700,5000,input00,csrMv_kernel,0.551625,(32768 1 1) (4 32 1),0.892606,0.8764,0.975,2.734176,1048665,216.27,165979,34.188,1605081,331.05,131085,27.039,786432,647.99,262144,216.24,0.6217,540.61,2621440,1,1835008,1835008,16777210,0.0114,270.27,2752510,27.026,131072,11931070,91,2.134016
conjugateGradient,1800,3500,input00,csrMv_kernel,0.667745,(32768 1 1) (4 32 1),0.901611,0.8764,0.9801,1.967474,1048650,163.71,166121,25.935,1604030,250.88,131085,20.506,786432,491.41,262144,163.88,0.6219,409.71,2621440,1,1835008,1835008,16777210,0.0086,205.08,2752510,20.507,131072,11931176,91,1.597863
conjugateGradient,1800,4000,input00,csrMv_kernel,0.607638,(32768 1 1) (4 32 1),0.898118,0.8764,0.9779,2.276682,1048650,186.02,165998,29.394,1604438,284.92,131085,23.279,786432,557.53,262144,186.17,0.6218,465.43,2621440,1,1835008,1835008,16777210,0.0098,232.92,2752510,23.291,131072,11931316,91,1.820917
conjugateGradient,1800,4500,input00,csrMv_kernel,0.578742,(32768 1 1) (4 32 1),0.895542,0.8764,0.976,2.544168,1048665,203.97,166021,32.308,1604801,312.51,131085,25.528,786432,612.38,262144,204.17,0.6217,510.42,2621440,1,1835008,1835008,16777210,0.0108,255.57,2752510,25.556,131072,11930864,91,2.010389
conjugateGradient,1800,5000,input00,csrMv_kernel,0.556565,(32768 1 1) (4 32 1),0.892341,0.8764,0.9745,2.731895,1048652,216.06,166055,34.224,1605078,330.99,131085,27.033,786432,648.46,262144,216.25,0.6217,540.63,2621440,1,1835008,1835008,16777210,0.0114,270.56,2752510,27.055,131072,11931173,91,2.129721
