,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,mem_del,mem_lat,shm_del,shm_lat,compute_del,compute_lat,sm_del,sm_lat,insts,abe
5,BlackScholes,607,715,300.9611643356643,0.848951048951049,6594.699404335664,7747.508052900001,3606.4246391090264,12098.942112768349,56.0,0.0,6237.73824,1672.0,6293.73824,1672.0,209.0,0.14879734757201366
6,BlackScholes,810,715,308.8675174825175,1.132867132867133,6522.7443494825175,7764.875390327344,4750.424781685663,12435.10124758031,56.0,0.0,6157.876832,1672.0,6213.876832,1672.0,209.0,0.15996792973550367
7,BlackScholes,1012,715,316.73492307692305,1.4153846153846155,6360.114571076922,7804.952850213752,5769.559226391902,12769.291196311335,56.0,0.0,5987.379647999999,1672.0,6043.379647999999,1672.0,209.0,0.18511813035452995
8,BlackScholes,1202,715,324.13495804195804,1.681118881118881,7009.146329523958,9027.140070033749,6685.011371482,13083.290175035861,56.0,0.0,5842.370432,1672.0,5898.370432,1672.0,209.0,0.22354740536359555
9,BlackScholes,1328,715,329.04234965034965,1.8573426573426572,7736.072609601472,9953.246165292498,7407.030259951122,13291.301655916574,56.0,0.0,5860.3143359999995,1672.0,5916.3143359999995,1672.0,209.0,0.22275883856087356
80,SobolQRNG,607,715,300.9611643356643,0.848951048951049,418719.8264443357,581227.4558619648,280308.1549741081,1891199.5087908078,46584.356096,87864.0,371834.509184,200616.0,418418.86528,288480.0,25077.0,0.27959386257249164
81,SobolQRNG,810,715,308.8675174825175,1.132867132867133,449263.1343974825,714574.1974081534,401214.36620923,1943690.0322126793,49980.425216,87864.0,398973.841664,200616.0,448954.26688,288480.0,25077.0,0.3712855347604015
82,SobolQRNG,1012,715,316.73492307692305,1.4153846153846155,536003.5404860529,896104.7968739326,535686.8055629759,1995964.722308634,53416.05823999999,87864.0,426429.34495999996,200616.0,479845.40319999994,288480.0,25077.0,0.40185172274949904
83,SobolQRNG,1202,715,324.13495804195804,1.681118881118881,648575.6328742569,1042128.5510974465,648251.497916215,2045130.8983614142,54426.44403200001,87864.0,434503.73772800004,200616.0,488930.18176000006,288480.0,25077.0,0.3776433510134102
84,SobolQRNG,1328,715,329.04234965034965,1.8573426573426572,721386.2543375195,1138350.6032080895,721057.2119878692,2077824.4775031554,54789.24703999999,87864.0,437403.0401599999,200616.0,492192.2871999999,288480.0,25077.0,0.3662881608666827
0,backprop,607,715,300.9611643356643,0.848951048951049,5616.545644335663,7494.867112442502,1315.6309473620177,4955.115387374106,808.354656,707.0,4507.229824,1208.0,5315.5844799999995,1915.0,151.0,0.2506143791380328
1,backprop,810,715,308.8675174825175,1.132867132867133,5607.622237482517,7514.333775584999,1579.5479468819863,5030.059003563385,805.943584,707.0,4492.811136,1208.0,5298.75472,1915.0,151.0,0.2537432585570824
2,backprop,1012,715,316.73492307692305,1.4153846153846155,5605.010523076923,7522.7375648425,1842.5327378170202,5104.637480342621,804.44232,707.0,4483.83328,1208.0,5288.2756,1915.0,151.0,0.25492409182636794
3,backprop,1202,715,324.13495804195804,1.681118881118881,5613.594958041958,7574.006255484374,2093.3004409670625,5174.803205560642,804.612,707.0,4484.848,1208.0,5289.46,1915.0,151.0,0.258834127054341
4,backprop,1328,715,329.04234965034965,1.8573426573426572,5618.491069650349,7615.937015858499,2259.5256506711266,5221.451966304591,804.610384,707.0,4484.838336,1208.0,5289.448719999999,1915.0,151.0,0.26227185729725855
10,conjugateGradient,607,715,300.9611643356643,0.848951048951049,2576.5026265881056,3819.610539795313,1539.3035063916727,6155.568149149965,515.540992,448.0,1760.0004702524416,488.0001220703125,2275.5414622524413,936.0001220703125,61.00001525878906,0.325454100687926
