,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,n_shm,tex_trans,fp_insts,dp_insts,int_insts,branch_insts
4,BlackScholes,1600,4000,0.0,0.0,12.000463169642858,8.000544642857143,0.9998170851100527,0.00018291488994726102,20.0010078125,142.9989921875,0.88749,468.00800000000004,4.733057,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
5,BlackScholes,1600,4500,0.0,0.0,12.000455357142856,8.000175223214285,0.9998220480213657,0.00017795197863434975,20.00063058035714,142.99936941964285,0.8844620000000001,460.08711111111114,4.135966024691358,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
6,BlackScholes,1600,5000,0.0,0.0,12.000488839285714,8.000331473214287,0.9998784648062705,0.00012153519372948285,20.0008203125,142.9991796875,0.8802040000000001,453.7504,3.6711084799999996,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
7,BlackScholes,1600,5500,0.0,0.0,12.00044642857143,8.00001450892857,0.9998686414202619,0.0001313585797381167,20.0004609375,142.9995390625,0.876181,448.5658181818182,3.2992433719008267,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
0,BlackScholes,1700,4000,0.0,0.0,12.000441964285715,8.00001450892857,0.9998234415297106,0.00017655847028941185,20.000456473214285,142.99954352678571,0.889716,472.4635,5.0288730625,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
1,BlackScholes,1700,4500,0.0,0.0,12.000419642857143,8.000026785714285,0.9998565322202629,0.00014346777973706093,20.00044642857143,142.99955357142858,0.886568,464.04755555555556,4.394463901234569,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
2,BlackScholes,1700,5000,0.0,0.0,12.00044642857143,8.00001450892857,0.9998260084742466,0.00017399152575336974,20.0004609375,142.9995390625,0.882869,457.31480000000005,3.9005527599999996,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
3,BlackScholes,1700,5500,0.0,0.0,12.000419642857143,8.000027901785714,0.9998317559969779,0.00016824400302206666,20.000447544642856,142.99955245535713,0.87874,451.80618181818187,3.505446082644628,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
8,BlackScholes,1800,4000,0.0,0.0,12.000482142857143,8.000018973214285,0.9998217678586069,0.00017823214139311983,20.000501116071426,142.99949888392857,0.890919,476.91900000000004,5.324689125,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
9,BlackScholes,1800,4500,0.0,0.0,12.000515625,8.0000234375,0.9998087663150597,0.00019123368494033954,20.0005390625,142.9994609375,0.888335,468.00800000000004,4.652961777777778,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
10,BlackScholes,1800,5000,0.0,0.0,12.000488839285714,8.000321428571429,0.9997618958071232,0.00023810419287684237,20.00081026785714,142.99918973214287,0.8851700000000001,460.8792,4.12999704,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
11,BlackScholes,1800,5500,0.0,0.0,12.000493303571428,8.000328125,0.9997831004262325,0.0002168995737674706,20.000821428571427,142.99917857142856,0.881376,455.0465454545455,3.71164879338843,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
12,BlackScholes,1900,4000,0.0,0.0,12.0005234375,8.000325892857143,0.9998113361368973,0.00018866386310267824,20.00084933035714,142.99915066964286,0.892069,481.3745,5.6205051875,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
13,BlackScholes,1900,4500,0.0,0.0,12.000546875,8.000636160714286,0.9998352218004962,0.00016477819950377892,20.001183035714284,142.9988169642857,0.888966,471.96844444444446,4.911459654320987,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
14,BlackScholes,1900,5000,0.0,0.0,12.000479910714287,8.000325892857143,0.9998181434877454,0.00018185651225455235,20.00080580357143,142.99919419642856,0.8863610000000001,464.44360000000006,4.359441319999999,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
15,BlackScholes,1900,5500,0.0,0.0,12.000512276785715,8.00001450892857,0.9998227725251879,0.00017722747481208057,20.000526785714285,142.99947321428573,0.883127,458.28690909090915,3.9178515041322317,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
16,BlackScholes,2000,4000,0.0,0.0,12.000463169642858,8.000027901785714,0.9998237208461399,0.00017627915386009274,20.00049107142857,142.99950892857143,0.893541,485.83000000000004,5.91632125,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
17,BlackScholes,2000,4500,0.0,0.0,12.000422991071428,8.000027901785714,0.9998235530850755,0.0001764469149244663,20.000450892857142,142.99954910714285,0.891207,475.92888888888893,5.169957530864197,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
18,BlackScholes,2000,5000,0.0,0.0,12.036787946428571,8.00001450892857,0.9988694352885805,0.0011305647114194795,20.03680245535714,142.96319754464287,0.8877649999999999,468.00800000000004,4.5888856,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
19,BlackScholes,2000,5500,0.0,0.0,12.010258928571428,8.00001450892857,0.9996087389262381,0.0003912610737618616,20.010273437499997,142.9897265625,0.8846620000000001,461.52727272727276,4.1240542148760335,0.0,12.0,87.39150589425223,0.0,24.0,0.53125
24,SobolQRNG,1600,4000,2054.0,0.5,2.1925,8192.0165,0.9995397359281416,0.00046026407185839613,10248.333999999999,32843.666,0.966139,468.00800000000004,4.733057,2054.5,2.0,2048.0,0.0,28722.0,64.359375
25,SobolQRNG,1600,4500,2054.0,0.5,2.1895,8192.391,0.9995024760571941,0.0004975239428058886,10248.7055,32843.2945,0.967297,460.08711111111114,4.135966024691358,2054.5,2.0,2048.0,0.0,28722.0,64.359375
