,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,tex_trans,fp_insts,dp_insts
0,cusparse,1417,5005,132.0,87.25,4512.357570570571,18.500283033033032,0.09460634094754465,0.9053936590524554,4684.670353603604,0.0,0.993036,563.0727792207792,3.253226385303009,2824.478,331.10454204204206,0.0
1,cusparse,1417,5005,132.0,87.25,4315.0453228228225,18.500186936936938,0.08965724829489677,0.9103427517051033,4487.35800975976,0.0,0.9922190000000001,563.0727792207792,3.253226385303009,2544.032,301.05105105105105,0.0
2,cusparse,1417,5005,132.0,87.25,4081.695333333333,18.50026951951952,0.08493013843970931,0.9150698615602907,4254.008102852853,0.0,0.991209,563.0727792207792,3.253226385303009,2262.568,270.9037162162162,0.0
3,cusparse,1417,5005,132.0,87.25,3833.11237012012,18.500195945945947,0.07998209555353554,0.9200179044464645,4005.425066066066,0.0,0.989944,563.0727792207792,3.253226385303009,1983.133,240.96753003003002,0.0
4,cusparse,1417,5005,260.25,171.25,7415.5008963963965,19.00019219219219,0.06680877876268267,0.9331912212373173,7737.563588588589,0.0,0.992981,563.0727792207792,3.253226385303009,3393.548,421.871625,0.0
5,cusparse,1417,5005,260.25,171.25,6630.033563063063,19.00035735735736,0.06237429817444831,0.9376257018255517,6952.096420420421,0.0,0.991597,563.0727792207792,3.253226385303009,2832.554,361.731375,0.0
6,cusparse,1417,5005,260.25,171.25,5719.596713213214,19.00021921921922,0.05818875209846008,0.9418112479015399,6041.659432432433,0.0,0.989682,563.0727792207792,3.253226385303009,2272.776,301.7574375,0.0
7,cusparse,1417,5005,108.25,75.25,4195.586674174174,19.000364864864864,0.06029802716845252,0.9397019728315474,4341.649539039038,0.0,0.9867450000000001,563.0727792207792,3.253226385303009,1713.332,205.8279375,0.0
8,cusparse,1417,5005,330.3378991859737,303.49452097683155,8731.818588424725,15.284395652562841,0.1282104589648195,0.8717895410351805,9153.31451350747,0.0,0.9977940000000001,563.0727792207792,3.253226385303009,7204.132748904195,877.9296001431255,0.0
9,cusparse,1417,5005,330.3378991859737,303.49452097683155,8309.419447177745,14.0715555058592,0.12089348235735072,0.8791065176426492,8729.702532113786,0.0,0.9976520000000001,563.0727792207792,3.253226385303009,6506.843188120583,801.2512299847929,0.0
10,cusparse,1417,5005,330.3212035960283,303.4774079971375,7793.541461669201,14.626885589050898,0.11389518891830484,0.8861048110816951,8214.358902853566,0.0,0.9973120000000001,563.0727792207792,3.253226385303009,5775.114053135343,724.5449056266214,0.0
11,cusparse,1417,5005,100.41406047052509,67.82656454065659,6981.393684587172,14.031825297432686,0.10567615121206621,0.8943238487879338,7112.796211490295,0.0,0.9969389999999999,563.0727792207792,3.253226385303009,5027.641112800788,560.9289739690491,0.0
12,cusparse,1417,5005,96.4170319348779,63.730197244834066,6324.537078450667,14.735676715269703,0.10021600063911401,0.899783999360886,6451.622336412022,0.0,0.996232,563.0727792207792,3.253226385303009,4311.476876285893,482.7410770194114,0.0
13,cusparse,1417,5005,8.94534394847482e-09,63.730197244834066,5630.467841488506,14.106015743805349,0.09438948524100278,0.9056105147589972,5660.506406552465,0.0,0.9954780000000001,563.0727792207792,3.253226385303009,3594.8653725735753,405.97884426156185,0.0
14,cusparse,1417,5005,96.4170319348779,63.730197244834066,4820.288040075141,15.211658108954289,0.08897531410108205,0.9110246858989179,4947.849279430181,0.0,0.9943780000000001,563.0727792207792,3.253226385303009,2878.432775740227,329.18865730387336,0.0
15,cusparse,1417,5005,96.4170319348779,63.730197244834066,6152.518114321496,15.047799803202434,0.053126200176301895,0.9468737998236981,6279.915495370784,0.0,0.9926520000000001,563.0727792207792,3.253226385303009,2162.715806422757,252.51308256552466,0.0
16,groupspgemm,1417,5005,11701.029296875,152.6415,9631.115015625,15.6278046875,0.049258704574038456,0.9507412954259615,21385.9324921875,77770.06750781249,0.996692,563.0727792207792,3.253226385303009,9569.1613125,6257.32421875,0.0
17,groupspgemm,1417,5005,10594.3857421875,137.67125,8924.25725,15.6251796875,0.04474564228290226,0.9552543577170978,19568.685984375003,70633.314015625,0.9975799999999999,563.0727792207792,3.253226385303009,8869.2063125,5631.103515625,0.0
18,groupspgemm,1417,5005,9471.7939453125,122.5455,8164.7415234375,15.6268203125,0.04752119639233696,0.952478803607663,17682.7986640625,63351.2013359375,0.9968610000000001,563.0727792207792,3.253226385303009,8116.79984375,5003.173828125,0.0
19,groupspgemm,1417,5005,8343.19140625,107.579,7358.5316875,15.6253203125,0.05057237278680171,0.9494276272131983,15744.2431640625,55983.7568359375,0.996616,563.0727792207792,3.253226385303009,7315.6333125,4379.39453125,0.0
20,groupspgemm,1417,5005,7197.9228515625,92.5305,6492.2911015625,15.6266484375,0.0492150587931908,0.9507849412068092,13728.9732265625,48461.0267734375,0.9964719999999999,563.0727792207792,3.253226385303009,6457.15709375,3753.90625,0.0
21,groupspgemm,1417,5005,6036.5791015625,77.54075,5568.616359375,15.6251015625,0.04698360113415527,0.9530163988658448,11640.205750000001,40782.79425,0.9960209999999999,563.0727792207792,3.253226385303009,5540.49221875,3127.44140625,0.0
22,groupspgemm,1417,5005,4863.921875,62.51225,4589.46365625,15.6259609375,0.04712386238153946,0.9528761376184606,9484.6395546875,32980.3604453125,0.9954700000000001,563.0727792207792,3.253226385303009,4568.23740625,2502.685546875,0.0
