,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,tex_trans
0,BlackScholes,1328,715,0.0,0.0,16.000297991071427,12.356061383928571,0.7354602209176277,0.26453977908237225,28.356359374999997,136.643640625,0.9168139999999999,329.04234965034965,4.423222573230965,16.0
1,SobolQRNG,1328,715,2054.0,0.5,2.1095,8346.0475,1.0,0.0,10402.282000000001,32691.718,0.5431739999999999,329.04234965034965,4.423222573230965,2.0
2,backpropBackward,1328,715,0.0,0.0,9.174461364746094,10.000072479248047,0.9005962213385924,0.0994037786614076,19.17453384399414,43.82557315600585,0.956119,329.04234965034965,4.423222573230965,28.000038146972656
3,backpropForward,1328,715,6.75,4.875,4.750450134277344,6.000049591064453,0.8381916123851608,0.16180838761483918,18.719249725341797,266.0307502746582,0.976223,329.04234965034965,4.423222573230965,6.0
4,binomialOptions,1328,715,42112.125,21401.25,2108.48291015625,2092.2626953125,0.4440843718801315,0.5559156281198685,51663.18310546875,59126.81689453125,0.901842,329.04234965034965,4.423222573230965,2357.0
5,cfd,1328,715,0.0,0.0,1856.2263476347634,1395.4932618261826,0.6089903349353318,0.39100966506466817,3251.7196094609462,0.0,0.9113209999999999,329.04234965034965,4.423222573230965,1638.8935643564357
6,conjugateGradient,1328,715,6.0,2.0,9.244620323181152,1.0000123977661133,0.8970749774070225,0.10292502259297753,16.744632720947266,74.25536727905273,0.9003690000000001,329.04234965034965,4.423222573230965,20.0
7,convolutionSeparable,1328,715,258.0,20.0,39.8094580078125,33.1656884765625,0.9377629503837659,0.06223704961623411,335.975146484375,0.0,0.746238,329.04234965034965,4.423222573230965,39.9
8,convolutionTexture,1328,715,0.0,0.0,7.756710455698673,3.9968814036885245,0.7002311550469813,0.2997688449530187,11.753591859387196,83.1878601406128,0.869017,329.04234965034965,4.423222573230965,135.89383294301328
9,dxtc,1328,715,108.49978637695312,42.065887451171875,5587.963043212891,1959.9956665039062,0.8193123479522996,0.18068765204770043,7666.974967956543,0.0,0.993341,329.04234965034965,4.423222573230965,5659.494934082031
10,eigenvalues,1328,715,17251.75,458.0625,23.1875,8.8125,0.0546875,0.9453125,17398.265625,282621.734375,0.249996,329.04234965034965,4.423222573230965,232.0
11,fastWalshTransform,1328,715,0.0,0.0,16.000139713287354,17.824411392211914,1.0,0.0,33.82455110549927,31.175448894500732,0.8396819999999999,329.04234965034965,4.423222573230965,16.0
12,gaussian,1328,715,0.0,0.0,17.482457160949707,17.787983417510986,0.24856003263596602,0.751439967364034,35.27044057846069,14.723751421539305,0.111945,329.04234965034965,4.423222573230965,11.997364521026611
13,histogram,1328,715,48100.14027777778,24054.07013888889,5825.804861111111,5.342361111111111,1.0,0.0,59944.80503472222,76645.19496527777,0.402498,329.04234965034965,4.423222573230965,5825.422222222222
14,hotspot,1328,715,20.890625,7.453125,11.505126953125,1.000396728515625,0.16648648912467878,0.8335135108753212,35.259429931640625,344.5765080683594,0.713569,329.04234965034965,4.423222573230965,7.9375
15,matrixMulGlobal,1328,715,0.0,0.0,3810.4089889526367,4.002571105957031,0.10901853705235107,0.8909814629476489,3814.4115600585938,31548.588439941406,0.928113,329.04234965034965,4.423222573230965,16384.0
16,matrixMulShared,1328,715,3072.0,128.0,510.17826080322266,4.000099182128906,0.4841436792672909,0.5158563207327092,3618.1783599853516,2570.8216400146484,0.996408,329.04234965034965,4.423222573230965,512.0
17,mergeSort,1328,715,231.19338989257812,87.20462036132812,16.003875732421875,16.000198364257812,0.9996071361993002,0.0003928638006998053,284.99861907958984,1275.0013809204102,0.980351,329.04234965034965,4.423222573230965,16.0
18,nn,1328,715,0.0,0.0,8.000686645507812,4.000049591064453,1.0,0.0,12.000736236572266,28.999263763427734,0.879581,329.04234965034965,4.423222573230965,8.0
19,pathfinder,1328,715,288.9759378759707,145.2378595646943,257.05856939735315,22.094197746910204,0.3922042672400072,0.6077957327599928,604.4381699114076,3342.661830088592,0.983215,329.04234965034965,4.423222573230965,262.9766351307011
20,quasirandomGenerator,1328,715,0.0,0.0,0.16927083333333334,8192.008463541666,0.9427880143222881,0.05721198567771191,8192.177734375,141367.822265625,0.406484,329.04234965034965,4.423222573230965,0.0
21,reduction,1328,715,3.125,2.5,4.000125885009766,0.12502431869506836,0.9980842825515049,0.0019157174484950579,7.875150203704834,100.24984979629517,0.966634,329.04234965034965,4.423222573230965,4.0
22,scalarProd,1328,715,4672.0,4352.0,65536.3740234375,3875.666015625,1.0,0.0,75172.0400390625,113187.9599609375,0.28956,329.04234965034965,4.423222573230965,65536.0
23,scanScanExclusiveShared,1328,715,17.0,10.0,16.000226974487305,16.611391067504883,1.0,0.0,52.11161804199219,105.88838195800781,0.971744,329.04234965034965,4.423222573230965,16.0
24,scanUniformUpdate,1328,715,1.0,0.125,16.11907196044922,16.35049819946289,1.0,0.0,33.50082015991211,0.0,0.925343,329.04234965034965,4.423222573230965,16.125
25,sortingNetworks,1328,715,329.7086868286133,315.46295166015625,16.01666259765625,16.000099182128906,0.9993068034536391,0.000693196546360908,440.5911865234375,450.0886614765625,0.9877049999999999,329.04234965034965,4.423222573230965,16.0
26,srad,1328,715,7.25,6.979630470275879,20.494471549987793,34.01470375061035,0.6753036062258887,0.3246963937741113,63.504082918167114,266.9842270818329,0.9748870000000001,329.04234965034965,4.423222573230965,32.046875
