,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,tex_trans,fp_insts,dp_insts,int_insts
0,cusparse,1417,5005,108.25,75.25,3666.85836036036,19.000073573573573,0.05787559277312313,0.9421244072268768,3812.9209339339336,805.2117389264265,0.9845809999999999,563.0727792207792,3.253226385303009,1431.612,175.6603125,0.0,629.5514264264265
1,cusparse,1417,5005,108.25,75.25,3386.063536036036,19.0000975975976,0.056661125751959286,0.9433388742480407,3532.126133633634,749.9897612612613,0.983231,563.0727792207792,3.253226385303009,1291.028,160.6035,0.0,589.3862612612612
2,cusparse,1417,5005,108.25,75.25,3092.94656006006,19.000096096096097,0.05527343041908996,0.9447265695809101,3239.009156156156,695.0207212837838,0.981632,563.0727792207792,3.253226385303009,1151.332,145.6119375,0.0,549.4087837837837
3,cusparse,1417,5005,108.25,75.25,2780.188337837838,19.000096096096097,0.053512034757251394,0.9464879652427486,2926.250933933934,639.7882436186186,0.979733,563.0727792207792,3.253226385303009,1010.678,130.544625,0.0,509.2436186186186
4,cusparse,1417,5005,213.25,147.75,5008.008987987988,22.000183183183182,0.038303086001931566,0.9616969139980684,5280.196671171171,1117.5055,0.985165,563.0727792207792,3.253226385303009,1727.762,230.954625,0.0,886.550875
5,cusparse,1417,5005,213.25,147.75,4285.343687687688,22.0001981981982,0.031643352704765385,0.9683566472952346,4557.531385885886,1007.1191249999999,0.982949,563.0727792207792,3.253226385303009,1446.838,200.84925,0.0,806.269875
6,cusparse,1417,5005,213.25,147.75,3533.185780780781,22.000129129129128,0.02201998942950917,0.9779800105704908,3805.37340990991,897.44225,0.980174,563.0727792207792,3.253226385303009,1167.05,170.937375,0.0,726.504875
7,cusparse,1417,5005,85.25,63.75,2654.7476036036037,22.000051051051052,0.015220102015043537,0.9847798979849565,2777.9351546546545,573.3845,0.975159,563.0727792207792,3.253226385303009,888.01,110.921625,0.0,462.462875
8,cusparse,1417,5005,85.25,63.75,1852.3053543543544,22.000093093093092,0.015413337960814583,0.9845866620391854,1975.4929474474475,463.999125,0.9684299999999999,563.0727792207792,3.253226385303009,608.082,81.08925,0.0,382.909875
9,cusparse,1417,5005,167.47619047619048,124.25,1962.9517732017732,27.904934696601362,0.022117531730507706,0.9778824682694923,2189.395398374565,645.4320436507937,0.968772,563.0727792207792,3.253226385303009,634.3690476190476,101.58407738095238,0.0,543.8479662698413
10,cusparse,1417,5005,63.476190476190474,52.25,1610.6438641021975,27.904934696601362,0.025151079311654084,0.9748489206883459,1715.0874892749894,418.04042658730157,0.9634469999999999,563.0727792207792,3.253226385303009,522.1547619047619,65.74553571428571,0.0,352.29489087301585
11,cusparse,1417,5005,63.476190476190474,52.25,1229.3205229038563,27.904857238190573,0.03088332776863229,0.9691166722313677,1333.7640706182372,374.3390376984127,0.9608909999999999,563.0727792207792,3.253226385303009,409.5833333333333,53.82738095238095,0.0,320.51165674603175
12,cusparse,1417,5005,62.84126984126984,51.773809523809526,827.6254230420897,27.904857238190573,0.04246035309533441,0.9575396469046655,931.3150025025026,329.1863839285714,0.962075,563.0727792207792,3.253226385303009,296.19444444444446,41.708333333333336,0.0,287.4780505952381
13,cusparse,1417,5005,43.15873015873016,37.01190476190476,426.27785523618854,27.904875113208448,0.07502370963465202,0.924976290365348,506.5944366986034,247.0701884920635,0.9625969999999999,563.0727792207792,3.253226385303009,184.28968253968253,25.265625,0.0,221.8045634920635
14,cusparse,1417,5005,24.11111111111111,22.726190476190474,221.56350993850995,27.904875113208448,0.13091241879569546,0.8690875812043045,279.2610437818771,188.51128472222223,0.9620790000000001,563.0727792207792,3.253226385303009,120.69444444444444,15.032738095238095,0.0,173.47854662698413
15,cusparse,1417,5005,96.4170319348779,63.730197244834066,5321.674568387154,14.988616065837732,0.05179226932568136,0.9482077306743186,5449.012765699078,905.2128991859737,0.991348,563.0727792207792,3.253226385303009,1804.9020484837642,214.18507916629395,0.0,691.0278200196798
16,cusparse,1417,5005,96.4170319348779,63.730197244834066,4878.343322300742,15.116282493961894,0.05122741012370009,0.9487725898762999,5005.80918604079,834.9052911709455,0.990499,563.0727792207792,3.253226385303009,1625.995169514268,195.00570265676714,0.0,639.8995885141784
17,cusparse,1417,5005,96.4170319348779,63.730197244834066,4416.674121119957,14.810473566508632,0.05076405908729616,0.9492359409127038,4543.834175932551,764.5697289560784,0.989489,563.0727792207792,3.253226385303009,1446.909383665802,175.82632614724037,0.0,588.743402808838
18,cusparse,1417,5005,190.09494355487968,125.08649020484837,7898.201985866356,17.109559889077737,0.048517212912311675,0.9514827870876883,8136.678111861526,1348.1304231147687,0.993101,563.0727792207792,3.253226385303009,2526.701851686197,313.26594507558815,0.0,1034.8644780391805
19,cusparse,1417,5005,190.09494355487968,125.08649020484837,6892.924232936756,16.75128651936667,0.04813087841346323,0.9518691215865368,7131.042085562215,1207.610251364165,0.99216,563.0727792207792,3.253226385303009,2169.067000626174,274.94632793630916,0.0,932.6639234278558
20,cusparse,1417,5005,190.09494355487968,125.08649020484837,5849.718221665623,17.068785222291798,0.04792609570027135,0.9520739042997286,6088.153572994007,1067.3863941318543,0.9909180000000001,563.0727792207792,3.253226385303009,1812.1477770820288,236.6993917166115,0.0,830.6870024152429
21,cusparse,1417,5005,190.09494355487968,125.08649020484837,4764.469093836658,16.3653475266124,0.04800428301359854,0.9519957169864015,5002.2010074693635,926.5475445030861,0.9892709999999999,563.0727792207792,3.253226385303009,1453.5837994453886,198.28473029787995,0.0,728.2628142052062
