,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,n_shm,tex_trans,fp_insts,dp_insts,int_insts,branch_insts
15,BlackScholes,700,2100,0.0,0.0,12.121791294642858,8.000418526785714,0.9913925788291411,0.008607421170858887,20.12220982142857,142.87779017857144,0.8519700000000001,123.759,2.85318253968254,0.0,12.0,87.39152526855469,0.0,24.0,0.53125
16,BlackScholes,700,2600,0.0,0.0,12.055315290178571,8.000418526785714,0.9938091047895965,0.006190895210403502,20.055733816964285,142.94426618303572,0.843532,118.73226923076923,2.2846457100591717,0.0,12.0,87.39152526855469,0.0,24.0,0.53125
17,BlackScholes,700,3100,0.0,0.0,12.110770089285714,8.000418526785714,0.9943048204388271,0.005695179561172936,20.111188616071427,142.88881138392858,0.845181,115.32706451612904,1.9048777315296566,0.0,12.0,87.39152526855469,0.0,24.0,0.53125
18,BlackScholes,700,3600,0.0,0.0,12.095284598214286,8.000418526785714,0.9930091776238146,0.006990822376185424,20.095703125,142.904296875,0.845182,112.86775,1.6332982253086419,0.0,12.0,87.39152526855469,0.0,24.0,0.53125
19,BlackScholes,700,3900,0.0,0.0,12.13427734375,8.000418526785714,0.9889763070282105,0.011023692971789512,20.134695870535715,142.86530412946428,0.846817,111.69484615384616,1.5045724523339907,0.0,12.0,87.39152526855469,0.0,24.0,0.53125
20,BlackScholes,900,2100,0.0,0.0,12.07568359375,8.000418526785714,0.9982453763059785,0.0017546236940214621,20.076102120535715,142.92389787946428,0.863547,131.22728571428573,3.668377551020408,0.0,12.0,87.39152526855469,0.0,24.0,0.53125
21,BlackScholes,900,2600,0.0,0.0,12.056710379464286,8.000418526785714,0.9936286903689586,0.0063713096310413775,20.05712890625,142.94287109375,0.850866,124.76434615384616,2.937401627218935,0.0,12.0,87.39152526855469,0.0,24.0,0.53125
22,BlackScholes,900,3100,0.0,0.0,12.040178571428571,8.000418526785714,0.9910755929300875,0.008924407069912488,20.040597098214285,142.95940290178572,0.8426819999999999,120.38622580645162,2.449128511966701,0.0,12.0,87.39152526855469,0.0,24.0,0.53125
23,BlackScholes,900,3600,0.0,0.0,12.09912109375,8.000418526785714,0.9904458488202202,0.009554151179779757,20.099539620535715,142.90046037946428,0.8397600000000001,117.22425000000001,2.099954861111111,0.0,12.0,87.39152526855469,0.0,24.0,0.53125
24,BlackScholes,900,3900,0.0,0.0,12.040876116071429,8.000418526785714,0.9907452525477529,0.00925474745224708,20.041294642857142,142.95870535714286,0.8400129999999999,115.71623076923078,1.9344502958579881,0.0,12.0,87.39152526855469,0.0,24.0,0.53125
