,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,tex_trans
0,BlackScholes,1700,4000,0.0,0.0,12.000441964285715,8.00001450892857,0.9998234415297106,0.00017655847028941185,20.000456473214285,142.99954352678571,0.889716,594.6815,5.039498062500001,12.0
1,BlackScholes,1700,4500,0.0,0.0,12.000419642857143,8.000026785714285,0.9998565322202629,0.00014346777973706093,20.00044642857143,142.99955357142858,0.886568,584.1613333333333,4.402858962962964,12.0
2,BlackScholes,1700,5000,0.0,0.0,12.00044642857143,8.00001450892857,0.9998260084742466,0.00017399152575336974,20.0004609375,142.9995390625,0.882869,575.7452,3.90735276,12.0
3,BlackScholes,1700,5500,0.0,0.0,12.000419642857143,8.000027901785714,0.9998317559969779,0.00016824400302206666,20.000447544642856,142.99955245535713,0.87874,568.8592727272727,3.5110659173553724,12.0
4,BlackScholes,1600,4000,0.0,0.0,12.000463169642858,8.000544642857143,0.9998170851100527,0.00018291488994726102,20.0010078125,142.9989921875,0.88749,589.112,4.743057,12.0
5,BlackScholes,1600,4500,0.0,0.0,12.000455357142856,8.000175223214285,0.9998220480213657,0.00017795197863434975,20.00063058035714,142.99936941964285,0.8844620000000001,579.2106666666666,4.14386725925926,12.0
6,BlackScholes,1600,5000,0.0,0.0,12.000488839285714,8.000331473214287,0.9998784648062705,0.00012153519372948285,20.0008203125,142.9991796875,0.8802040000000001,571.2896,3.6775084800000006,12.0
7,BlackScholes,1600,5500,0.0,0.0,12.00044642857143,8.00001450892857,0.9998686414202619,0.0001313585797381167,20.0004609375,142.9995390625,0.876181,564.8087272727273,3.3045326280991736,12.0
8,BlackScholes,1800,4000,0.0,0.0,12.000482142857143,8.000018973214285,0.9998217678586069,0.00017823214139311983,20.000501116071426,142.99949888392857,0.890919,600.251,5.335939125000001,12.0
9,BlackScholes,1800,4500,0.0,0.0,12.000515625,8.0000234375,0.9998087663150597,0.00019123368494033954,20.0005390625,142.9994609375,0.888335,589.112,4.661850666666667,12.0
10,BlackScholes,1800,5000,0.0,0.0,12.000488839285714,8.000321428571429,0.9997618958071232,0.00023810419287684237,20.00081026785714,142.99918973214287,0.8851700000000001,580.2008,4.13719704,12.0
11,BlackScholes,1800,5500,0.0,0.0,12.000493303571428,8.000328125,0.9997831004262325,0.0002168995737674706,20.000821428571427,142.99917857142856,0.881376,572.9098181818182,3.7175992066115704,12.0
12,BlackScholes,1900,4000,0.0,0.0,12.0005234375,8.000325892857143,0.9998113361368973,0.00018866386310267824,20.00084933035714,142.99915066964286,0.892069,605.8205,5.6323801875,12.0
13,BlackScholes,1900,4500,0.0,0.0,12.000546875,8.000636160714286,0.9998352218004962,0.00016477819950377892,20.001183035714284,142.9988169642857,0.888966,594.0626666666667,4.92084237037037,12.0
14,BlackScholes,1900,5000,0.0,0.0,12.000479910714287,8.000325892857143,0.9998181434877454,0.00018185651225455235,20.00080580357143,142.99919419642856,0.8863610000000001,584.6564,4.36704132,12.0
15,BlackScholes,1900,5500,0.0,0.0,12.000512276785715,8.00001450892857,0.9998227725251879,0.00017722747481208057,20.000526785714285,142.99947321428573,0.883127,576.9603636363636,3.9241324958677684,12.0
16,BlackScholes,2000,4000,0.0,0.0,12.000463169642858,8.000027901785714,0.9998237208461399,0.00017627915386009274,20.00049107142857,142.99950892857143,0.893541,611.39,5.92882125,12.0
17,BlackScholes,2000,4500,0.0,0.0,12.000422991071428,8.000027901785714,0.9998235530850755,0.0001764469149244663,20.000450892857142,142.99954910714285,0.891207,599.0133333333333,5.1798340740740745,12.0
18,BlackScholes,2000,5000,0.0,0.0,12.036787946428571,8.00001450892857,0.9988694352885805,0.0011305647114194795,20.03680245535714,142.96319754464287,0.8877649999999999,589.112,4.5968856,12.0
19,BlackScholes,2000,5500,0.0,0.0,12.010258928571428,8.00001450892857,0.9996087389262381,0.0003912610737618616,20.010273437499997,142.9897265625,0.8846620000000001,581.0109090909091,4.130665785123967,12.0
20,SobolQRNG,1700,4000,2054.0,0.5,2.214,8192.0065,0.9996172302173222,0.00038276978267781647,10248.3455,32843.654500000004,0.966052,594.6815,5.039498062500001,2.0
21,SobolQRNG,1700,4500,2054.0,0.5,2.166,8192.0065,0.9996165567664094,0.00038344323359063015,10248.297499999999,32843.7025,0.970409,584.1613333333333,4.402858962962964,2.0
22,SobolQRNG,1700,5000,2054.0,0.5,2.1725,8192.0065,0.9996197300547133,0.0003802699452867264,10248.304,32843.695999999996,0.9709549999999999,575.7452,3.90735276,2.0
23,SobolQRNG,1700,5500,2054.0,0.5,2.215,8192.0065,0.9995983755137691,0.0004016244862309337,10248.3465,32843.6535,0.9565020000000001,568.8592727272727,3.5110659173553724,2.0
24,SobolQRNG,1600,4000,2054.0,0.5,2.1925,8192.0165,0.9995397359281416,0.00046026407185839613,10248.333999999999,32843.666,0.966139,589.112,4.743057,2.0
25,SobolQRNG,1600,4500,2054.0,0.5,2.1895,8192.391,0.9995024760571941,0.0004975239428058886,10248.7055,32843.2945,0.967297,579.2106666666666,4.14386725925926,2.0
26,SobolQRNG,1600,5000,2054.0,0.5,2.2075,8192.396,0.9995827742001183,0.00041722579988168196,10248.728500000001,32843.2715,0.9596120000000001,571.2896,3.6775084800000006,2.0
27,SobolQRNG,1600,5500,2054.0,0.5,2.2255,8192.098,0.9995216810759302,0.00047831892406979826,10248.4485,32843.5515,0.957932,564.8087272727273,3.3045326280991736,2.0
28,SobolQRNG,1800,4000,2054.0,0.5,2.179,8192.012,0.9996139338221429,0.00038606617785708064,10248.316,32843.684,0.970532,600.251,5.335939125000001,2.0
29,SobolQRNG,1800,4500,2054.0,0.5,2.1775,8192.012,0.999611859110654,0.00038814088934602253,10248.3145,32843.6855,0.9689700000000001,589.112,4.661850666666667,2.0
30,SobolQRNG,1800,5000,2054.0,0.5,2.1845,8192.012,0.9996135069497052,0.0003864930502948116,10248.3215,32843.6785,0.95954,580.2008,4.13719704,2.0
31,SobolQRNG,1800,5500,2054.0,0.5,2.1745,8192.0065,0.9996208895068343,0.0003791104931657463,10248.305999999999,32843.694,0.9553219999999999,572.9098181818182,3.7175992066115704,2.0
32,SobolQRNG,1900,4000,2054.0,0.5,2.1565,8192.0065,0.9996250379691008,0.0003749620308991508,10248.287999999999,32843.712,0.9705600000000001,605.8205,5.6323801875,2.0
33,SobolQRNG,1900,4500,2054.0,0.5,2.159,8192.388,0.999563185127866,0.00043681487213398373,10248.672,32843.328,0.969223,594.0626666666667,4.92084237037037,2.0
34,SobolQRNG,1900,5000,2054.0,0.5,2.191,8192.011,0.9996171683343905,0.00038283166560948434,10248.327000000001,32843.672999999995,0.9642209999999999,584.6564,4.36704132,2.0
35,SobolQRNG,1900,5500,2054.0,0.5,2.1965,8192.7655,0.9995245249459362,0.00047547505406375645,10249.087,32842.913,0.960043,576.9603636363636,3.9241324958677684,2.0
36,SobolQRNG,2000,4000,2054.0,0.5,2.1835,8192.012,0.9995696954020684,0.0004303045979315856,10248.3205,32843.6795,0.973542,611.39,5.92882125,2.0
37,SobolQRNG,2000,4500,2054.0,0.5,2.1985,8192.0065,0.9996074054774076,0.00039259452259243766,10248.33,32843.67,0.969116,599.0133333333333,5.1798340740740745,2.0
38,SobolQRNG,2000,5000,2054.0,0.5,2.179,8192.012,0.9996032555257742,0.0003967444742257742,10248.316,32843.684,0.97101,589.112,4.5968856,2.0
39,SobolQRNG,2000,5500,2054.0,0.5,34.425,8192.0145,0.9965748243817999,0.0034251756182001047,10280.564499999999,32811.4355,0.9650799999999999,581.0109090909091,4.130665785123967,2.0
40,backpropBackward,1700,4000,0.0,0.0,23.501087188720703,10.000102996826172,0.5147455015499646,0.48525449845003543,33.501190185546875,24.498912814453128,0.968281,594.6815,5.039498062500001,28.000038146972656
41,backpropBackward,1700,4500,0.0,0.0,23.501373291015625,10.000072479248047,0.5148007851788441,0.4851992148211559,33.50144577026367,24.49865722973633,0.9681549999999999,584.1613333333333,4.402858962962964,28.000038146972656
42,backpropBackward,1700,5000,0.0,0.0,23.501026153564453,10.00008773803711,0.5147533920071199,0.4852466079928801,33.50111389160156,24.49898910839844,0.9680559999999999,575.7452,3.90735276,28.000038146972656
43,backpropBackward,1700,5500,0.0,0.0,23.500988006591797,10.000118255615234,0.5147521428211932,0.4852478571788068,33.50110626220703,24.49899673779297,0.9680059999999999,568.8592727272727,3.5110659173553724,28.000038146972656
44,backpropBackward,1600,4000,0.0,0.0,23.501277923583984,10.000072479248047,0.5147817545943615,0.4852182454056385,33.50135040283203,24.49875259716797,0.968232,589.112,4.743057,28.000038146972656
45,backpropBackward,1600,4500,0.0,0.0,23.50127410888672,10.00186538696289,0.5147492549797344,0.48525074502026555,33.50313949584961,24.496963504150393,0.968095,579.2106666666666,4.14386725925926,28.000038146972656
46,backpropBackward,1600,5000,0.0,0.0,23.50130844116211,10.001167297363281,0.5147242695764621,0.4852757304235379,33.50247573852539,24.497627261474612,0.968092,571.2896,3.6775084800000006,28.000038146972656
47,backpropBackward,1600,5500,0.0,0.0,23.501178741455078,10.000072479248047,0.5149212858078521,0.4850787141921479,33.501251220703125,24.498851779296878,0.967939,564.8087272727273,3.3045326280991736,28.000038146972656
48,backpropBackward,1800,4000,0.0,0.0,23.501022338867188,10.00008773803711,0.5147445689335656,0.48525543106643443,33.5011100769043,24.498992923095706,0.9683209999999999,600.251,5.335939125000001,28.000038146972656
49,backpropBackward,1800,4500,0.0,0.0,23.501049041748047,10.000072479248047,0.5147576017539277,0.4852423982460723,33.501121520996094,24.49898147900391,0.9681799999999999,589.112,4.661850666666667,28.000038146972656
50,backpropBackward,1800,5000,0.0,0.0,23.501346588134766,10.000072479248047,0.5148039283113244,0.4851960716886756,33.50141906738281,24.49868393261719,0.9681190000000001,580.2008,4.13719704,28.000038146972656
51,backpropBackward,1800,5500,0.0,0.0,23.501232147216797,10.000118255615234,0.5147723036358407,0.4852276963641593,33.50135040283203,24.49875259716797,0.9680219999999999,572.9098181818182,3.7175992066115704,28.000038146972656
52,backpropBackward,1900,4000,0.0,0.0,23.50116729736328,10.000072479248047,0.51492066463459,0.48507933536541004,33.50123977661133,24.498863223388675,0.968231,605.8205,5.6323801875,28.000038146972656
53,backpropBackward,1900,4500,0.0,0.0,23.501216888427734,10.001121520996094,0.5149086751205844,0.48509132487941564,33.50233840942383,24.497764590576175,0.9680709999999999,594.0626666666667,4.92084237037037,28.000038146972656
54,backpropBackward,1900,5000,0.0,0.0,23.501171112060547,10.002235412597656,0.5147073508118274,0.4852926491881726,33.5034065246582,24.4966964753418,0.9680690000000001,584.6564,4.36704132,28.000038146972656
55,backpropBackward,1900,5500,0.0,0.0,23.501056671142578,10.000102996826172,0.5148095085837966,0.4851904914162034,33.50115966796875,24.498943332031253,0.9679709999999999,576.9603636363636,3.9241324958677684,28.000038146972656
56,backpropBackward,2000,4000,0.0,0.0,23.500980377197266,10.00008773803711,0.5147423669772073,0.4852576330227927,33.501068115234375,24.499034884765628,0.968775,611.39,5.92882125,28.000038146972656
57,backpropBackward,2000,4500,0.0,0.0,23.500961303710938,10.00179672241211,0.5148742158738234,0.4851257841261766,33.50275802612305,24.497344973876956,0.968115,599.0133333333333,5.1798340740740745,28.000038146972656
58,backpropBackward,2000,5000,0.0,0.0,23.56710433959961,10.000118255615234,0.5166607079582055,0.4833392920417945,33.567222595214844,24.43288040478516,0.968103,589.112,4.5968856,28.000038146972656
59,backpropBackward,2000,5500,0.0,0.0,23.562545776367188,10.000102996826172,0.5149511033277424,0.4850488966722576,33.56264877319336,24.437454226806643,0.968282,581.0109090909091,4.130665785123967,28.000038146972656
60,backpropForward,1700,4000,6.75,4.875,6.250846862792969,6.000049591064453,0.7345887387789939,0.2654112612210061,20.219646453857422,247.53035354614258,0.962084,594.6815,5.039498062500001,6.0
61,backpropForward,1700,4500,6.75,4.875,6.250980377197266,6.000064849853516,0.7345866684435931,0.2654133315564069,20.21979522705078,247.53020477294922,0.962009,584.1613333333333,4.402858962962964,6.0
62,backpropForward,1700,5000,6.75,4.875,6.250850677490234,6.000049591064453,0.7344160049820956,0.2655839950179044,20.219650268554688,247.5303497314453,0.961968,575.7452,3.90735276,6.0
63,backpropForward,1700,5500,6.75,4.875,6.250743865966797,6.000080108642578,0.7346108336343368,0.26538916636566323,20.219573974609375,247.53042602539062,0.961901,568.8592727272727,3.5110659173553724,6.0
64,backpropForward,1600,4000,6.75,4.875,6.251045227050781,6.000049591064453,0.7345675033651965,0.2654324966348035,20.219844818115234,247.53015518188477,0.962147,589.112,4.743057,6.0
65,backpropForward,1600,4500,6.75,4.875,6.251068115234375,6.000049591064453,0.7345636400038984,0.2654363599961016,20.219867706298828,247.53013229370117,0.961987,579.2106666666666,4.14386725925926,6.0
66,backpropForward,1600,5000,6.75,4.875,6.250953674316406,6.000072479248047,0.7344785185143669,0.26552148148563315,20.219776153564453,247.53022384643555,0.961993,571.2896,3.6775084800000006,6.0
67,backpropForward,1600,5500,6.75,4.875,6.250949859619141,6.000064849853516,0.7345816479995516,0.2654183520004484,20.219764709472656,247.53023529052734,0.9619270000000001,564.8087272727273,3.3045326280991736,6.0
68,backpropForward,1800,4000,6.75,4.875,6.250873565673828,6.000049591064453,0.7345834010585688,0.2654165989414312,20.21967315673828,247.53032684326172,0.962192,600.251,5.335939125000001,6.0
69,backpropForward,1800,4500,6.75,4.875,6.250785827636719,6.000064849853516,0.7345970885138255,0.26540291148617445,20.219600677490234,247.53039932250977,0.962043,589.112,4.661850666666667,6.0
70,backpropForward,1800,5000,6.75,4.875,6.251003265380859,6.000064849853516,0.7346622060915248,0.26533779390847523,20.219818115234375,247.53018188476562,0.962016,580.2008,4.13719704,6.0
71,backpropForward,1800,5500,6.75,4.875,6.250904083251953,6.000049591064453,0.7343794858126105,0.2656205141873895,20.219703674316406,247.5302963256836,0.9619280000000001,572.9098181818182,3.7175992066115704,6.0
72,backpropForward,1900,4000,6.75,4.875,6.250942230224609,6.000064849853516,0.7345749437650863,0.26542505623491375,20.219757080078125,247.53024291992188,0.9622719999999999,605.8205,5.6323801875,6.0
