,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,tex_trans,fp_insts,dp_insts,int_insts
0,BlackScholes,1800,4500,0.0,0.0,12.000291294642857,8.00001450892857,0.9999254475684914,7.455243150855662e-05,20.00030580357143,111.39150589425223,0.8718110000000001,589.112,4.661850666666667,12.0,87.39150589425223,0.0,24.0
1,SobolQRNG,1800,4500,2054.0,0.5,2.127,8192.0065,0.9997396918173227,0.0002603081826773046,10248.2585,30770.0,0.955975,589.112,4.661850666666667,2.0,2048.0,0.0,28722.0
2,backpropBackward,1800,4500,0.0,0.0,23.50072479248047,10.000072479248047,0.5147506277874383,0.4852493722125617,33.500797271728516,36.00003242492676,0.968623,589.112,4.661850666666667,28.000038146972656,0.0,7.000009536743164,22.00001335144043
3,backpropForward,1800,4500,6.75,4.875,6.250457763671875,6.000049591064453,0.734438937322293,0.26556106267770696,20.219257354736328,145.125,0.9619219999999999,589.112,4.661850666666667,6.0,25.9375,0.0,119.1875
4,binomialOptions,1800,4500,42112.125,21401.25,2349.9541015625,2088.299560546875,0.45060772303911634,0.5493922769608837,51900.691162109375,56599.08984375,0.96672,589.112,4.661850666666667,2357.0,136.06640625,20800.0,14863.0234375
5,cfd,1800,4500,0.0,0.0,405.5570682068207,20.001787678767876,0.24558013406301946,0.7544198659369805,425.55885588558857,792.5031370324532,0.35946,589.112,4.661850666666667,163.97868536853684,502.61641828245325,0.0,289.88671875
6,conjugateGradient,1800,4500,6.0,2.0,12.240436553955078,1.0000123977661133,0.6822510301170077,0.3177489698829923,19.74044895172119,39.9999994635582,0.901906,589.112,4.661850666666667,20.0,4.2499998807907104,0.0,35.74999958276749
7,convolutionSeparable,1800,4500,258.0,20.0,39.9011181640625,32.00003173828125,0.8900165432338798,0.1099834567661202,334.9011499023437,157.0,0.9502,589.112,4.661850666666667,39.9,136.0,0.0,21.0
8,convolutionTexture,1800,4500,0.0,0.0,7.9876417959601875,3.9968814036885245,0.6669898090065928,0.33301019099340723,11.984523199648713,56.964871194379384,0.8281620000000001,589.112,4.661850666666667,135.89383294301328,35.97189695550351,0.0,20.992974238875878
9,dxtc,1800,4500,108.49978637695312,42.065887451171875,63.090087890625,0.5003662109375,1.8236510261396378e-05,0.9999817634897386,182.6067123413086,3598.96723651886,0.306692,589.112,4.661850666666667,62.999847412109375,2195.3081769943237,0.0,1403.6590595245361
10,eigenvalues,1800,4500,16161.125,434.6875,214.4375,8.8125,0.004479283314669653,0.9955207166853304,16493.046875,119146.41796875,0.24999699999999997,589.112,4.661850666666667,208.0,78264.7734375,21.80078125,40838.04296875
11,fastWalshTransform,1800,4500,0.0,0.0,16.000182151794434,16.000015258789062,0.9999896288557895,1.0371144210541416e-05,32.000197410583496,45.0,0.842591,589.112,4.661850666666667,16.0,8.0,0.0,37.0
12,gaussian,1800,4500,0.0,0.0,19.74314594268799,17.78796625137329,0.2629735535246935,0.7370264464753065,37.53111219406128,35.98270209133625,0.390818,589.112,4.661850666666667,11.997364521026611,0.9994508773088455,0.0,34.983251214027405
13,histogram,1800,4500,48107.91111111111,24057.955555555556,5825.638194444445,5.342361111111111,1.0,0.0,59953.38055555556,49500.11111111111,0.803301,589.112,4.661850666666667,5825.422222222222,0.0,0.0,49500.11111111111
14,hotspot,1800,4500,20.890625,7.453125,11.788909912109375,1.000396728515625,0.11051350577455378,0.8894864942254462,35.543212890625,199.78526306152344,0.73456,589.112,4.661850666666667,7.9375,29.800994873046875,13.651741027832031,142.6807861328125
15,matrixMulGlobal,1800,4500,0.0,0.0,10240.019485473633,4.0028533935546875,0.026580899301613718,0.9734191006983863,10244.022338867188,29199.107788085938,0.9716040000000001,589.112,4.661850666666667,16384.0,2048.0,0.0,27151.107788085938
16,matrixMulShared,1800,4500,3072.0,128.0,512.007453918457,4.0001373291015625,0.5186279203018558,0.4813720796981442,3620.0075912475586,2910.0,0.996849,589.112,4.661850666666667,512.0,2048.0,0.0,862.0
17,mergeSort,1800,4500,231.19508361816406,87.22073364257812,16.006454467773438,16.000198364257812,0.9966547291460477,0.003345270853952309,285.00691986083984,953.0,0.985665,589.112,4.661850666666667,16.0,0.0,0.0,953.0
18,nn,1800,4500,0.0,0.0,16.000625610351562,4.000049591064453,0.5995172282124722,0.4004827717875278,20.000675201416016,27.0,0.8823290000000001,589.112,4.661850666666667,8.0,10.0,0.0,17.0
19,pathfinder,1800,4500,288.9759378759707,145.2378595646943,317.9742699332823,1.0001640599365635,0.280089259530619,0.719910740469381,644.2598367603631,1597.8291281581537,0.988133,589.112,4.661850666666667,262.9766351307011,0.0,0.0,1597.8291281581537
20,quasirandomGenerator,1800,4500,0.0,0.0,0.18098958333333334,8192.008463541666,0.7259885261328137,0.2740114738671863,8192.189453125,143377.0,0.655615,589.112,4.661850666666667,0.0,2048.0,0.0,141329.0
21,reduction,1800,4500,3.125,2.5,4.000115394592285,0.12500619888305664,0.9736765904824721,0.026323409517527874,7.875121593475342,36.99609375,0.9137270000000001,589.112,4.661850666666667,4.0,0.99609375,0.0,36.0
22,scalarProd,1800,4500,4672.0,4352.0,65536.421875,64.0126953125,0.9997933452619057,0.0002066547380943362,71360.4345703125,76289.0,0.574639,589.112,4.661850666666667,65536.0,10238.0,0.0,66051.0
23,scanScanExclusiveShared,1800,4500,17.0,10.0,16.000539779663086,16.000024795532227,0.9998252422647649,0.0001747577352351204,51.50056457519531,61.0,0.9583229999999999,589.112,4.661850666666667,16.0,0.0,0.0,61.0
24,scanUniformUpdate,1800,4500,1.0,0.125,16.125408172607422,16.000024795532227,0.9964252167030547,0.003574783296945272,33.15668296813965,10.0078125,0.8675309999999999,589.112,4.661850666666667,16.125,0.0,0.0,10.0078125
25,sortingNetworks,1800,4500,329.6924591064453,315.43035888671875,16.010177612304688,16.000099182128906,0.9991143209957167,0.0008856790042832685,440.5603256225586,137.99887561798096,0.9919950000000001,589.112,4.661850666666667,16.0,0.0,0.0,137.99887561798096
26,srad,1800,4500,7.25,6.979498863220215,12.023882865905762,20.000012397766113,0.7494204199897271,0.2505795800102729,41.01876997947693,171.13085967302322,0.973941,589.112,4.661850666666667,20.046875,60.99999988079071,9.0,92.13085979223251
27,stereoDisparity,1800,4500,1139.0,153.0,364.047119140625,4.000099182128906,0.03258604225872829,0.9674139577412717,1545.297218322754,776.0,0.994898,589.112,4.661850666666667,660.0,0.0,0.0,776.0
28,transpose,1800,4500,8.0,1.0,4.000115394592285,4.000006198883057,0.9999053492627107,9.465073728931461e-05,16.250121593475342,22.0,0.916797,589.112,4.661850666666667,4.0,0.0,0.0,22.0
29,vectorAdd,1800,4500,0.0,0.0,8.000150203704834,4.000008583068848,0.999917826150413,8.217384958697505e-05,12.000158786773682,13.0,0.882712,589.112,4.661850666666667,8.0,1.0,0.0,12.0
