,appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,warp_execution_efficiency,sm_activity,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput.1,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,executed_ipc,power/W
14,backpropBackward,810,715,input00,bpnn_adjust_weights_cuda,0.39437,(1 32768 1) (16 16 1),262144.0,0.942945,1.0,0.9841,1.570691,1.0,786433,1134.7,14811161,8.07142,200.23,2621446,4.999992,0.8378,2292619,175.6,2233766,170.64,2401880,184.37,2621459,201.2,0,0.0,0.0,0,0.0,0.0,183.9,2401944,200.7,200.94,0.7462000000000001,562.65,7340042,75497584,16777248,0.0,0,0,184549488.0,0,58720336,16515100,63.00010699999999,0.938594,87.51926623376622
10,backpropBackward,1012,715,input00,bpnn_adjust_weights_cuda,0.35711000000000004,(1 32768 1) (16 16 1),262144.0,0.9472510000000001,1.0,0.9847,1.372261,1.0,786433,1246.1,14811161,8.07142,220.72,2621446,4.999992,0.8377,2292653,193.18,2233913,187.78,2403914,202.55,2621459,220.88,0,0.0,0.0,0,0.0,0.0,202.68,2403506,221.06,221.21,0.7461,619.4,7340042,75497584,16777248,0.0,0,0,184549488.0,0,58720336,16515100,63.00010699999999,0.829591,93.67154487179491
11,backpropBackward,1202,715,input00,bpnn_adjust_weights_cuda,0.33883,(1 32768 1) (16 16 1),262144.0,0.953024,1.0,0.9857,1.206048,1.0,786433,1312.4,14811161,8.07142,231.41,2621446,4.999992,0.8376,2292752,203.1,2234103,197.14,2404914,212.04,2621459,231.13,0,0.0,0.0,0,0.0,0.0,212.76,2404589,231.95,231.07,0.7461,647.01,7340042,75497584,16777248,0.0,0,0,184549488.0,0,58720336,16515100,63.00010699999999,0.731974,106.87146153846157
12,backpropBackward,1328,715,input00,bpnn_adjust_weights_cuda,0.3315,(1 32768 1) (16 16 1),262144.0,0.956095,1.0,0.9859,1.1143319999999999,1.0,786433,1337.1,14811161,8.07142,236.33,2621446,4.999992,0.8376,2292768,206.44,2234076,200.66,2405025,216.96,2621459,236.47,0,0.0,0.0,0,0.0,0.0,216.42,2404817,235.91,235.6,0.746,659.68,7340042,75497584,16777248,0.0,0,0,184549488.0,0,58720336,16515100,63.00010699999999,0.6799470000000001,129.3360258064516
18,backpropForward,607,715,input00,bpnn_layerforward_CUDA,1.6840000000000002,(1 32768 1) (16 16 1),262144.0,0.978934,0.9276,0.9953,1.995681,1.0,8617984,54.972,3014656,5.75,28.78,1572864,3.0,0.5870000000000001,1177368,21.471,1184025,21.63,1245281,22.611,1572877,28.558000000000003,1769472,129.27,1.0,1277952,93.338,1.0,22.741999999999997,1245150,28.729,28.725,0.5326,28.725,1572864,0,0,49807360.0,0,67108864,999817216.0,217579520,0,74645504,284.75,1.331135,51.963647058823526
19,backpropForward,810,715,input00,bpnn_layerforward_CUDA,1.2675,(1 32768 1) (16 16 1),262144.0,0.9770719999999999,0.9276,0.994,1.9966009999999998,1.0,8617984,73.128,3014656,5.75,38.16,1572864,3.0,0.5870000000000001,1177418,28.664,1184288,28.647,1245303,30.218000000000004,1572877,38.166,1769472,171.85,1.0,1277952,123.97,1.0,30.241999999999997,1245149,38.202,38.047,0.5326,38.047,1572864,0,0,49807360.0,0,67108864,999817216.0,217579520,0,74645504,284.75,1.330774,58.82146103896105
15,backpropForward,1012,715,input00,bpnn_layerforward_CUDA,1.0151,(1 32768 1) (16 16 1),262144.0,0.9762639999999999,0.9276,0.9936,1.9968849999999998,1.0,8617984,91.23,3014656,5.75,47.735,1572864,3.0,0.5870000000000001,1177412,35.731,1184398,35.982,1245272,37.665,1572877,47.574,1769472,214.35,1.0,1277952,154.73,1.0,37.667,1245152,47.582,47.601000000000006,0.5326,47.601000000000006,1572864,0,0,49807360.0,0,67108864,999817216.0,217579520,0,74645504,284.75,1.33049,66.89490196078431
16,backpropForward,1202,715,input00,bpnn_layerforward_CUDA,0.8561599999999999,(1 32768 1) (16 16 1),262144.0,0.976259,0.9276,0.9935,1.997397,1.0,8617984,108.1,3014656,5.75,56.488,1572864,3.0,0.5870000000000001,1177483,42.301,1184668,42.566,1245286,44.673,1572877,56.424,1769472,254.24,1.0,1277952,183.44,1.0,44.71,1245140,56.477,56.431999999999995,0.5326,56.431999999999995,1572864,0,0,49807360.0,0,67108864,999817216.0,217579520,0,74645504,284.75,1.330185,81.94387662337662
17,backpropForward,1328,715,input00,bpnn_layerforward_CUDA,0.78118,(1 32768 1) (16 16 1),262144.0,0.9762,0.9276,0.9944,1.997148,1.0,8617984,118.62,3014656,5.75,61.885,1572864,3.0,0.5870000000000001,1177525,46.343999999999994,1184656,46.545,1245272,48.974,1572877,61.858000000000004,1769472,278.48,1.0,1277952,201.14,1.0,49.001999999999995,1245147,61.898,61.896,0.5326,61.896,1572864,0,0,49807360.0,0,67108864,999817216.0,217579520,0,74645504,284.75,1.330018,101.86022727272729
23,binomialOptions,607,715,input00,binomialOptionsKernel,36.346,(1024 1 1) (256 1 1),8192.0,0.9016879999999999,0.9997,0.9624,0.784233,1.0,235282432,15.833,19243008,7.813721000000001,13.985999999999999,17106944,6.266317,0.1029,4254848,3.5008,10941498,9.0115,17270561,14.167,17139745,14.059000000000001,344982528,1129.8,1.9934619999999998,175319040,574.69,2.0,14.177999999999999,17263539,14.075999999999999,14.062999999999999,0.0553,15.842,19308544,8178892800,2726297600,27276288.0,8392704,4196352,4066908160.0,35668992,5452595200,907610112,110790.0,0.755804,52.89852432432432
