appName,coreF,memF,argNo,kernel,power/W
mergeSort,1202,715,input00,mergeSortSharedKernel,94.82522666666668
mergeSort,1328,715,input00,mergeSortSharedKernel,119.23095364238408
mergeSort,607,715,input00,mergeSortSharedKernel,59.247450331125812
mergeSort,810,715,input00,mergeSortSharedKernel,68.07429333333333
nn,1012,715,input00,euclid,101.6657556818182
nn,1202,715,input00,euclid,111.82156647398844
nn,1328,715,input00,euclid,135.77393142857147
nn,607,715,input00,euclid,94.503860465116276
nn,810,715,input00,euclid,99.713333333333338
pathfinder,1012,715,input00,dynproc_kernel,62.680172222222225
pathfinder,1202,715,input00,dynproc_kernel,76.384586592178749
pathfinder,1328,715,input00,dynproc_kernel,93.701815642458101
pathfinder,607,715,input00,dynproc_kernel,48.561932960893849
pathfinder,810,715,input00,dynproc_kernel,55.438363128491623
quasirandomGenerator,1012,715,input00,quasirandomGeneratorKernel,30.558151125401928
quasirandomGenerator,1202,715,input00,quasirandomGeneratorKernel,33.806785256410258
quasirandomGenerator,1328,715,input00,quasirandomGeneratorKernel,38.688355987055012
quasirandomGenerator,607,715,input00,quasirandomGeneratorKernel,28.951202572347267
quasirandomGenerator,810,715,input00,quasirandomGeneratorKernel,29.584459807073955
reduction,1012,715,input00,reduce2,54.662466666666674
reduction,1202,715,input00,reduce2,65.377152439024385
reduction,1328,715,input00,reduce2,78.928785276073611
reduction,607,715,input00,reduce2,43.795687116564409
reduction,810,715,input00,reduce2,48.971361963190184
scalarProd,1012,715,input00,scalarProdGPU,83.794171052631597
scalarProd,1202,715,input00,scalarProdGPU,97.226974025974044
scalarProd,1328,715,input00,scalarProdGPU,107.08593939393938
scalarProd,607,715,input00,scalarProdGPU,67.080890350877183
scalarProd,810,715,input00,scalarProdGPU,75.875078260869543
scanScanExclusiveShared,1012,715,input00,scanExclusiveShared,92.014776397515533
scanScanExclusiveShared,1202,715,input00,scanExclusiveShared,112.36813124999999
scanScanExclusiveShared,1328,715,input00,scanExclusiveShared,138.3784658385093
