,appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput.1,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,ipc,power/W
14,backpropBackward,945,877,input00,bpnn_adjust_weights_cuda,0.18411,(1 32768 1) (16 16 1),262144.0,0.9330219999999999,0.9688,1.0,1.816625,1.0,1835015,956.3,5970250,3.253373,417.6,2621446,4.999992,0.7384000000000001,2290642,367.48,2228570,357.69,2433481,388.56,2621462,420.1,0,0.0,0.0,0,0.0,0.0,389.36,2428921,419.44,419.44,0.4249,1554.7,2424029,75497584,16777248,0.0,0,0,75497520.0,0,58720336,11534359,44.000088,0.83375,121.63942999999998
10,backpropBackward,1087,877,input00,bpnn_adjust_weights_cuda,0.18328,(1 32768 1) (16 16 1),262144.0,0.941106,0.9704,1.0,1.546324,1.0,1835015,962.27,5968103,3.252455,421.78,2621446,4.999992,0.7391,2291060,370.23,2228561,360.2,2428632,390.35,2621462,423.13,0,0.0,0.0,0,0.0,0.0,391.14,2428186,422.06,422.2,0.425,1563.2,2423069,75497584,16777248,0.0,0,0,75497520.0,0,58720336,11534359,44.000088,0.7327199999999999,114.62122999999998
11,backpropBackward,1237,877,input00,bpnn_adjust_weights_cuda,0.18317,(1 32768 1) (16 16 1),262144.0,0.948199,0.9732,1.0,1.323866,1.0,1835015,963.13,5967943,3.252173,422.37,2621446,4.999992,0.7394,2290959,370.66,2228563,360.87,2421217,390.86,2621462,423.9,0,0.0,0.0,0,0.0,0.0,391.92,2421800,423.13,423.11,0.4258,1564.2,2422460,75497584,16777248,0.0,0,0,75497520.0,0,58720336,11534359,44.000088,0.6463369999999999,146.16194000000004
12,backpropBackward,1380,877,input00,bpnn_adjust_weights_cuda,0.18301,(1 32768 1) (16 16 1),262144.0,0.953515,0.9737,1.0,1.168532,1.0,1835015,964.21,5967458,3.252031,423.34,2621446,4.999992,0.7387999999999999,2291169,371.31,2228562,361.48,2419833,391.23,2621462,424.46,0,0.0,0.0,0,0.0,0.0,391.58,2418923,423.83,423.74,0.4255,1566.1,2422040,75497584,16777248,0.0,0,0,75497520.0,0,58720336,11534359,44.000088,0.577037,168.45702
18,backpropForward,802,877,input00,bpnn_layerforward_CUDA,0.20124,(1 32768 1) (16 16 1),262144.0,0.922665,0.9691,0.9612,14.519654999999998,0.6667000000000001,3670016,236.54,1544158,2.9450979999999998,241.48,1572864,3.0,0.6193,1173397,180.73,1179587,182.4,1245294,191.17,1572880,240.94,2183416,1337.4,1.074808,1305018,800.08,1.0211290000000002,190.71,1245181,241.48,241.47,0.1224,1899.7,3099122,0,0,16252928.0,0,33554432,457703424.0,49807360,0,38010880,145.0,3.105886,111.05108999999999
19,backpropForward,945,877,input00,bpnn_layerforward_CUDA,0.17055,(1 32768 1) (16 16 1),262144.0,0.923,0.9684,0.9612,14.043037,0.6667000000000001,3670016,276.02,1544297,2.945119,282.02,1572864,3.0,0.6193,1173479,210.9,1179587,212.94,1245288,223.35,1572880,281.35,2182933,1561.5,1.0744200000000002,1305179,933.82,1.021253,222.76,1245180,283.96,284.19,0.1225,2215.3,3099064,0,0,16252928.0,0,33554432,457703424.0,49807360,0,38010880,145.0,3.085826,124.9602
15,backpropForward,1087,877,input00,bpnn_layerforward_CUDA,0.15287,(1 32768 1) (16 16 1),262144.0,0.924538,0.9681,0.9612,12.949502,0.6667000000000001,3670016,308.82,1544203,2.945128,316.04,1572864,3.0,0.6193,1173384,235.89,1179588,238.84,1245320,250.18,1572880,314.6,2179061,1743.7,1.072533,1304963,1041.6,1.021077,248.88,1245180,315.3,316.03,0.1224,2480.6,3098962,0,0,16252928.0,0,33554432,457703424.0,49807360,0,38010880,145.0,2.9961279999999997,144.20922000000004
16,backpropForward,1237,877,input00,bpnn_layerforward_CUDA,0.13904,(1 32768 1) (16 16 1),262144.0,0.92674,0.9675,0.9612,11.843817,0.6667000000000001,3670016,337.97,1544207,2.945231,346.46,1572864,3.0,0.6193,1173513,256.98,1179573,260.7,1245278,273.16,1572880,342.89,2174101,1895.8,1.07005,1304151,1137.1,1.020501,271.32,1245180,345.25,344.96,0.1225,2703.8,3098903,0,0,16252928.0,0,33554432,457703424.0,49807360,0,38010880,145.0,2.888922,174.56536
17,backpropForward,1380,877,input00,bpnn_layerforward_CUDA,0.12963,(1 32768 1) (16 16 1),262144.0,0.929582,0.9674,0.9612,10.821109,0.6667000000000001,3670016,358.29,1544195,2.945456,368.61,1572864,3.0,0.6193,1173625,274.09,1179586,278.25,1245299,291.82,1572880,365.84,2168214,2015.1,1.067324,1302867,1210.4,1.019609,289.37,1245177,368.55,368.29,0.1225,2877.3,3098852,0,0,16252928.0,0,33554432,457703424.0,49807360,0,38010880,145.0,2.757305,182.84062000000003
23,binomialOptions,802,877,input00,binomialOptionsKernel,10.634,(1024 1 1) (256 1 1),8192.0,0.857851,0.86,0.9997,4.86244,0.9986,305991680,54.373000000000005,19243008,7.813721000000001,48.488,17106944,7.784716,0.7989,2256077,6.4528,11253570,31.904,5789272,16.268,17106960,48.345,349928647,4003.7,2.028278,175255869,1980.9,1.999279,16.437,5788398,48.635,47.898,0.3702,3954.0,349860170,8178892800,2726297600,27276288.0,8392704,4196352,3914603520.0,35668992,5452595200,806970368,98507.0,1.363057,93.50885999999996
24,binomialOptions,945,877,input00,binomialOptionsKernel,8.8216,(1024 1 1) (256 1 1),8192.0,0.8558870000000001,0.8862000000000001,0.9997,4.8440129999999995,0.9986,305991680,66.065,19243008,7.813721000000001,58.36,17106944,7.784716,0.7993000000000001,2258715,7.7456,11255746,38.089,5792655,19.609,17106960,57.647,349931236,4774.9,2.028289,175255873,2336.6,1.999279,19.793,5791760,58.657,58.725,0.3701,4751.4,349860129,8178892800,2726297600,27276288.0,8392704,4196352,3914603520.0,35668992,5452595200,806970368,98507.0,1.362932,107.73451
20,binomialOptions,1087,877,input00,binomialOptionsKernel,7.6796,(1024 1 1) (256 1 1),8192.0,0.856058,0.897,0.9997,4.843566,0.9986,305991680,74.589,19243008,7.813721000000001,66.423,17106944,7.784716,0.7979999999999999,2279559,8.6782,11227927,43.317,5820988,22.414,17106960,65.908,349927100,5359.7,2.028275,175255908,2700.2,1.999279,22.221999999999998,5796810,66.523,65.708,0.3699,5425.6,349860152,8178892800,2726297600,27276288.0,8392704,4196352,3914603520.0,35668992,5452595200,806970368,98507.0,1.362899,128.11773000000002
21,binomialOptions,1237,877,input00,binomialOptionsKernel,6.777,(1024 1 1) (256 1 1),8192.0,0.856024,0.8862000000000001,0.9997,4.8393559999999995,0.9986,305991680,84.34299999999999,19243008,7.813721000000001,75.682,17106944,7.784716,0.7977,2281398,9.9642,11286228,50.641999999999996,5810771,25.794,17106960,75.45,349927048,6135.5,2.028258,175255908,3091.5,1.999279,25.594,5806449,75.342,74.99,0.3693,6096.1,349860173,8178892800,2726297600,27276288.0,8392704,4196352,3914603520.0,35668992,5452595200,806970368,98507.0,1.362657,162.21860000000004
22,binomialOptions,1380,877,input00,binomialOptionsKernel,6.1853,(1024 1 1) (256 1 1),8192.0,0.859765,0.8539,0.9997,4.855558,0.9986,305991680,92.264,19243008,7.813721000000001,82.54,17106944,7.784716,0.7973,2293214,11.065999999999999,11219931,54.42100000000001,5838429,28.156999999999996,17106960,84.055,349923919,7005.6,2.028273,175255865,3466.0,1.99928,28.833000000000002,5825345,83.806,84.455,0.3692,6833.7,349860167,8178892800,2726297600,27276288.0,8392704,4196352,3914603520.0,35668992,5452595200,806970368,98507.0,1.362495,167.85745
