appName,coreF,memF,argNo,kernel,power/W
reduction,1237,877,input00,reduce2,146.26899000000003
reduction,1380,877,input00,reduce2,182.23708000000002
reduction,802,877,input00,reduce2,89.92731000000002
reduction,945,877,input00,reduce2,101.91405999999999
scalarProd,1087,877,input00,scalarProdGPU,132.56783000000001
scalarProd,1237,877,input00,scalarProdGPU,135.06348000000003
scalarProd,1380,877,input00,scalarProdGPU,154.77006
scalarProd,802,877,input00,scalarProdGPU,107.59347000000004
scalarProd,945,877,input00,scalarProdGPU,119.75564
scanScanExclusiveShared,1087,877,input00,scanExclusiveShared,159.66585999999998
scanScanExclusiveShared,1237,877,input00,scanExclusiveShared,181.73012000000003
scanScanExclusiveShared,1380,877,input00,scanExclusiveShared,189.38823
scanScanExclusiveShared,802,877,input00,scanExclusiveShared,133.73032
scanScanExclusiveShared,945,877,input00,scanExclusiveShared,133.03279
scanUniformUpdate,1087,877,input00,uniformUpdate,84.83762
scanUniformUpdate,1237,877,input00,uniformUpdate,84.85959999999999
scanUniformUpdate,1380,877,input00,uniformUpdate,108.64185000000003
scanUniformUpdate,802,877,input00,uniformUpdate,72.79416
scanUniformUpdate,945,877,input00,uniformUpdate,79.51404
sortingNetworks,1087,877,input00,bitonicSortShared1,100.70443000000003
sortingNetworks,1237,877,input00,bitonicSortShared1,106.22708
sortingNetworks,1380,877,input00,bitonicSortShared1,155.41688
sortingNetworks,802,877,input00,bitonicSortShared1,76.39362999999999
sortingNetworks,945,877,input00,bitonicSortShared1,85.40587000000004
srad,1087,877,input00,srad_cuda_1,195.38893999999996
srad,1237,877,input00,srad_cuda_1,238.06718
srad,1380,877,input00,srad_cuda_1,249.45581
srad,802,877,input00,srad_cuda_1,148.94155
srad,945,877,input00,srad_cuda_1,168.44556999999998
stereoDisparity,1087,877,input00,stereoDisparityKernel,133.61244
stereoDisparity,1237,877,input00,stereoDisparityKernel,196.95811
stereoDisparity,1380,877,input00,stereoDisparityKernel,250.44176
stereoDisparity,802,877,input00,stereoDisparityKernel,110.98441000000004
stereoDisparity,945,877,input00,stereoDisparityKernel,109.16984000000001
transpose,1087,877,input00,transposeCoalesced,120.58529999999999
transpose,1237,877,input00,transposeCoalesced,137.91338000000005
transpose,1380,877,input00,transposeCoalesced,159.30332
transpose,802,877,input00,transposeCoalesced,99.19999000000001
transpose,945,877,input00,transposeCoalesced,110.77488999999997
vectorAdd,1087,877,input00,vectorAdd,122.99565999999999
vectorAdd,1237,877,input00,vectorAdd,139.16270999999998
vectorAdd,1380,877,input00,vectorAdd,155.19484999999997
vectorAdd,802,877,input00,vectorAdd,105.63437000000002
vectorAdd,945,877,input00,vectorAdd,117.56931999999999
