,appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput.1,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,ipc,power/W
12,BlackScholes,600,1000,input00,BlackScholesGPU,0.16523,(3584 1 1) (128 1 1),14336.0,0.8667389999999999,0.9541,1.0,2.362421,1.0,243712,30.469,344064,8.0,20.287,114688,4.0,0.5,172093,30.521,114189,20.561,172222,30.918000000000003,114694,20.642,0,0.0,0.0,0,0.0,0.0,30.86,172032,20.576,20.572,0.5,30.491999999999997,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,1.530268,44.98617391304348
19,BlackScholes,700,500,input00,BlackScholesGPU,0.35363,(3584 1 1) (128 1 1),14336.0,0.903123,0.9741,1.0,0.832053,1.0,243712,14.404000000000002,344064,8.0,9.6047,114688,4.0,0.5,172100,14.392999999999999,112965,9.3663,172315,14.634,114694,9.7323,0,0.0,0.0,0,0.0,0.0,14.597000000000001,172032,9.737,9.7342,0.5,14.408,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,0.600585,39.15482727272728
20,BlackScholes,700,600,input00,BlackScholesGPU,0.2871,(3584 1 1) (128 1 1),14336.0,0.8902479999999999,0.9708,1.0,1.07154,1.0,243712,17.784000000000002,344064,8.0,11.859000000000002,114688,4.0,0.5,172103,17.758,112611,11.606,172246,18.057000000000002,114694,12.020999999999999,0,0.0,0.0,0,0.0,0.0,18.031,172032,12.020999999999999,12.022,0.5,17.732,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,0.741645,41.32323214285713
21,BlackScholes,700,700,input00,BlackScholesGPU,0.24174,(3584 1 1) (128 1 1),14336.0,0.885493,0.9666,1.0,1.2907799999999998,1.0,243712,21.061,344064,8.0,14.042,114688,4.0,0.5,172105,21.04,113479,13.854000000000001,172462,21.401,114694,14.241,0,0.0,0.0,0,0.0,0.0,21.351999999999997,172032,14.245999999999999,14.245999999999999,0.5,21.000999999999998,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,0.882675,42.80208849557523
22,BlackScholes,700,800,input00,BlackScholesGPU,0.20873000000000003,(3584 1 1) (128 1 1),14336.0,0.8798860000000001,0.9619,1.0,1.512269,1.0,243712,24.336,344064,8.0,16.182000000000002,114688,4.0,0.5,172103,24.308000000000003,113855,16.171,172341,24.705,114694,16.465,0,0.0,0.0,0,0.0,0.0,24.654,172032,16.456,16.471,0.5,24.285999999999998,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,1.025174,43.809155172413796
23,BlackScholes,700,900,input00,BlackScholesGPU,0.18384,(3584 1 1) (128 1 1),14336.0,0.875966,0.9575,1.0,1.756886,1.0,243712,27.515,344064,8.0,18.323,114688,4.0,0.5,172099,27.564,114039,18.416,172388,28.021,114695,18.666,0,0.0,0.0,0,0.0,0.0,27.965999999999998,172032,18.622,18.616,0.5,27.47,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,1.166569,44.86206363636362
18,BlackScholes,700,1000,input00,BlackScholesGPU,0.16460999999999998,(3584 1 1) (128 1 1),14336.0,0.876976,0.9537,1.0,1.983273,1.0,243712,30.879,344064,8.0,20.5,114688,4.0,0.5,173181,31.182,113642,20.303,175453,31.884,114694,20.831999999999997,0,0.0,0.0,0,0.0,0.0,31.369,172032,20.955,20.948,0.5,30.813000000000002,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,1.314919,46.11715517241382
25,BlackScholes,800,500,input00,BlackScholesGPU,0.35522000000000004,(3584 1 1) (128 1 1),14336.0,0.9002399999999999,0.973,1.0,0.723247,1.0,243712,14.349,344064,8.0,9.5833,114688,4.0,0.5,172103,14.355,113096,9.2518,172390,14.64,114695,9.6811,0,0.0,0.0,0,0.0,0.0,14.591,172032,9.737,9.722999999999999,0.5,14.333,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,0.528299,41.59470192307693
26,BlackScholes,800,600,input00,BlackScholesGPU,0.28714,(3584 1 1) (128 1 1),14336.0,0.8934489999999999,0.9693,1.0,0.923377,1.0,243712,17.804000000000002,344064,8.0,11.844000000000001,114688,4.0,0.5,172087,17.8,112137,11.449000000000002,172267,18.215,114694,12.113,0,0.0,0.0,0,0.0,0.0,18.189,172032,12.133,12.127,0.5,17.727999999999998,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,0.653845,43.44067567567564
27,BlackScholes,800,700,input00,BlackScholesGPU,0.24131999999999998,(3584 1 1) (128 1 1),14336.0,0.890249,0.9659,1.0,1.121312,1.0,243712,21.141,344064,8.0,14.097999999999999,114688,4.0,0.5,172098,21.139,112966,13.712,172315,21.622,114694,14.398,0,0.0,0.0,0,0.0,0.0,21.601,172032,14.415999999999999,14.395,0.5,21.044,172032,0,0,46513565,15597568,4128768,11010048,40091037,0,2336768,163.0,0.780831,44.93293693693693
