appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,ipc
fastWalshTransform,1100,3600,input00,fwtBatch2Kernel,1.3539,(32768 1 1) (256 1 1),262144.0,0.826581,0.9963,1.0,1.015901,1.0,262144,92.225,8388608,8.000000,92.261,4194304,4.000000,0.5,4216805,92.742,4191667,93.31,4219038,93.89,4194310,92.939,0,0.0,0.000000,0,0.0,0.000000,93.387,4194304,93.406,93.356,0.5,92.141,4194304,0,0,67108864,0,0,310378496,67108864,0,17039360,65.000000,0.725527
gaussian,1100,3600,input00,Fan2,0.97309,(512 512 1) (4 4 1),131072.0,0.190175,0.8354,0.49939999999999996,1.481722,1.0,786227,78.95,5003482,6.361487,71.067,2326776,8.875351,0.4844,539060,16.48,523973,16.047,2594540,79.601,2326782,71.106,0,0.0,0.000000,0,0.0,0.000000,78.966,2584926,71.076,71.071,0.33149999999999996,48.042,1571484,0,0,8370202,4185101,0,146519912,4185101,0,13099582,49.970943,0.928986
histogram,1100,3600,input00,histogram256Kernel,2.003,(240 1 1) (192 1 1),1440.0,0.890473,0.7752,0.6612,2.203110,0.773,10767200,31.225,4194304,8.000000,0.11635,7680,4.000000,0.5,2121179,31.603,35420,0.54741,2158189,31.61,7686,0.11635,17327488,1031.7,2.128810,8669504,516.12,2.127214,31.206,2097152,0.11635,0.11635,0.5,31.214,2097152,0,0,0,0,0,571370240,0,0,49261632,3.4209e+04,1.826889
hotspot,1100,3600,input00,calculate_temp,0.10207,(37 37 1) (16 16 1),10952.0,0.723752,0.9451999999999999,0.9520000000000001,1.758246,1.0,153106,36.941,212576,9.704894,16.281,56421,5.204468,0.4011,65154,18.355,39236,11.861,128356,36.944,56427,16.463,75887,87.846,1.000000,32523,37.91,0.993220,36.774,127312,16.358,16.295,0.3804,25.104,86432,2621440,786432,11562496,4556032,1401856,30518720,8758784,1835008,2077217,189.665541,1.222690
matrixMulGlobal,1100,3600,input00,matrixMulCUDA,1.5023,(16 16 1) (32 32 1),8192.0,0.973202,0.9890000000000001,1.0,4.485689,1.0,1089536,413.62,50331648,6.000000,0.6609,32768,4.000000,0.5832999999999999,87291,1.6997,46267,0.96893,20988095,414.87,32774,0.66376,0,0.0,0.000000,0,0.0,0.000000,414.13,20971520,0.6609,0.66185,0.5832,662.63,33554432,0,0,268435456,134217728,0,1782579200,134217728,0,72638464,8.8670e+03,2.844956
matrixMulShared,1100,3600,input00,matrixMulCUDA,0.43821,(16 16 1) (32 32 1),8192.0,0.978238,0.9769,1.0,1.938938,1.0,147456,71.078,2097152,8.000000,2.2175,32768,4.000000,0.5,70444,5.248,45732,3.228,1051892,71.337,32774,2.2249,6291456,1705.5,1.200000,262144,71.208,1.000000,71.071,1048576,2.2193,2.2184,0.5,71.201,1048576,0,0,268435456,134217728,0,62128128,134217728,0,12402688,1.5140e+03,1.667585
mergeSort,1100,3600,input00,mergeSortSharedKernel,0.55937,(1024 1 1) (512 1 1),16384.0,0.977201,0.9813,1.0,4.573586,1.0,2326528,13.979,524288,8.000000,13.984,262144,4.000000,0.5,267345,14.842,258665,13.903,266859,14.255,262152,13.973,3787985,807.93,1.501300,1429280,305.11,1.982644,13.982,262144,13.985,13.983,0.5,13.977,262144,0,0,0,0,0,500695040,0,0,24739840,1.5100e+03,2.604948
nn,1100,3600,input00,euclid,0.062151000000000005,(4096 1 1) (256 1 1),32768.0,0.853749,0.9331999999999999,1.0,1.786116,1.0,163840,243.61,524288,8.000000,60.963,131072,4.000000,0.0,264720,122.47,130339,61.033,525255,248.0,131078,61.908,0,0.0,0.000000,0,0.0,0.000000,247.46,524288,61.732,61.83,0.16670000000000001,122.31,262144,0,0,12582912,3145728,1048576,17825792,10485760,0,1343488,41.000000,1.275845
pathfinder,1100,3600,input00,dynproc_kernel,1.408,(2286 1 1) (256 1 1),18288.0,0.977525,0.9934999999999999,0.937,2.965539,1.0,8713784,122.97,9172252,6.849319,0.39482,18286,3.999563,0.36619999999999997,1634533,34.536,45890,0.98515,5831178,123.3,18292,0.39577,5283472,447.05,0.914461,2655444,224.7,0.843089,123.0,5813178,0.39482,0.39482,0.3664,101.84,4807874,0,0,0,0,0,877016974,0,0,61224820,3.3478e+03,2.534761
quasirandomGenerator,1100,3600,input00,quasirandomGeneratorKernel,1.0237,(128 1 1) (128 3 1),1536.0,0.719696,0.9842,1.0,9.610999,1.0,837120,0.0,0,0.000000,90.898,3145728,4.000000,0.0,10024,0.25368,3141648,90.78,14644,0.31376,3145734,91.08,0,0.0,0.000000,0,0.0,0.000000,0.0,0,90.969,91.032,0.5,0.0,0,0,0,25165824,0,0,1737277440,25165824,0,57497088,3.7433e+04,3.300698
reduction,1100,3600,input00,reduce2,1.4417,(65536 1 1) (256 1 1),524288.0,0.916827,0.9969,0.9541,2.241160,1.0,16056320,46.686,4194304,8.000000,1.4575,65536,1.000000,0.5,2110209,47.257,37471,0.8812000000000001,2123316,47.223,65542,1.4585,1638400,145.91,1.000000,1310720,116.78,1.000000,46.685,2097152,1.4585,1.4585,0.49229999999999996,46.7,2097152,0,0,16711680,0,0,603979776,16711680,0,47251456,90.125000,2.046176
scalarProd,1100,3600,input00,scalarProdGPU,2.6111,(128 1 1) (256 1 1),1024.0,0.995559,0.9871,0.9831,1.172306,1.0,11290624,190.88,33554432,8.000000,0.19072999999999998,16384,1.000000,0.5,16802714,191.65,33166,0.39291000000000004,16837869,191.97,16390,0.19072999999999998,1196032,54.456,1.000000,1114112,50.785,1.000000,191.35,16777216,0.18978,0.19072999999999998,0.49979999999999997,191.53,16777216,0,0,150978560,67108864,0,541114368,83869696,0,45602816,4.4534e+04,1.021183
scanScanExclusiveShared,1100,3600,input00,scanExclusiveShared,0.66701,(16384 1 1) (256 1 1),131072.0,0.942120,0.9929000000000001,1.0,1.591776,1.0,1310720,93.446,2097152,16.000000,93.649,2097152,16.000000,0.0,2101859,94.028,2093517,94.187,2102196,94.63,2097158,94.5,2228224,397.4,1.000000,1310720,234.2,1.000000,94.68,2097152,94.309,94.648,0.0,93.408,2097152,0,0,0,0,0,255852544,0,0,15990784,122.000000,1.397373
scanUniformUpdate,1100,3600,input00,uniformUpdate,0.6682899999999999,(16384 1 1) (256 1 1),131072.0,0.881030,0.9928,0.9706,0.234821,1.0,409600,94.105,2113536,14.333333,93.097,2097152,16.000000,0.0,2102516,94.093,2094346,93.838,2140159,95.428,2097158,94.359,131072,23.285,1.000000,16384,2.9057,1.000000,95.009,2113536,94.186,94.304,0.0,94.219,2113536,0,0,0,0,0,41975808,0,0,2703360,20.625000,0.232150
sortingNetworks,1100,3600,input00,bitonicSortShared1,1.3612,(2048 1 1) (512 1 1),32768.0,0.989078,0.9929000000000001,0.8175,1.470460,1.0,4338044,11.539,1048576,8.000000,11.538,524288,4.000000,0.5,559814,12.0,520801,11.482,548700,11.82,524294,11.538,10803438,951.0,1.675506,10336176,910.45,1.664158,11.539,524288,11.538,11.54,0.5,11.538,524288,0,0,0,0,0,160429868,0,0,26073700,795.706177,1.117886
srad,1100,3600,input00,srad_cuda_1,0.32152,(64 64 1) (16 16 1),32768.0,0.969471,0.9790000000000001,0.9133,2.449997,0.9190999999999999,1212416,37.564,1060864,6.395062,61.922,655360,4.000000,0.6255,139933,12.731,656033,62.121,413028,38.127,655369,61.82,237568,89.858,1.450000,230464,86.954,0.995852,37.495,397312,61.955,61.867,0.5561,62.617,663552,16777216,7340032,83886080,32505856,5242880,97882112,63963136,9437184,9786880,298.671875,1.832489
stereoDisparity,1100,3600,input00,stereoDisparityKernel,0.53577,(16 48 1) (32 8 1),6144.0,0.970975,0.9808,0.9592,2.315087,1.0,436224,0.0,0,0.000000,1.3597,24576,4.000000,0.0,58070,3.1339,29214,1.6009,1773461,97.424,24582,1.3616,6998016,1550.7,1.000000,940032,208.53,1.000000,96.566,1752920,1.3607,1.3607,0.6697,224.89,4055040,0,0,0,0,0,152567808,0,0,15372288,2.5020e+03,1.688253
transpose,1100,3600,input00,transposeCoalesced,0.047236,(64 64 1) (16 16 1),32768.0,0.845345,0.9116,1.0,2.079270,1.0,32768,86.353,262144,8.000000,86.198,131072,4.000000,0.5,131539,88.447,131027,86.594,131275,86.73,131078,86.021,262144,690.35,8.000000,32768,86.275,1.000000,86.064,131072,86.244,85.975,0.5,86.397,131072,0,0,0,0,0,23068672,0,0,1081344,33.000000,1.471953
vectorAdd,1100,3600,input00,vectorAdd,0.9823500000000001,(65536 1 1) (256 1 1),524288.0,0.844289,0.9954000000000001,1.0,0.879528,1.0,1048576,127.17,8388608,8.000000,63.349,2097152,4.000000,0.5,4209815,127.38,2095508,63.996,4223433,128.93,2097158,64.184,0,0.0,0.000000,0,0.0,0.000000,128.45,4194304,64.177,64.15,0.5,127.31,4194304,0,0,16777216,0,0,201326592,16777216,0,11010048,21.000000,0.646474
