,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,tex_trans
0,BlackScholes,1709,3500,0.0,0.0,12.001243591308594,8.000099182128906,0.9995544732714479,0.00044552672855213693,20.0013427734375,142.9986572265625,0.8831100000000001,608.7802914285714,5.028903400000001,12.0
1,BlackScholes,1709,4000,0.0,0.0,12.001258850097656,8.000099182128906,0.9995472261786423,0.000452773821357666,20.001358032226562,142.99864196777344,0.875252,595.182755,3.7834482874999997,12.0
2,BlackScholes,1709,4500,0.0,0.0,12.001312255859375,8.000099182128906,0.9995376913174081,0.0004623086825918943,20.00141143798828,142.99858856201172,0.867825,584.6068933333333,2.9366063481481484,12.0
3,BlackScholes,1709,5000,0.0,0.0,12.001235961914062,8.000099182128906,0.9995350194441213,0.00046498055587873566,20.00133514404297,142.99866485595703,0.8631190000000001,576.146204,2.33589538,12.0
4,BlackScholes,1609,3500,0.0,0.0,12.00128173828125,8.000099182128906,0.999560958658784,0.00043904134121597327,20.001380920410156,142.99861907958984,0.882553,602.4151485714285,4.734643400000001,12.0
5,BlackScholes,1609,4000,0.0,0.0,12.001373291015625,8.000099182128906,0.9995289195703594,0.0004710804296406135,20.00147247314453,142.99852752685547,0.874933,589.613255,3.5620645375,12.0
6,BlackScholes,1609,4500,0.0,0.0,12.001495361328125,8.000099182128906,0.9995434171393653,0.0004565828606346578,20.00159454345703,142.99840545654297,0.867768,579.6562266666667,2.764774496296296,12.0
7,BlackScholes,1609,5000,0.0,0.0,12.001350402832031,8.000099182128906,0.9995285375892098,0.0004714624107902132,20.001449584960938,142.99855041503906,0.8634299999999999,571.690604,2.19921338,12.0
8,BlackScholes,1809,3500,0.0,0.0,12.001472473144531,8.000106811523438,0.9995239633711175,0.00047603662888251463,20.00157928466797,142.99842071533203,0.8830370000000001,615.1454342857143,5.3231634,12.0
9,BlackScholes,1809,4000,0.0,0.0,12.001243591308594,8.000099182128906,0.9995373082861868,0.0004626917138131903,20.0013427734375,142.9986572265625,0.874825,600.752255,4.0048320375,12.0
10,BlackScholes,1809,4500,0.0,0.0,12.001296997070312,8.000099182128906,0.9995487528145732,0.000451247185426773,20.00139617919922,142.99860382080078,0.868043,589.55756,3.1084381999999997,12.0
11,BlackScholes,1809,5000,0.0,0.0,12.001350402832031,8.000099182128906,0.9995437952724069,0.0004562047275931125,20.001449584960938,142.99855041503906,0.8641909999999999,580.601804,2.47257738,12.0
12,BlackScholes,1909,3500,0.0,0.0,12.001457214355469,8.000099182128906,0.999547993549086,0.00045200645091403313,20.001556396484375,142.99844360351562,0.8834190000000001,621.5105771428572,5.617423400000001,12.0
13,BlackScholes,1909,4000,0.0,0.0,12.001380920410156,8.000099182128906,0.9995441774099665,0.00045582259003351666,20.001480102539062,142.99851989746094,0.875382,606.321755,4.2262157875,12.0
14,BlackScholes,1909,4500,0.0,0.0,12.001258850097656,8.000099182128906,0.9995682055890676,0.0004317944109324401,20.001358032226562,142.99864196777344,0.867914,594.5082266666667,3.2802700518518515,12.0
15,BlackScholes,1909,5000,0.0,0.0,12.0013427734375,8.000099182128906,0.9995430322139403,0.00045696778605974764,20.001441955566406,142.9985580444336,0.864117,585.057404,2.6092593800000006,12.0
16,SobolQRNG,1709,3500,1568.5,0.5,2.1155,6250.008,0.9997529639329741,0.0002470360670259186,7820.7485,25077.2515,0.962216,608.7802914285714,5.028903400000001,2.0
17,SobolQRNG,1709,4000,1568.5,0.5,2.092,6250.0065,0.999757601387758,0.00024239861224195636,7820.7235,25077.2765,0.9551209999999999,595.182755,3.7834482874999997,2.0
18,SobolQRNG,1709,4500,1568.5,0.5,2.0945,6250.0065,0.9997521633127806,0.0002478366872193938,7820.726000000001,25077.273999999998,0.955982,584.6068933333333,2.9366063481481484,2.0
19,SobolQRNG,1709,5000,1568.5,0.5,2.0815,6250.0065,0.9997433657363747,0.0002566342636253216,7820.713000000001,25077.287,0.954692,576.146204,2.33589538,2.0
20,SobolQRNG,1609,3500,1568.5,0.5,2.1205,6250.0065,0.9997525642073489,0.00024743579265107396,7820.752,25077.248,0.962201,602.4151485714285,4.734643400000001,2.0
21,SobolQRNG,1609,4000,1568.5,0.5,2.079,6250.0065,0.9997516828584638,0.00024831714153616957,7820.7105,25077.2895,0.9556459999999999,589.613255,3.5620645375,2.0
22,SobolQRNG,1609,4500,1568.5,0.5,2.1205,6250.0065,0.999751364615594,0.0002486353844060041,7820.752,25077.248,0.9532440000000001,579.6562266666667,2.764774496296296,2.0
23,SobolQRNG,1609,5000,1568.5,0.5,2.0835,6250.0065,0.9997499236255396,0.0002500763744603951,7820.715,25077.285,0.954142,571.690604,2.19921338,2.0
24,SobolQRNG,1809,3500,1568.5,0.5,2.0975,6250.0065,0.9997496042932107,0.0002503957067893081,7820.729,25077.271,0.964075,615.1454342857143,5.3231634,2.0
25,SobolQRNG,1809,4000,1568.5,0.5,2.1045,6250.0065,0.9997509641143606,0.0002490358856394037,7820.736000000001,25077.264,0.954849,600.752255,4.0048320375,2.0
26,SobolQRNG,1809,4500,1568.5,0.5,2.11,6250.0065,0.9997476054708834,0.0002523945291166285,7820.7415,25077.2585,0.95594,589.55756,3.1084381999999997,2.0
27,SobolQRNG,1809,5000,1568.5,0.5,2.0935,6250.0065,0.9997513635418499,0.0002486364581500977,7820.725,25077.275,0.9546180000000001,580.601804,2.47257738,2.0
